Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
United States,Government Spending to GDP,1900-12-30T23:59:43,7.74,Yearly,UNITEDSTAGSTG,2022-11-18T14:59:00
United States,Government Spending to GDP,1901-12-30T23:59:43,7.45,Yearly,UNITEDSTAGSTG,2022-11-18T14:59:00
United States,Government Spending to GDP,1902-12-30T23:59:43,6.83,Yearly,UNITEDSTAGSTG,2022-11-18T14:59:00
United States,Government Spending to GDP,1903-12-30T23:59:43,6.73,Yearly,UNITEDSTAGSTG,2022-11-18T14:59:00
United States,Government Spending to GDP,1904-12-30T23:59:43,7.22,Yearly,UNITEDSTAGSTG,2022-11-18T14:59:00
United States,Government Spending to GDP,1905-12-30T23:59:43,6.83,Yearly,UNITEDSTAGSTG,2022-11-18T14:59:00
United States,Government Spending to GDP,1906-12-30T23:59:43,6.73,Yearly,UNITEDSTAGSTG,2022-11-18T14:59:00
United States,Government Spending to GDP,1907-12-30T23:59:43,6.55,Yearly,UNITEDSTAGSTG,2022-11-18T14:59:00
United States,Government Spending to GDP,1908-12-30T23:59:43,7.82,Yearly,UNITEDSTAGSTG,2022-11-18T14:59:00
United States,Government Spending to GDP,1909-12-30T23:59:43,7.76,Yearly,UNITEDSTAGSTG,2022-11-18T14:59:00
United States,Government Spending to GDP,1910-12-30T23:59:43,7.95,Yearly,UNITEDSTAGSTG,2022-11-18T14:59:00
United States,Government Spending to GDP,1911-12-30T23:59:43,8.22,Yearly,UNITEDSTAGSTG,2022-11-18T14:59:00
United States,Government Spending to GDP,1912-12-30T23:59:43,8.02,Yearly,UNITEDSTAGSTG,2022-11-18T14:59:00
United States,Government Spending to GDP,1913-12-30T23:59:43,8.13,Yearly,UNITEDSTAGSTG,2022-11-18T14:59:00
United States,Government Spending to GDP,1914-12-30T23:59:43,9.46,Yearly,UNITEDSTAGSTG,2022-11-18T14:59:00
United States,Government Spending to GDP,1915-12-30T23:59:43,9.72,Yearly,UNITEDSTAGSTG,2022-11-18T14:59:00
United States,Government Spending to GDP,1916-12-30T23:59:41,8.13,Yearly,UNITEDSTAGSTG,2022-11-18T14:59:00
United States,Government Spending to GDP,1917-12-30T23:59:41,9.4,Yearly,UNITEDSTAGSTG,2022-11-18T14:59:00
United States,Government Spending to GDP,1918-12-30T23:59:41,21.89,Yearly,UNITEDSTAGSTG,2022-11-18T14:59:00
United States,Government Spending to GDP,1919-12-31T00:00:00,29.03,Yearly,UNITEDSTAGSTG,2022-11-18T14:59:00
United States,Government Spending to GDP,1920-12-31T00:00:00,12.69,Yearly,UNITEDSTAGSTG,2022-11-18T14:59:00
United States,Government Spending to GDP,1921-12-31T00:00:00,14.17,Yearly,UNITEDSTAGSTG,2022-11-18T14:59:00
United States,Government Spending to GDP,1922-12-31T00:00:00,12.54,Yearly,UNITEDSTAGSTG,2022-11-18T14:59:00
United States,Government Spending to GDP,1923-12-31T00:00:00,11.16,Yearly,UNITEDSTAGSTG,2022-11-18T14:59:00
United States,Government Spending to GDP,1924-12-31T00:00:00,11.37,Yearly,UNITEDSTAGSTG,2022-11-18T14:59:00
United States,Government Spending to GDP,1925-12-31T00:00:00,11.33,Yearly,UNITEDSTAGSTG,2022-11-18T14:59:00
United States,Government Spending to GDP,1926-12-31T00:00:00,11.01,Yearly,UNITEDSTAGSTG,2022-11-18T14:59:00
United States,Government Spending to GDP,1927-12-31T00:00:00,11.63,Yearly,UNITEDSTAGSTG,2022-11-18T14:59:00
United States,Government Spending to GDP,1928-12-31T00:00:00,11.64,Yearly,UNITEDSTAGSTG,2022-11-18T14:59:00
United States,Government Spending to GDP,1929-12-31T00:00:00,11.16,Yearly,UNITEDSTAGSTG,2022-11-18T14:59:00
United States,Government Spending to GDP,1930-12-31T00:00:00,12.93,Yearly,UNITEDSTAGSTG,2022-11-18T14:59:00
United States,Government Spending to GDP,1931-12-31T00:00:00,15.73,Yearly,UNITEDSTAGSTG,2022-11-18T14:59:00
United States,Government Spending to GDP,1932-12-31T00:00:00,20.9,Yearly,UNITEDSTAGSTG,2022-11-18T14:59:00
United States,Government Spending to GDP,1933-12-31T00:00:00,22.07,Yearly,UNITEDSTAGSTG,2022-11-18T14:59:00
United States,Government Spending to GDP,1934-12-31T00:00:00,19.17,Yearly,UNITEDSTAGSTG,2022-11-18T14:59:00
United States,Government Spending to GDP,1935-12-31T00:00:00,19.92,Yearly,UNITEDSTAGSTG,2022-11-18T14:59:00
United States,Government Spending to GDP,1936-12-31T00:00:00,19.76,Yearly,UNITEDSTAGSTG,2022-11-18T14:59:00
United States,Government Spending to GDP,1937-12-31T00:00:00,18.51,Yearly,UNITEDSTAGSTG,2022-11-18T14:59:00
United States,Government Spending to GDP,1938-12-31T00:00:00,20.22,Yearly,UNITEDSTAGSTG,2022-11-18T14:59:00
United States,Government Spending to GDP,1939-12-31T00:00:00,20.39,Yearly,UNITEDSTAGSTG,2022-11-18T14:59:00
United States,Government Spending to GDP,1940-12-31T00:00:00,19.27,Yearly,UNITEDSTAGSTG,2022-11-18T14:59:00
United States,Government Spending to GDP,1941-12-31T00:00:00,18.44,Yearly,UNITEDSTAGSTG,2022-11-18T14:59:00
United States,Government Spending to GDP,1942-12-31T00:00:00,27.21,Yearly,UNITEDSTAGSTG,2022-11-18T14:59:00
United States,Government Spending to GDP,1943-12-31T00:00:00,43.47,Yearly,UNITEDSTAGSTG,2022-11-18T14:59:00
United States,Government Spending to GDP,1944-12-31T00:00:00,44.89,Yearly,UNITEDSTAGSTG,2022-11-18T14:59:00
United States,Government Spending to GDP,1945-12-31T00:00:00,45.62,Yearly,UNITEDSTAGSTG,2022-11-18T14:59:00
United States,Government Spending to GDP,1946-12-31T00:00:00,30.07,Yearly,UNITEDSTAGSTG,2022-11-18T14:59:00
United States,Government Spending to GDP,1947-12-31T00:00:00,20.36,Yearly,UNITEDSTAGSTG,2022-11-18T14:59:00
United States,Government Spending to GDP,1948-12-31T00:00:00,17.94,Yearly,UNITEDSTAGSTG,2022-11-18T14:59:00
United States,Government Spending to GDP,1949-12-31T00:00:00,22.51,Yearly,UNITEDSTAGSTG,2022-11-18T14:59:00
United States,Government Spending to GDP,1950-12-31T00:00:00,22.71,Yearly,UNITEDSTAGSTG,2022-11-18T14:59:00
United States,Government Spending to GDP,1951-12-31T00:00:00,20.9,Yearly,UNITEDSTAGSTG,2022-11-18T14:59:00
United States,Government Spending to GDP,1952-12-31T00:00:00,26.14,Yearly,UNITEDSTAGSTG,2022-11-18T14:59:00
United States,Government Spending to GDP,1953-12-31T00:00:00,27.28,Yearly,UNITEDSTAGSTG,2022-11-18T14:59:00
