Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
United States,Gross National Product,1947-03-31T00:00:00,2196.8,Quarterly,UNITEDSTAGRONATPRO,2024-09-26T14:33:00
United States,Gross National Product,1947-06-30T00:00:00,2191.6,Quarterly,UNITEDSTAGRONATPRO,2024-09-26T14:33:00
United States,Gross National Product,1947-09-30T00:00:00,2187.1,Quarterly,UNITEDSTAGRONATPRO,2024-09-26T14:33:00
United States,Gross National Product,1947-12-31T00:00:00,2221.8,Quarterly,UNITEDSTAGRONATPRO,2024-09-26T14:33:00
United States,Gross National Product,1948-03-31T00:00:00,2256.2,Quarterly,UNITEDSTAGRONATPRO,2024-09-26T14:33:00
United States,Gross National Product,1948-06-30T00:00:00,2294,Quarterly,UNITEDSTAGRONATPRO,2024-09-26T14:33:00
United States,Gross National Product,1948-09-30T00:00:00,2307.2,Quarterly,UNITEDSTAGRONATPRO,2024-09-26T14:33:00
United States,Gross National Product,1948-12-31T00:00:00,2309.8,Quarterly,UNITEDSTAGRONATPRO,2024-09-26T14:33:00
United States,Gross National Product,1949-03-31T00:00:00,2277.6,Quarterly,UNITEDSTAGRONATPRO,2024-09-26T14:33:00
United States,Gross National Product,1949-06-30T00:00:00,2269.5,Quarterly,UNITEDSTAGRONATPRO,2024-09-26T14:33:00
United States,Gross National Product,1949-09-30T00:00:00,2292.4,Quarterly,UNITEDSTAGRONATPRO,2024-09-26T14:33:00
United States,Gross National Product,1949-12-31T00:00:00,2272.1,Quarterly,UNITEDSTAGRONATPRO,2024-09-26T14:33:00
United States,Gross National Product,1950-03-31T00:00:00,2361.8,Quarterly,UNITEDSTAGRONATPRO,2024-09-26T14:33:00
United States,Gross National Product,1950-06-30T00:00:00,2434.2,Quarterly,UNITEDSTAGRONATPRO,2024-09-26T14:33:00
United States,Gross National Product,1950-09-30T00:00:00,2530.2,Quarterly,UNITEDSTAGRONATPRO,2024-09-26T14:33:00
United States,Gross National Product,1950-12-31T00:00:00,2578.3,Quarterly,UNITEDSTAGRONATPRO,2024-09-26T14:33:00
United States,Gross National Product,1951-03-31T00:00:00,2612.4,Quarterly,UNITEDSTAGRONATPRO,2024-09-26T14:33:00
United States,Gross National Product,1951-06-30T00:00:00,2660,Quarterly,UNITEDSTAGRONATPRO,2024-09-26T14:33:00
United States,Gross National Product,1951-09-30T00:00:00,2715.2,Quarterly,UNITEDSTAGRONATPRO,2024-09-26T14:33:00
United States,Gross National Product,1951-12-31T00:00:00,2722.1,Quarterly,UNITEDSTAGRONATPRO,2024-09-26T14:33:00
United States,Gross National Product,1952-03-31T00:00:00,2749.9,Quarterly,UNITEDSTAGRONATPRO,2024-09-26T14:33:00
