Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
United States,Home Ownership Rate,1965-03-31T00:00:00,62.9,Quarterly,UNITEDSTAHOMOWNRAT,2015-06-08T16:20:00
United States,Home Ownership Rate,1965-06-30T00:00:00,62.9,Quarterly,UNITEDSTAHOMOWNRAT,2015-06-08T16:20:00
United States,Home Ownership Rate,1965-09-30T00:00:00,62.9,Quarterly,UNITEDSTAHOMOWNRAT,2015-06-08T16:20:00
United States,Home Ownership Rate,1965-12-31T00:00:00,63.4,Quarterly,UNITEDSTAHOMOWNRAT,2015-06-08T16:20:00
United States,Home Ownership Rate,1966-03-31T00:00:00,63.5,Quarterly,UNITEDSTAHOMOWNRAT,2015-06-08T16:20:00
United States,Home Ownership Rate,1966-06-30T00:00:00,63.2,Quarterly,UNITEDSTAHOMOWNRAT,2015-06-08T16:20:00
United States,Home Ownership Rate,1966-09-30T00:00:00,63.3,Quarterly,UNITEDSTAHOMOWNRAT,2015-06-08T16:20:00
United States,Home Ownership Rate,1966-12-31T00:00:00,63.8,Quarterly,UNITEDSTAHOMOWNRAT,2015-06-08T16:20:00
United States,Home Ownership Rate,1967-03-31T00:00:00,63.3,Quarterly,UNITEDSTAHOMOWNRAT,2015-06-08T16:20:00
United States,Home Ownership Rate,1967-06-30T00:00:00,63.9,Quarterly,UNITEDSTAHOMOWNRAT,2015-06-08T16:20:00
United States,Home Ownership Rate,1967-09-30T00:00:00,63.8,Quarterly,UNITEDSTAHOMOWNRAT,2015-06-08T16:20:00
United States,Home Ownership Rate,1967-12-31T00:00:00,63.5,Quarterly,UNITEDSTAHOMOWNRAT,2015-06-08T16:20:00
United States,Home Ownership Rate,1968-03-31T00:00:00,63.6,Quarterly,UNITEDSTAHOMOWNRAT,2015-06-08T16:20:00
United States,Home Ownership Rate,1968-06-30T00:00:00,64.1,Quarterly,UNITEDSTAHOMOWNRAT,2015-06-08T16:20:00
United States,Home Ownership Rate,1968-09-30T00:00:00,64.1,Quarterly,UNITEDSTAHOMOWNRAT,2015-06-08T16:20:00
