Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
United States,Households Debt to GDP,1947-12-31T00:00:00,18,Quarterly,UNITEDSTAHDTG,2025-03-12T07:00:00
United States,Households Debt to GDP,1948-03-31T00:00:00,18.4,Quarterly,UNITEDSTAHDTG,2025-03-12T07:00:00
United States,Households Debt to GDP,1948-06-30T00:00:00,18.8,Quarterly,UNITEDSTAHDTG,2025-03-12T07:00:00
United States,Households Debt to GDP,1948-09-30T00:00:00,19,Quarterly,UNITEDSTAHDTG,2025-03-12T07:00:00
United States,Households Debt to GDP,1948-12-31T00:00:00,19.5,Quarterly,UNITEDSTAHDTG,2025-03-12T07:00:00
United States,Households Debt to GDP,1949-03-31T00:00:00,20,Quarterly,UNITEDSTAHDTG,2025-03-12T07:00:00
United States,Households Debt to GDP,1949-06-30T00:00:00,20.7,Quarterly,UNITEDSTAHDTG,2025-03-12T07:00:00
United States,Households Debt to GDP,1949-09-30T00:00:00,21.6,Quarterly,UNITEDSTAHDTG,2025-03-12T07:00:00
United States,Households Debt to GDP,1949-12-31T00:00:00,22.5,Quarterly,UNITEDSTAHDTG,2025-03-12T07:00:00
United States,Households Debt to GDP,1950-03-31T00:00:00,23.6,Quarterly,UNITEDSTAHDTG,2021-04-15T16:08:00
United States,Households Debt to GDP,1950-06-30T00:00:00,24.4,Quarterly,UNITEDSTAHDTG,2021-04-15T16:08:00
United States,Households Debt to GDP,1950-09-30T00:00:00,24.8,Quarterly,UNITEDSTAHDTG,2021-04-15T16:08:00
United States,Households Debt to GDP,1950-12-31T00:00:00,25,Quarterly,UNITEDSTAHDTG,2021-04-15T16:08:00
United States,Households Debt to GDP,1951-03-31T00:00:00,24.5,Quarterly,UNITEDSTAHDTG,2021-04-15T16:08:00
United States,Households Debt to GDP,1951-06-30T00:00:00,24.2,Quarterly,UNITEDSTAHDTG,2021-04-15T16:08:00
United States,Households Debt to GDP,1951-09-30T00:00:00,24.1,Quarterly,UNITEDSTAHDTG,2021-04-15T16:08:00
United States,Households Debt to GDP,1951-12-31T00:00:00,24.1,Quarterly,UNITEDSTAHDTG,2021-04-15T16:08:00
United States,Households Debt to GDP,1952-03-31T00:00:00,23.8,Quarterly,UNITEDSTAHDTG,2018-03-14T16:20:00
United States,Households Debt to GDP,1952-06-30T00:00:00,24.7,Quarterly,UNITEDSTAHDTG,2018-03-14T16:20:00
United States,Households Debt to GDP,1952-09-30T00:00:00,25.2,Quarterly,UNITEDSTAHDTG,2018-03-14T16:20:00
United States,Households Debt to GDP,1952-12-31T00:00:00,26,Quarterly,UNITEDSTAHDTG,2018-03-14T16:20:00
United States,Households Debt to GDP,1953-03-31T00:00:00,26.1,Quarterly,UNITEDSTAHDTG,2018-03-14T16:20:00
United States,Households Debt to GDP,1953-06-30T00:00:00,26.8,Quarterly,UNITEDSTAHDTG,2019-04-09T14:15:00
United States,Households Debt to GDP,1953-09-30T00:00:00,27,Quarterly,UNITEDSTAHDTG,2018-03-14T16:20:00
United States,Households Debt to GDP,1953-12-31T00:00:00,27.8,Quarterly,UNITEDSTAHDTG,2018-03-14T16:20:00
United States,Households Debt to GDP,1954-03-31T00:00:00,27.8,Quarterly,UNITEDSTAHDTG,2018-03-14T16:20:00
United States,Households Debt to GDP,1954-06-30T00:00:00,28.9,Quarterly,UNITEDSTAHDTG,2019-04-09T14:15:00
United States,Households Debt to GDP,1954-09-30T00:00:00,29.8,Quarterly,UNITEDSTAHDTG,2019-04-09T14:15:00
United States,Households Debt to GDP,1954-12-31T00:00:00,30.8,Quarterly,UNITEDSTAHDTG,2018-03-14T16:20:00
United States,Households Debt to GDP,1955-03-31T00:00:00,31.1,Quarterly,UNITEDSTAHDTG,2018-03-14T16:20:00
United States,Households Debt to GDP,1955-06-30T00:00:00,32.2,Quarterly,UNITEDSTAHDTG,2019-04-09T14:15:00
United States,Households Debt to GDP,1955-09-30T00:00:00,32.7,Quarterly,UNITEDSTAHDTG,2019-04-09T14:15:00
