Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
United States,Housing Index,1991-01-31T00:00:00,100,Monthly,UNITEDSTAHOUIND,2021-10-26T17:14:00
United States,Housing Index,1991-02-28T00:00:00,100.45,Monthly,UNITEDSTAHOUIND,2023-10-31T13:09:00
United States,Housing Index,1991-03-31T00:00:00,100.48,Monthly,UNITEDSTAHOUIND,2022-08-30T13:20:00
United States,Housing Index,1991-04-30T00:00:00,100.33,Monthly,UNITEDSTAHOUIND,2023-01-31T16:35:00
United States,Housing Index,1991-05-31T00:00:00,100.38,Monthly,UNITEDSTAHOUIND,2023-10-31T13:09:00
United States,Housing Index,1991-06-30T00:00:00,100.51,Monthly,UNITEDSTAHOUIND,2023-01-31T16:35:00
United States,Housing Index,1991-07-31T00:00:00,100.54,Monthly,UNITEDSTAHOUIND,2023-10-31T13:09:00
United States,Housing Index,1991-08-31T00:00:00,100.38,Monthly,UNITEDSTAHOUIND,2022-08-30T13:20:00
United States,Housing Index,1991-09-30T00:00:00,100.62,Monthly,UNITEDSTAHOUIND,2022-09-27T13:11:00
United States,Housing Index,1991-10-31T00:00:00,100.93,Monthly,UNITEDSTAHOUIND,2023-10-31T13:09:00
United States,Housing Index,1991-11-30T00:00:00,101.42,Monthly,UNITEDSTAHOUIND,2023-01-31T16:35:00
United States,Housing Index,1991-12-31T00:00:00,101.88,Monthly,UNITEDSTAHOUIND,2022-09-27T13:11:00
United States,Housing Index,1992-01-31T00:00:00,102.24,Monthly,UNITEDSTAHOUIND,2023-03-28T13:07:00
United States,Housing Index,1992-02-29T00:00:00,102.97,Monthly,UNITEDSTAHOUIND,2023-10-31T13:09:00
United States,Housing Index,1992-03-31T00:00:00,102.82,Monthly,UNITEDSTAHOUIND,2023-01-31T16:35:00
United States,Housing Index,1992-04-30T00:00:00,102.56,Monthly,UNITEDSTAHOUIND,2023-10-31T13:09:00
United States,Housing Index,1992-05-31T00:00:00,102.59,Monthly,UNITEDSTAHOUIND,2023-10-31T13:09:00
United States,Housing Index,1992-06-30T00:00:00,102.52,Monthly,UNITEDSTAHOUIND,2023-03-28T13:07:00
United States,Housing Index,1992-07-31T00:00:00,102.86,Monthly,UNITEDSTAHOUIND,2023-10-31T13:09:00
United States,Housing Index,1992-08-31T00:00:00,103.33,Monthly,UNITEDSTAHOUIND,2023-03-28T13:07:00
United States,Housing Index,1992-09-30T00:00:00,103.71,Monthly,UNITEDSTAHOUIND,2023-10-31T13:09:00
United States,Housing Index,1992-10-31T00:00:00,104.04,Monthly,UNITEDSTAHOUIND,2023-10-31T13:09:00
United States,Housing Index,1992-11-30T00:00:00,104.3,Monthly,UNITEDSTAHOUIND,2023-10-31T13:09:00
United States,Housing Index,1992-12-31T00:00:00,104.21,Monthly,UNITEDSTAHOUIND,2023-10-31T13:09:00
United States,Housing Index,1993-01-31T00:00:00,104.27,Monthly,UNITEDSTAHOUIND,2022-09-27T13:11:00
United States,Housing Index,1993-02-28T00:00:00,104.07,Monthly,UNITEDSTAHOUIND,2023-10-31T13:09:00
United States,Housing Index,1993-03-31T00:00:00,104.39,Monthly,UNITEDSTAHOUIND,2022-03-29T13:25:00
United States,Housing Index,1993-04-30T00:00:00,105.02,Monthly,UNITEDSTAHOUIND,2023-10-31T13:09:00
United States,Housing Index,1993-05-31T00:00:00,105.25,Monthly,UNITEDSTAHOUIND,2023-10-31T13:09:00
United States,Housing Index,1993-06-30T00:00:00,105.62,Monthly,UNITEDSTAHOUIND,2023-01-31T16:35:00
United States,Housing Index,1993-07-31T00:00:00,105.67,Monthly,UNITEDSTAHOUIND,2023-03-28T13:07:00
United States,Housing Index,1993-08-31T00:00:00,106.06,Monthly,UNITEDSTAHOUIND,2023-10-31T13:09:00
United States,Housing Index,1993-09-30T00:00:00,106.45,Monthly,UNITEDSTAHOUIND,2023-01-31T16:35:00
United States,Housing Index,1993-10-31T00:00:00,106.66,Monthly,UNITEDSTAHOUIND,2023-01-31T16:35:00
United States,Housing Index,1993-11-30T00:00:00,107.01,Monthly,UNITEDSTAHOUIND,2022-09-27T13:11:00
United States,Housing Index,1993-12-31T00:00:00,107.52,Monthly,UNITEDSTAHOUIND,2023-03-28T13:07:00
United States,Housing Index,1994-01-31T00:00:00,107.78,Monthly,UNITEDSTAHOUIND,2023-10-31T13:09:00
United States,Housing Index,1994-02-28T00:00:00,108.01,Monthly,UNITEDSTAHOUIND,2023-10-31T13:09:00
United States,Housing Index,1994-03-31T00:00:00,108.38,Monthly,UNITEDSTAHOUIND,2023-01-31T16:35:00
United States,Housing Index,1994-04-30T00:00:00,108.7,Monthly,UNITEDSTAHOUIND,2023-10-31T13:09:00
United States,Housing Index,1994-05-31T00:00:00,109.06,Monthly,UNITEDSTAHOUIND,2023-10-31T13:09:00
United States,Housing Index,1994-06-30T00:00:00,109.25,Monthly,UNITEDSTAHOUIND,2023-03-28T13:07:00
United States,Housing Index,1994-07-31T00:00:00,109.36,Monthly,UNITEDSTAHOUIND,2023-10-31T13:09:00
United States,Housing Index,1994-08-31T00:00:00,109.64,Monthly,UNITEDSTAHOUIND,2023-10-31T13:09:00
United States,Housing Index,1994-09-30T00:00:00,109.7,Monthly,UNITEDSTAHOUIND,2023-10-31T13:09:00
United States,Housing Index,1994-10-31T00:00:00,109.99,Monthly,UNITEDSTAHOUIND,2023-01-31T16:35:00
United States,Housing Index,1994-11-30T00:00:00,110.21,Monthly,UNITEDSTAHOUIND,2023-10-31T13:09:00
United States,Housing Index,1994-12-31T00:00:00,110.22,Monthly,UNITEDSTAHOUIND,2023-03-28T13:07:00
United States,Housing Index,1995-01-31T00:00:00,110.52,Monthly,UNITEDSTAHOUIND,2023-10-31T13:09:00
United States,Housing Index,1995-02-28T00:00:00,111.11,Monthly,UNITEDSTAHOUIND,2023-10-31T13:09:00
United States,Housing Index,1995-03-31T00:00:00,110.96,Monthly,UNITEDSTAHOUIND,2023-10-31T13:09:00
United States,Housing Index,1995-04-30T00:00:00,111.22,Monthly,UNITEDSTAHOUIND,2023-10-31T13:09:00
