Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
United States,Housing Starts,1959-01-31T00:00:00,1657,Monthly,UNITEDSTAHOUSTA,2014-07-17T14:44:00
United States,Housing Starts,1959-02-28T00:00:00,1667,Monthly,UNITEDSTAHOUSTA,2015-04-25T17:10:00
United States,Housing Starts,1959-03-31T00:00:00,1620,Monthly,UNITEDSTAHOUSTA,2015-04-25T17:10:00
United States,Housing Starts,1959-04-30T00:00:00,1590,Monthly,UNITEDSTAHOUSTA,2014-07-17T14:44:00
United States,Housing Starts,1959-05-31T00:00:00,1498,Monthly,UNITEDSTAHOUSTA,2014-07-17T14:44:00
United States,Housing Starts,1959-06-30T00:00:00,1503,Monthly,UNITEDSTAHOUSTA,2014-07-17T14:44:00
United States,Housing Starts,1959-07-31T00:00:00,1547,Monthly,UNITEDSTAHOUSTA,2014-07-17T14:44:00
United States,Housing Starts,1959-08-31T00:00:00,1430,Monthly,UNITEDSTAHOUSTA,2015-04-25T17:10:00
United States,Housing Starts,1959-09-30T00:00:00,1540,Monthly,UNITEDSTAHOUSTA,2014-07-17T14:44:00
United States,Housing Starts,1959-10-31T00:00:00,1355,Monthly,UNITEDSTAHOUSTA,2014-07-17T14:44:00
United States,Housing Starts,1959-11-30T00:00:00,1416,Monthly,UNITEDSTAHOUSTA,2015-04-25T17:10:00
United States,Housing Starts,1959-12-31T00:00:00,1601,Monthly,UNITEDSTAHOUSTA,2014-07-17T14:44:00
United States,Housing Starts,1960-01-31T00:00:00,1460,Monthly,UNITEDSTAHOUSTA,2014-07-17T14:44:00
United States,Housing Starts,1960-02-29T00:00:00,1503,Monthly,UNITEDSTAHOUSTA,2014-07-17T14:44:00
United States,Housing Starts,1960-03-31T00:00:00,1109,Monthly,UNITEDSTAHOUSTA,2014-07-17T14:44:00
United States,Housing Starts,1960-04-30T00:00:00,1289,Monthly,UNITEDSTAHOUSTA,2014-07-17T14:44:00
United States,Housing Starts,1960-05-31T00:00:00,1271,Monthly,UNITEDSTAHOUSTA,2015-04-25T17:10:00
United States,Housing Starts,1960-06-30T00:00:00,1247,Monthly,UNITEDSTAHOUSTA,2014-07-17T14:44:00
United States,Housing Starts,1960-07-31T00:00:00,1197,Monthly,UNITEDSTAHOUSTA,2014-07-17T14:44:00
United States,Housing Starts,1960-08-31T00:00:00,1344,Monthly,UNITEDSTAHOUSTA,2014-07-17T14:44:00
United States,Housing Starts,1960-09-30T00:00:00,1097,Monthly,UNITEDSTAHOUSTA,2014-07-17T14:44:00
United States,Housing Starts,1960-10-31T00:00:00,1246,Monthly,UNITEDSTAHOUSTA,2015-04-25T17:10:00
United States,Housing Starts,1960-11-30T00:00:00,1246,Monthly,UNITEDSTAHOUSTA,2014-07-17T14:44:00
United States,Housing Starts,1960-12-31T00:00:00,1063,Monthly,UNITEDSTAHOUSTA,2014-07-17T14:44:00
United States,Housing Starts,1961-01-31T00:00:00,1183,Monthly,UNITEDSTAHOUSTA,2015-04-25T17:10:00
United States,Housing Starts,1961-02-28T00:00:00,1226,Monthly,UNITEDSTAHOUSTA,2014-07-17T14:44:00
United States,Housing Starts,1961-03-31T00:00:00,1312,Monthly,UNITEDSTAHOUSTA,2014-07-17T14:44:00
United States,Housing Starts,1961-04-30T00:00:00,1166,Monthly,UNITEDSTAHOUSTA,2015-04-25T17:10:00
United States,Housing Starts,1961-05-31T00:00:00,1228,Monthly,UNITEDSTAHOUSTA,2014-07-17T14:44:00
United States,Housing Starts,1961-06-30T00:00:00,1382,Monthly,UNITEDSTAHOUSTA,2014-07-17T14:44:00
United States,Housing Starts,1961-07-31T00:00:00,1335,Monthly,UNITEDSTAHOUSTA,2015-04-25T17:10:00
United States,Housing Starts,1961-08-31T00:00:00,1312,Monthly,UNITEDSTAHOUSTA,2014-07-17T14:44:00
United States,Housing Starts,1961-09-30T00:00:00,1429,Monthly,UNITEDSTAHOUSTA,2014-07-17T14:44:00
United States,Housing Starts,1961-10-31T00:00:00,1415,Monthly,UNITEDSTAHOUSTA,2015-04-25T17:10:00
United States,Housing Starts,1961-11-30T00:00:00,1385,Monthly,UNITEDSTAHOUSTA,2014-07-17T14:44:00
United States,Housing Starts,1961-12-31T00:00:00,1365,Monthly,UNITEDSTAHOUSTA,2014-07-17T14:44:00
United States,Housing Starts,1962-01-31T00:00:00,1361,Monthly,UNITEDSTAHOUSTA,2014-07-17T14:44:00
United States,Housing Starts,1962-02-28T00:00:00,1278,Monthly,UNITEDSTAHOUSTA,2014-07-17T14:44:00
United States,Housing Starts,1962-03-31T00:00:00,1443,Monthly,UNITEDSTAHOUSTA,2014-07-17T14:44:00
United States,Housing Starts,1962-04-30T00:00:00,1524,Monthly,UNITEDSTAHOUSTA,2015-04-25T17:10:00
United States,Housing Starts,1962-05-31T00:00:00,1483,Monthly,UNITEDSTAHOUSTA,2014-07-17T14:44:00
