Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
United States,Housing Starts Single Family,1959-01-31T00:00:00,1336,Monthly,USAHSSF,2023-09-19T14:10:00
United States,Housing Starts Single Family,1959-02-28T00:00:00,1317,Monthly,USAHSSF,2023-09-19T14:10:00
United States,Housing Starts Single Family,1959-03-31T00:00:00,1254,Monthly,USAHSSF,2023-09-19T14:10:00
United States,Housing Starts Single Family,1959-04-30T00:00:00,1282,Monthly,USAHSSF,2023-09-19T14:10:00
United States,Housing Starts Single Family,1959-05-31T00:00:00,1213,Monthly,USAHSSF,2023-09-19T14:10:00
United States,Housing Starts Single Family,1959-06-30T00:00:00,1203,Monthly,USAHSSF,2023-09-19T14:10:00
United States,Housing Starts Single Family,1959-07-31T00:00:00,1256,Monthly,USAHSSF,2023-09-19T14:10:00
United States,Housing Starts Single Family,1959-08-31T00:00:00,1193,Monthly,USAHSSF,2023-09-19T14:10:00
United States,Housing Starts Single Family,1959-09-30T00:00:00,1275,Monthly,USAHSSF,2023-09-19T14:10:00
United States,Housing Starts Single Family,1959-10-31T00:00:00,1043,Monthly,USAHSSF,2023-09-19T14:10:00
United States,Housing Starts Single Family,1959-11-30T00:00:00,1163,Monthly,USAHSSF,2023-09-19T14:10:00
United States,Housing Starts Single Family,1959-12-31T00:00:00,1410,Monthly,USAHSSF,2023-09-19T14:10:00
United States,Housing Starts Single Family,1960-01-31T00:00:00,1211,Monthly,USAHSSF,2023-09-19T14:10:00
United States,Housing Starts Single Family,1960-02-29T00:00:00,1208,Monthly,USAHSSF,2023-09-19T14:10:00
United States,Housing Starts Single Family,1960-03-31T00:00:00,904,Monthly,USAHSSF,2023-09-19T14:10:00
United States,Housing Starts Single Family,1960-04-30T00:00:00,1049,Monthly,USAHSSF,2023-09-19T14:10:00
United States,Housing Starts Single Family,1960-05-31T00:00:00,1009,Monthly,USAHSSF,2023-09-19T14:10:00
United States,Housing Starts Single Family,1960-06-30T00:00:00,1003,Monthly,USAHSSF,2023-09-19T14:10:00
United States,Housing Starts Single Family,1960-07-31T00:00:00,947,Monthly,USAHSSF,2023-09-19T14:10:00
United States,Housing Starts Single Family,1960-08-31T00:00:00,1091,Monthly,USAHSSF,2023-09-19T14:10:00
United States,Housing Starts Single Family,1960-09-30T00:00:00,865,Monthly,USAHSSF,2023-09-19T14:10:00
United States,Housing Starts Single Family,1960-10-31T00:00:00,922,Monthly,USAHSSF,2023-09-19T14:10:00
United States,Housing Starts Single Family,1960-11-30T00:00:00,949,Monthly,USAHSSF,2023-09-19T14:10:00
United States,Housing Starts Single Family,1960-12-31T00:00:00,841,Monthly,USAHSSF,2023-09-19T14:10:00
United States,Housing Starts Single Family,1961-01-31T00:00:00,898,Monthly,USAHSSF,2023-09-19T14:10:00
United States,Housing Starts Single Family,1961-02-28T00:00:00,948,Monthly,USAHSSF,2023-09-19T14:10:00
United States,Housing Starts Single Family,1961-03-31T00:00:00,957,Monthly,USAHSSF,2023-09-19T14:10:00
United States,Housing Starts Single Family,1961-04-30T00:00:00,879,Monthly,USAHSSF,2023-09-19T14:10:00
United States,Housing Starts Single Family,1961-05-31T00:00:00,938,Monthly,USAHSSF,2023-09-19T14:10:00
United States,Housing Starts Single Family,1961-06-30T00:00:00,1011,Monthly,USAHSSF,2023-09-19T14:10:00
United States,Housing Starts Single Family,1961-07-31T00:00:00,1004,Monthly,USAHSSF,2023-09-19T14:10:00
United States,Housing Starts Single Family,1961-08-31T00:00:00,973,Monthly,USAHSSF,2023-09-19T14:10:00
United States,Housing Starts Single Family,1961-09-30T00:00:00,1052,Monthly,USAHSSF,2023-09-19T14:10:00
United States,Housing Starts Single Family,1961-10-31T00:00:00,993,Monthly,USAHSSF,2023-09-19T14:10:00
United States,Housing Starts Single Family,1961-11-30T00:00:00,1018,Monthly,USAHSSF,2023-09-19T14:10:00
United States,Housing Starts Single Family,1961-12-31T00:00:00,1005,Monthly,USAHSSF,2023-09-19T14:10:00
United States,Housing Starts Single Family,1962-01-31T00:00:00,974,Monthly,USAHSSF,2023-09-19T14:10:00
United States,Housing Starts Single Family,1962-02-28T00:00:00,946,Monthly,USAHSSF,2023-09-19T14:10:00
United States,Housing Starts Single Family,1962-03-31T00:00:00,979,Monthly,USAHSSF,2023-09-19T14:10:00
United States,Housing Starts Single Family,1962-04-30T00:00:00,1027,Monthly,USAHSSF,2023-09-19T14:10:00
United States,Housing Starts Single Family,1962-05-31T00:00:00,1032,Monthly,USAHSSF,2023-09-19T14:10:00
United States,Housing Starts Single Family,1962-06-30T00:00:00,951,Monthly,USAHSSF,2023-09-19T14:10:00
United States,Housing Starts Single Family,1962-07-31T00:00:00,983,Monthly,USAHSSF,2023-09-19T14:10:00
United States,Housing Starts Single Family,1962-08-31T00:00:00,1053,Monthly,USAHSSF,2023-09-19T14:10:00
United States,Housing Starts Single Family,1962-09-30T00:00:00,866,Monthly,USAHSSF,2023-09-19T14:10:00
United States,Housing Starts Single Family,1962-10-31T00:00:00,990,Monthly,USAHSSF,2023-09-19T14:10:00
United States,Housing Starts Single Family,1962-11-30T00:00:00,1080,Monthly,USAHSSF,2023-09-19T14:10:00
United States,Housing Starts Single Family,1962-12-31T00:00:00,998,Monthly,USAHSSF,2023-09-19T14:10:00
United States,Housing Starts Single Family,1963-01-31T00:00:00,810,Monthly,USAHSSF,2023-09-19T14:10:00
United States,Housing Starts Single Family,1963-02-28T00:00:00,977,Monthly,USAHSSF,2023-09-19T14:10:00
United States,Housing Starts Single Family,1963-03-31T00:00:00,962,Monthly,USAHSSF,2023-09-19T14:10:00
United States,Housing Starts Single Family,1963-04-30T00:00:00,1096,Monthly,USAHSSF,2023-09-19T14:10:00
United States,Housing Starts Single Family,1963-05-31T00:00:00,1071,Monthly,USAHSSF,2023-09-19T14:10:00
United States,Housing Starts Single Family,1963-06-30T00:00:00,1007,Monthly,USAHSSF,2023-09-19T14:10:00
United States,Housing Starts Single Family,1963-07-31T00:00:00,1031,Monthly,USAHSSF,2023-09-19T14:10:00
United States,Housing Starts Single Family,1963-08-31T00:00:00,1056,Monthly,USAHSSF,2023-09-19T14:10:00
United States,Housing Starts Single Family,1963-09-30T00:00:00,1106,Monthly,USAHSSF,2023-09-19T14:10:00
United States,Housing Starts Single Family,1963-10-31T00:00:00,1088,Monthly,USAHSSF,2023-09-19T14:10:00
United States,Housing Starts Single Family,1963-11-30T00:00:00,1032,Monthly,USAHSSF,2023-09-19T14:10:00
United States,Housing Starts Single Family,1963-12-31T00:00:00,852,Monthly,USAHSSF,2023-09-19T14:10:00
United States,Housing Starts Single Family,1964-01-31T00:00:00,1023,Monthly,USAHSSF,2023-09-19T14:10:00
United States,Housing Starts Single Family,1964-02-29T00:00:00,1162,Monthly,USAHSSF,2023-09-19T14:10:00
United States,Housing Starts Single Family,1964-03-31T00:00:00,931,Monthly,USAHSSF,2023-09-19T14:10:00
United States,Housing Starts Single Family,1964-04-30T00:00:00,901,Monthly,USAHSSF,2023-09-19T14:10:00
