Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
United States,Imports,1950-01-31T00:00:00,0.592,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1950-02-28T00:00:00,0.606,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1950-03-31T00:00:00,0.577,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1950-04-30T00:00:00,0.606,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1950-05-31T00:00:00,0.636,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1950-06-30T00:00:00,0.684,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1950-07-31T00:00:00,0.787,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1950-08-31T00:00:00,0.821,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1950-09-30T00:00:00,0.955,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1950-10-31T00:00:00,0.912,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1950-11-30T00:00:00,0.876,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1950-12-31T00:00:00,0.891,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1951-01-31T00:00:00,0.939,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1951-02-28T00:00:00,0.927,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1951-03-31T00:00:00,0.997,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1951-04-30T00:00:00,1.005,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1951-05-31T00:00:00,0.986,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1951-06-30T00:00:00,0.967,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1951-07-31T00:00:00,0.94,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1951-08-31T00:00:00,0.885,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1951-09-30T00:00:00,0.838,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1951-10-31T00:00:00,0.8,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1951-11-30T00:00:00,0.845,Monthly,TBIMTOT,2016-03-04T14:46:00
United States,Imports,1951-12-31T00:00:00,0.812,Monthly,TBIMTOT,2016-03-04T14:46:00
