Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
United States,Inflation Expectations,2013-06-30T00:00:00,3.09,Monthly,UNITEDSTAINFEXP,2017-04-18T13:13:00
United States,Inflation Expectations,2013-07-31T00:00:00,3.16,Monthly,UNITEDSTAINFEXP,2017-04-18T13:13:00
United States,Inflation Expectations,2013-08-31T00:00:00,3.4,Monthly,UNITEDSTAINFEXP,2017-04-18T13:13:00
United States,Inflation Expectations,2013-09-30T00:00:00,3.37,Monthly,UNITEDSTAINFEXP,2017-04-18T13:13:00
United States,Inflation Expectations,2013-10-31T00:00:00,3.17,Monthly,UNITEDSTAINFEXP,2017-04-18T13:13:00
United States,Inflation Expectations,2013-11-30T00:00:00,3.2,Monthly,UNITEDSTAINFEXP,2017-04-18T13:13:00
United States,Inflation Expectations,2013-12-31T00:00:00,3.14,Monthly,UNITEDSTAINFEXP,2017-04-18T13:13:00
United States,Inflation Expectations,2014-01-31T00:00:00,3,Monthly,UNITEDSTAINFEXP,2017-04-18T13:13:00
United States,Inflation Expectations,2014-02-28T00:00:00,3.09,Monthly,UNITEDSTAINFEXP,2017-04-18T13:13:00
United States,Inflation Expectations,2014-03-31T00:00:00,3.2,Monthly,UNITEDSTAINFEXP,2017-04-18T13:13:00
United States,Inflation Expectations,2014-04-30T00:00:00,3.3,Monthly,UNITEDSTAINFEXP,2017-04-18T13:13:00
United States,Inflation Expectations,2014-05-31T00:00:00,3.17,Monthly,UNITEDSTAINFEXP,2017-04-18T13:13:00
United States,Inflation Expectations,2014-06-30T00:00:00,3.2,Monthly,UNITEDSTAINFEXP,2017-04-18T13:13:00
United States,Inflation Expectations,2014-07-31T00:00:00,3.11,Monthly,UNITEDSTAINFEXP,2017-04-18T13:13:00
United States,Inflation Expectations,2014-08-31T00:00:00,3,Monthly,UNITEDSTAINFEXP,2017-04-18T13:13:00
United States,Inflation Expectations,2014-09-30T00:00:00,3,Monthly,UNITEDSTAINFEXP,2017-04-18T13:13:00
United States,Inflation Expectations,2014-10-31T00:00:00,3,Monthly,UNITEDSTAINFEXP,2017-04-18T13:13:00
United States,Inflation Expectations,2014-11-30T00:00:00,3.02,Monthly,UNITEDSTAINFEXP,2017-04-18T13:13:00
United States,Inflation Expectations,2014-12-31T00:00:00,2.98,Monthly,UNITEDSTAINFEXP,2017-04-18T13:13:00
United States,Inflation Expectations,2015-01-31T00:00:00,2.93,Monthly,UNITEDSTAINFEXP,2017-04-18T13:13:00
United States,Inflation Expectations,2015-02-28T00:00:00,2.83,Monthly,UNITEDSTAINFEXP,2017-04-18T13:13:00
United States,Inflation Expectations,2015-03-31T00:00:00,2.88,Monthly,UNITEDSTAINFEXP,2017-04-18T13:13:00
United States,Inflation Expectations,2015-04-30T00:00:00,2.73,Monthly,UNITEDSTAINFEXP,2017-04-18T13:13:00
United States,Inflation Expectations,2015-05-31T00:00:00,2.96,Monthly,UNITEDSTAINFEXP,2017-04-18T13:13:00
United States,Inflation Expectations,2015-06-30T00:00:00,3,Monthly,UNITEDSTAINFEXP,2017-04-18T13:13:00
United States,Inflation Expectations,2015-07-31T00:00:00,2.96,Monthly,UNITEDSTAINFEXP,2017-04-18T13:13:00
United States,Inflation Expectations,2015-08-31T00:00:00,2.79,Monthly,UNITEDSTAINFEXP,2017-04-18T13:13:00
United States,Inflation Expectations,2015-09-30T00:00:00,2.73,Monthly,UNITEDSTAINFEXP,2017-04-18T13:13:00
United States,Inflation Expectations,2015-10-31T00:00:00,2.82,Monthly,UNITEDSTAINFEXP,2017-04-18T13:13:00
United States,Inflation Expectations,2015-11-30T00:00:00,2.55,Monthly,UNITEDSTAINFEXP,2017-04-18T13:13:00
United States,Inflation Expectations,2015-12-31T00:00:00,2.54,Monthly,UNITEDSTAINFEXP,2017-04-18T13:13:00
United States,Inflation Expectations,2016-01-31T00:00:00,2.42,Monthly,UNITEDSTAINFEXP,2017-04-18T13:13:00
United States,Inflation Expectations,2016-02-29T00:00:00,2.71,Monthly,UNITEDSTAINFEXP,2017-04-18T13:13:00
United States,Inflation Expectations,2016-03-31T00:00:00,2.53,Monthly,UNITEDSTAINFEXP,2017-04-18T13:13:00
United States,Inflation Expectations,2016-04-30T00:00:00,2.61,Monthly,UNITEDSTAINFEXP,2017-04-18T13:13:00
United States,Inflation Expectations,2016-05-31T00:00:00,2.62,Monthly,UNITEDSTAINFEXP,2017-04-18T13:13:00
United States,Inflation Expectations,2016-06-30T00:00:00,2.54,Monthly,UNITEDSTAINFEXP,2017-04-18T13:13:00
