Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
United States,Initial Jobless Claims,1967-01-07T00:00:00,208,Weekly,IJCUSA,2024-05-09T13:59:00
United States,Initial Jobless Claims,1967-01-14T00:00:00,207,Weekly,IJCUSA,2024-05-09T13:59:00
United States,Initial Jobless Claims,1967-01-21T00:00:00,217,Weekly,IJCUSA,2024-05-09T13:59:00
United States,Initial Jobless Claims,1967-01-28T00:00:00,204,Weekly,IJCUSA,2024-05-09T13:59:00
United States,Initial Jobless Claims,1967-02-04T00:00:00,216,Weekly,IJCUSA,2024-05-09T13:59:00
United States,Initial Jobless Claims,1967-02-11T00:00:00,229,Weekly,IJCUSA,2024-05-09T13:59:00
United States,Initial Jobless Claims,1967-02-18T00:00:00,229,Weekly,IJCUSA,2024-05-09T13:59:00
United States,Initial Jobless Claims,1967-02-25T00:00:00,242,Weekly,IJCUSA,2024-05-09T13:59:00
United States,Initial Jobless Claims,1967-03-04T00:00:00,310,Weekly,IJCUSA,2024-05-09T13:59:00
United States,Initial Jobless Claims,1967-03-11T00:00:00,241,Weekly,IJCUSA,2024-05-09T13:59:00
United States,Initial Jobless Claims,1967-03-18T00:00:00,245,Weekly,IJCUSA,2024-05-09T13:59:00
United States,Initial Jobless Claims,1967-03-25T00:00:00,247,Weekly,IJCUSA,2024-05-09T13:59:00
United States,Initial Jobless Claims,1967-04-01T00:00:00,259,Weekly,IJCUSA,2024-05-09T13:59:00
United States,Initial Jobless Claims,1967-04-08T00:00:00,257,Weekly,IJCUSA,2024-05-09T13:59:00
United States,Initial Jobless Claims,1967-04-15T00:00:00,299,Weekly,IJCUSA,2024-05-09T13:59:00
United States,Initial Jobless Claims,1967-04-22T00:00:00,245,Weekly,IJCUSA,2024-05-09T13:59:00
United States,Initial Jobless Claims,1967-04-29T00:00:00,255,Weekly,IJCUSA,2024-05-09T13:59:00
United States,Initial Jobless Claims,1967-05-06T00:00:00,254,Weekly,IJCUSA,2024-05-09T13:59:00
United States,Initial Jobless Claims,1967-05-13T00:00:00,231,Weekly,IJCUSA,2024-05-09T13:59:00
United States,Initial Jobless Claims,1967-05-20T00:00:00,230,Weekly,IJCUSA,2024-05-09T13:59:00
United States,Initial Jobless Claims,1967-05-27T00:00:00,228,Weekly,IJCUSA,2024-05-09T13:59:00
United States,Initial Jobless Claims,1967-06-03T00:00:00,248,Weekly,IJCUSA,2024-05-09T13:59:00
United States,Initial Jobless Claims,1967-06-10T00:00:00,238,Weekly,IJCUSA,2024-05-09T13:59:00
United States,Initial Jobless Claims,1967-06-17T00:00:00,224,Weekly,IJCUSA,2024-05-09T13:59:00
United States,Initial Jobless Claims,1967-06-24T00:00:00,218,Weekly,IJCUSA,2024-05-09T13:59:00
United States,Initial Jobless Claims,1967-07-01T00:00:00,209,Weekly,IJCUSA,2024-05-09T13:59:00
United States,Initial Jobless Claims,1967-07-08T00:00:00,240,Weekly,IJCUSA,2024-05-09T13:59:00
