Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
United States,Job Layoffs and Discharges,2000-12-31T00:00:00,2018,Monthly,USAJLAD,2023-03-08T16:41:00
United States,Job Layoffs and Discharges,2001-01-31T00:00:00,2220,Monthly,USAJLAD,2023-03-08T16:41:00
United States,Job Layoffs and Discharges,2001-02-28T00:00:00,1855,Monthly,USAJLAD,2023-03-08T16:41:00
United States,Job Layoffs and Discharges,2001-03-31T00:00:00,2133,Monthly,USAJLAD,2023-03-08T16:41:00
United States,Job Layoffs and Discharges,2001-04-30T00:00:00,1883,Monthly,USAJLAD,2023-03-08T16:41:00
United States,Job Layoffs and Discharges,2001-05-31T00:00:00,2029,Monthly,USAJLAD,2023-03-08T16:41:00
United States,Job Layoffs and Discharges,2001-06-30T00:00:00,2015,Monthly,USAJLAD,2023-03-08T16:41:00
United States,Job Layoffs and Discharges,2001-07-31T00:00:00,2038,Monthly,USAJLAD,2023-03-08T16:41:00
United States,Job Layoffs and Discharges,2001-08-31T00:00:00,2011,Monthly,USAJLAD,2023-03-08T16:41:00
United States,Job Layoffs and Discharges,2001-09-30T00:00:00,2107,Monthly,USAJLAD,2023-03-08T16:41:00
United States,Job Layoffs and Discharges,2001-10-31T00:00:00,2319,Monthly,USAJLAD,2023-03-08T16:41:00
United States,Job Layoffs and Discharges,2001-11-30T00:00:00,2255,Monthly,USAJLAD,2023-03-08T16:41:00
United States,Job Layoffs and Discharges,2001-12-31T00:00:00,1922,Monthly,USAJLAD,2023-03-08T16:41:00
United States,Job Layoffs and Discharges,2002-01-31T00:00:00,1907,Monthly,USAJLAD,2023-03-08T16:41:00
United States,Job Layoffs and Discharges,2002-02-28T00:00:00,1978,Monthly,USAJLAD,2023-03-08T16:41:00
United States,Job Layoffs and Discharges,2002-03-31T00:00:00,1883,Monthly,USAJLAD,2023-03-08T16:41:00
United States,Job Layoffs and Discharges,2002-04-30T00:00:00,1956,Monthly,USAJLAD,2023-03-08T16:41:00
United States,Job Layoffs and Discharges,2002-05-31T00:00:00,1967,Monthly,USAJLAD,2023-03-08T16:41:00
United States,Job Layoffs and Discharges,2002-06-30T00:00:00,2015,Monthly,USAJLAD,2023-03-08T16:41:00
United States,Job Layoffs and Discharges,2002-07-31T00:00:00,2102,Monthly,USAJLAD,2023-03-08T16:41:00
United States,Job Layoffs and Discharges,2002-08-31T00:00:00,1923,Monthly,USAJLAD,2023-03-08T16:41:00
United States,Job Layoffs and Discharges,2002-09-30T00:00:00,2022,Monthly,USAJLAD,2023-03-08T16:41:00
United States,Job Layoffs and Discharges,2002-10-31T00:00:00,1935,Monthly,USAJLAD,2023-03-08T16:41:00
