Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
United States,Jobless Claims 4-week Average,1967-01-28T00:00:00,209,Weekly,UNITEDSTAJC4A,2020-03-29T12:55:00
United States,Jobless Claims 4-week Average,1967-02-04T00:00:00,211,Weekly,UNITEDSTAJC4A,2020-03-29T12:55:00
United States,Jobless Claims 4-week Average,1967-02-11T00:00:00,216.5,Weekly,UNITEDSTAJC4A,2020-03-29T12:55:00
United States,Jobless Claims 4-week Average,1967-02-18T00:00:00,219.5,Weekly,UNITEDSTAJC4A,2020-03-29T12:55:00
United States,Jobless Claims 4-week Average,1967-02-25T00:00:00,229,Weekly,UNITEDSTAJC4A,2020-03-29T12:55:00
United States,Jobless Claims 4-week Average,1967-03-04T00:00:00,252.5,Weekly,UNITEDSTAJC4A,2020-03-29T12:55:00
United States,Jobless Claims 4-week Average,1967-03-11T00:00:00,255.5,Weekly,UNITEDSTAJC4A,2020-03-29T12:55:00
United States,Jobless Claims 4-week Average,1967-03-18T00:00:00,259.5,Weekly,UNITEDSTAJC4A,2020-03-29T12:55:00
United States,Jobless Claims 4-week Average,1967-03-25T00:00:00,260.75,Weekly,UNITEDSTAJC4A,2020-03-29T12:55:00
United States,Jobless Claims 4-week Average,1967-04-01T00:00:00,248,Weekly,UNITEDSTAJC4A,2020-03-29T12:55:00
United States,Jobless Claims 4-week Average,1967-04-08T00:00:00,252,Weekly,UNITEDSTAJC4A,2020-03-29T12:55:00
United States,Jobless Claims 4-week Average,1967-04-15T00:00:00,265.5,Weekly,UNITEDSTAJC4A,2020-03-29T12:55:00
United States,Jobless Claims 4-week Average,1967-04-22T00:00:00,265,Weekly,UNITEDSTAJC4A,2020-03-29T12:55:00
United States,Jobless Claims 4-week Average,1967-04-29T00:00:00,264,Weekly,UNITEDSTAJC4A,2020-03-29T12:55:00
United States,Jobless Claims 4-week Average,1967-05-06T00:00:00,263.25,Weekly,UNITEDSTAJC4A,2020-03-29T12:55:00
United States,Jobless Claims 4-week Average,1967-05-13T00:00:00,246.25,Weekly,UNITEDSTAJC4A,2020-03-29T12:55:00
United States,Jobless Claims 4-week Average,1967-05-20T00:00:00,242.5,Weekly,UNITEDSTAJC4A,2020-03-29T12:55:00
United States,Jobless Claims 4-week Average,1967-05-27T00:00:00,235.75,Weekly,UNITEDSTAJC4A,2020-03-29T12:55:00
United States,Jobless Claims 4-week Average,1967-06-03T00:00:00,234.25,Weekly,UNITEDSTAJC4A,2020-03-29T12:55:00
United States,Jobless Claims 4-week Average,1967-06-10T00:00:00,236,Weekly,UNITEDSTAJC4A,2020-03-29T12:55:00
United States,Jobless Claims 4-week Average,1967-06-17T00:00:00,234.5,Weekly,UNITEDSTAJC4A,2020-03-29T12:55:00
United States,Jobless Claims 4-week Average,1967-06-24T00:00:00,232,Weekly,UNITEDSTAJC4A,2020-03-29T12:55:00
United States,Jobless Claims 4-week Average,1967-07-01T00:00:00,222.25,Weekly,UNITEDSTAJC4A,2020-03-29T12:55:00
United States,Jobless Claims 4-week Average,1967-07-08T00:00:00,222.75,Weekly,UNITEDSTAJC4A,2020-03-29T12:55:00
United States,Jobless Claims 4-week Average,1967-07-15T00:00:00,227,Weekly,UNITEDSTAJC4A,2020-03-29T12:55:00
United States,Jobless Claims 4-week Average,1967-07-22T00:00:00,232.5,Weekly,UNITEDSTAJC4A,2020-03-29T12:55:00
United States,Jobless Claims 4-week Average,1967-07-29T00:00:00,232.5,Weekly,UNITEDSTAJC4A,2020-03-29T12:55:00
United States,Jobless Claims 4-week Average,1967-08-05T00:00:00,227.75,Weekly,UNITEDSTAJC4A,2020-03-29T12:55:00
United States,Jobless Claims 4-week Average,1967-08-12T00:00:00,218,Weekly,UNITEDSTAJC4A,2020-03-29T12:55:00
United States,Jobless Claims 4-week Average,1967-08-19T00:00:00,211.75,Weekly,UNITEDSTAJC4A,2020-03-29T12:55:00
United States,Jobless Claims 4-week Average,1967-08-26T00:00:00,212.75,Weekly,UNITEDSTAJC4A,2020-03-29T12:55:00
United States,Jobless Claims 4-week Average,1967-09-02T00:00:00,212,Weekly,UNITEDSTAJC4A,2020-03-29T12:55:00
United States,Jobless Claims 4-week Average,1967-09-09T00:00:00,219.25,Weekly,UNITEDSTAJC4A,2020-03-29T12:55:00
United States,Jobless Claims 4-week Average,1967-09-16T00:00:00,220.5,Weekly,UNITEDSTAJC4A,2020-03-29T12:55:00
United States,Jobless Claims 4-week Average,1967-09-23T00:00:00,219.5,Weekly,UNITEDSTAJC4A,2020-03-29T12:55:00
United States,Jobless Claims 4-week Average,1967-09-30T00:00:00,216,Weekly,UNITEDSTAJC4A,2020-03-29T12:55:00
United States,Jobless Claims 4-week Average,1967-10-07T00:00:00,216,Weekly,UNITEDSTAJC4A,2020-03-29T12:55:00
United States,Jobless Claims 4-week Average,1967-10-14T00:00:00,212.5,Weekly,UNITEDSTAJC4A,2020-03-29T12:55:00
United States,Jobless Claims 4-week Average,1967-10-21T00:00:00,216,Weekly,UNITEDSTAJC4A,2020-03-29T12:55:00
