Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
United States,Jobless Claims - Federal Workers,1984-06-09T00:00:00,24,Weekly,USAJCFW,2025-03-21T10:19:00
United States,Jobless Claims - Federal Workers,1984-08-04T00:00:00,99,Weekly,USAJCFW,2025-03-21T10:19:00
United States,Jobless Claims - Federal Workers,1984-08-11T00:00:00,79,Weekly,USAJCFW,2025-03-21T10:19:00
United States,Jobless Claims - Federal Workers,1985-04-06T00:00:00,32,Weekly,USAJCFW,2025-03-21T10:19:00
United States,Jobless Claims - Federal Workers,1985-09-28T00:00:00,76,Weekly,USAJCFW,2025-03-21T10:19:00
United States,Jobless Claims - Federal Workers,1985-10-05T00:00:00,262,Weekly,USAJCFW,2025-03-21T10:19:00
United States,Jobless Claims - Federal Workers,1985-10-12T00:00:00,309,Weekly,USAJCFW,2025-03-21T10:19:00
United States,Jobless Claims - Federal Workers,1985-10-19T00:00:00,148,Weekly,USAJCFW,2025-03-21T10:19:00
United States,Jobless Claims - Federal Workers,1985-10-26T00:00:00,105,Weekly,USAJCFW,2025-03-21T10:19:00
United States,Jobless Claims - Federal Workers,1985-11-02T00:00:00,91,Weekly,USAJCFW,2025-03-21T10:19:00
United States,Jobless Claims - Federal Workers,1985-11-09T00:00:00,199,Weekly,USAJCFW,2025-03-21T10:19:00
United States,Jobless Claims - Federal Workers,1985-11-16T00:00:00,160,Weekly,USAJCFW,2025-03-21T10:19:00
United States,Jobless Claims - Federal Workers,1985-11-23T00:00:00,236,Weekly,USAJCFW,2025-03-21T10:19:00
United States,Jobless Claims - Federal Workers,1985-11-30T00:00:00,188,Weekly,USAJCFW,2025-03-21T10:19:00
United States,Jobless Claims - Federal Workers,1985-12-07T00:00:00,222,Weekly,USAJCFW,2025-03-21T10:19:00
United States,Jobless Claims - Federal Workers,1985-12-14T00:00:00,211,Weekly,USAJCFW,2025-03-21T10:19:00
United States,Jobless Claims - Federal Workers,1985-12-21T00:00:00,148,Weekly,USAJCFW,2025-03-21T10:19:00
United States,Jobless Claims - Federal Workers,1985-12-28T00:00:00,129,Weekly,USAJCFW,2025-03-21T10:19:00
United States,Jobless Claims - Federal Workers,1986-01-04T00:00:00,74,Weekly,USAJCFW,2025-03-21T10:19:00
United States,Jobless Claims - Federal Workers,1986-01-11T00:00:00,504,Weekly,USAJCFW,2025-03-21T10:19:00
United States,Jobless Claims - Federal Workers,1986-01-18T00:00:00,277,Weekly,USAJCFW,2025-03-21T10:19:00
United States,Jobless Claims - Federal Workers,1986-01-25T00:00:00,226,Weekly,USAJCFW,2025-03-21T10:19:00
United States,Jobless Claims - Federal Workers,1986-02-01T00:00:00,379,Weekly,USAJCFW,2025-03-21T10:19:00
United States,Jobless Claims - Federal Workers,1986-02-08T00:00:00,805,Weekly,USAJCFW,2025-03-21T10:19:00
United States,Jobless Claims - Federal Workers,1986-02-15T00:00:00,1795,Weekly,USAJCFW,2025-03-21T10:19:00
United States,Jobless Claims - Federal Workers,1986-02-22T00:00:00,2150,Weekly,USAJCFW,2025-03-21T10:19:00
United States,Jobless Claims - Federal Workers,1986-03-01T00:00:00,2101,Weekly,USAJCFW,2025-03-21T10:19:00
United States,Jobless Claims - Federal Workers,1986-03-08T00:00:00,2222,Weekly,USAJCFW,2025-03-21T10:19:00
United States,Jobless Claims - Federal Workers,1986-03-15T00:00:00,2017,Weekly,USAJCFW,2025-03-21T10:19:00
United States,Jobless Claims - Federal Workers,1986-03-22T00:00:00,2108,Weekly,USAJCFW,2025-03-21T10:19:00
United States,Jobless Claims - Federal Workers,1986-03-29T00:00:00,1730,Weekly,USAJCFW,2025-03-21T10:19:00
United States,Jobless Claims - Federal Workers,1986-04-05T00:00:00,2174,Weekly,USAJCFW,2025-03-21T10:19:00
United States,Jobless Claims - Federal Workers,1986-04-12T00:00:00,2540,Weekly,USAJCFW,2025-03-21T10:19:00
United States,Jobless Claims - Federal Workers,1986-04-19T00:00:00,2027,Weekly,USAJCFW,2025-03-21T10:19:00
United States,Jobless Claims - Federal Workers,1986-04-26T00:00:00,1983,Weekly,USAJCFW,2025-03-21T10:19:00
United States,Jobless Claims - Federal Workers,1986-05-03T00:00:00,1920,Weekly,USAJCFW,2025-03-21T10:19:00
United States,Jobless Claims - Federal Workers,1986-05-10T00:00:00,2047,Weekly,USAJCFW,2025-03-21T10:19:00
United States,Jobless Claims - Federal Workers,1986-05-17T00:00:00,2132,Weekly,USAJCFW,2025-03-21T10:19:00
United States,Jobless Claims - Federal Workers,1986-05-24T00:00:00,2039,Weekly,USAJCFW,2025-03-21T10:19:00
United States,Jobless Claims - Federal Workers,1986-05-31T00:00:00,2503,Weekly,USAJCFW,2025-03-21T10:19:00
United States,Jobless Claims - Federal Workers,1986-06-07T00:00:00,2958,Weekly,USAJCFW,2025-03-21T10:19:00
United States,Jobless Claims - Federal Workers,1986-06-14T00:00:00,2753,Weekly,USAJCFW,2025-03-21T10:19:00
United States,Jobless Claims - Federal Workers,1986-06-21T00:00:00,3100,Weekly,USAJCFW,2025-03-21T10:19:00
United States,Jobless Claims - Federal Workers,1986-06-28T00:00:00,2353,Weekly,USAJCFW,2025-03-21T10:19:00
United States,Jobless Claims - Federal Workers,1986-07-05T00:00:00,2862,Weekly,USAJCFW,2025-03-21T10:19:00
United States,Jobless Claims - Federal Workers,1986-07-12T00:00:00,3431,Weekly,USAJCFW,2025-03-21T10:19:00
United States,Jobless Claims - Federal Workers,1986-07-19T00:00:00,2715,Weekly,USAJCFW,2025-03-21T10:19:00
United States,Jobless Claims - Federal Workers,1986-07-26T00:00:00,2411,Weekly,USAJCFW,2025-03-21T10:19:00
United States,Jobless Claims - Federal Workers,1986-08-02T00:00:00,2201,Weekly,USAJCFW,2025-03-21T10:19:00
United States,Jobless Claims - Federal Workers,1986-08-09T00:00:00,2183,Weekly,USAJCFW,2025-03-21T10:19:00
United States,Jobless Claims - Federal Workers,1986-08-16T00:00:00,1868,Weekly,USAJCFW,2025-03-21T10:19:00
United States,Jobless Claims - Federal Workers,1986-08-23T00:00:00,1994,Weekly,USAJCFW,2025-03-21T10:19:00
United States,Jobless Claims - Federal Workers,1986-08-30T00:00:00,1768,Weekly,USAJCFW,2025-03-21T10:19:00
United States,Jobless Claims - Federal Workers,1986-09-06T00:00:00,2167,Weekly,USAJCFW,2025-03-21T10:19:00
United States,Jobless Claims - Federal Workers,1986-09-13T00:00:00,2194,Weekly,USAJCFW,2025-03-21T10:19:00
United States,Jobless Claims - Federal Workers,1986-09-20T00:00:00,1947,Weekly,USAJCFW,2025-03-21T10:19:00
United States,Jobless Claims - Federal Workers,1986-09-27T00:00:00,1870,Weekly,USAJCFW,2025-03-21T10:19:00
United States,Jobless Claims - Federal Workers,1986-10-04T00:00:00,3035,Weekly,USAJCFW,2025-03-21T10:19:00
United States,Jobless Claims - Federal Workers,1986-10-11T00:00:00,3674,Weekly,USAJCFW,2025-03-21T10:19:00
United States,Jobless Claims - Federal Workers,1986-10-18T00:00:00,2710,Weekly,USAJCFW,2025-03-21T10:19:00
United States,Jobless Claims - Federal Workers,1986-10-25T00:00:00,2484,Weekly,USAJCFW,2025-03-21T10:19:00
United States,Jobless Claims - Federal Workers,1986-11-01T00:00:00,2382,Weekly,USAJCFW,2025-03-21T10:19:00
United States,Jobless Claims - Federal Workers,1986-11-08T00:00:00,2475,Weekly,USAJCFW,2025-03-21T10:19:00
United States,Jobless Claims - Federal Workers,1986-11-15T00:00:00,2299,Weekly,USAJCFW,2025-03-21T10:19:00
United States,Jobless Claims - Federal Workers,1986-11-22T00:00:00,2696,Weekly,USAJCFW,2025-03-21T10:19:00
United States,Jobless Claims - Federal Workers,1986-11-29T00:00:00,2275,Weekly,USAJCFW,2025-03-21T10:19:00
United States,Jobless Claims - Federal Workers,1986-12-06T00:00:00,2746,Weekly,USAJCFW,2025-03-21T10:19:00
United States,Jobless Claims - Federal Workers,1986-12-13T00:00:00,3052,Weekly,USAJCFW,2025-03-21T10:19:00
United States,Jobless Claims - Federal Workers,1986-12-20T00:00:00,2391,Weekly,USAJCFW,2025-03-21T10:19:00
United States,Jobless Claims - Federal Workers,1986-12-27T00:00:00,2078,Weekly,USAJCFW,2025-03-21T10:19:00
