Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
United States,Labour Costs,1947-03-31T00:00:00,14.981,Quarterly,UNITEDSTALABCOS,2025-03-13T11:03:00
United States,Labour Costs,1947-06-30T00:00:00,14.98,Quarterly,UNITEDSTALABCOS,2025-03-13T11:03:00
United States,Labour Costs,1947-09-30T00:00:00,15.911,Quarterly,UNITEDSTALABCOS,2025-03-13T11:03:00
United States,Labour Costs,1947-12-31T00:00:00,15.632,Quarterly,UNITEDSTALABCOS,2025-03-13T11:03:00
United States,Labour Costs,1948-03-31T00:00:00,15.929,Quarterly,UNITEDSTALABCOS,2024-04-29T14:33:00
United States,Labour Costs,1948-06-30T00:00:00,16.185,Quarterly,UNITEDSTALABCOS,2025-03-13T11:03:00
United States,Labour Costs,1948-09-30T00:00:00,16.5,Quarterly,UNITEDSTALABCOS,2025-03-13T11:03:00
United States,Labour Costs,1948-12-31T00:00:00,16.588,Quarterly,UNITEDSTALABCOS,2025-03-13T11:03:00
United States,Labour Costs,1949-03-31T00:00:00,16.518,Quarterly,UNITEDSTALABCOS,2025-03-13T11:03:00
United States,Labour Costs,1949-06-30T00:00:00,16.381,Quarterly,UNITEDSTALABCOS,2025-03-13T11:03:00
United States,Labour Costs,1949-09-30T00:00:00,16.038,Quarterly,UNITEDSTALABCOS,2024-04-29T14:33:00
United States,Labour Costs,1949-12-31T00:00:00,16.077,Quarterly,UNITEDSTALABCOS,2024-04-29T14:33:00
United States,Labour Costs,1950-03-31T00:00:00,15.944,Quarterly,UNITEDSTALABCOS,2024-04-29T14:33:00
United States,Labour Costs,1950-06-30T00:00:00,16.093,Quarterly,UNITEDSTALABCOS,2025-03-13T11:03:00
United States,Labour Costs,1950-09-30T00:00:00,16.065,Quarterly,UNITEDSTALABCOS,2025-03-13T11:03:00
United States,Labour Costs,1950-12-31T00:00:00,16.439,Quarterly,UNITEDSTALABCOS,2025-03-13T11:03:00
United States,Labour Costs,1951-03-31T00:00:00,16.815,Quarterly,UNITEDSTALABCOS,2025-03-13T11:03:00
United States,Labour Costs,1951-06-30T00:00:00,17.242,Quarterly,UNITEDSTALABCOS,2024-04-29T14:33:00
United States,Labour Costs,1951-09-30T00:00:00,17.055,Quarterly,UNITEDSTALABCOS,2025-03-13T11:03:00
United States,Labour Costs,1951-12-31T00:00:00,17.328,Quarterly,UNITEDSTALABCOS,2025-03-13T11:03:00
United States,Labour Costs,1952-03-31T00:00:00,17.423,Quarterly,UNITEDSTALABCOS,2024-04-29T14:33:00
United States,Labour Costs,1952-06-30T00:00:00,17.588,Quarterly,UNITEDSTALABCOS,2025-03-13T11:03:00
United States,Labour Costs,1952-09-30T00:00:00,17.895,Quarterly,UNITEDSTALABCOS,2024-04-29T14:33:00
United States,Labour Costs,1952-12-31T00:00:00,17.965,Quarterly,UNITEDSTALABCOS,2024-04-29T14:33:00
United States,Labour Costs,1953-03-31T00:00:00,18.016,Quarterly,UNITEDSTALABCOS,2024-04-29T14:33:00
United States,Labour Costs,1953-06-30T00:00:00,18.185,Quarterly,UNITEDSTALABCOS,2024-04-29T14:33:00
United States,Labour Costs,1953-09-30T00:00:00,18.299,Quarterly,UNITEDSTALABCOS,2025-03-13T11:03:00
United States,Labour Costs,1953-12-31T00:00:00,18.542,Quarterly,UNITEDSTALABCOS,2025-03-13T11:03:00
United States,Labour Costs,1954-03-31T00:00:00,18.658,Quarterly,UNITEDSTALABCOS,2025-03-13T11:03:00
United States,Labour Costs,1954-06-30T00:00:00,18.551,Quarterly,UNITEDSTALABCOS,2024-04-29T14:33:00
United States,Labour Costs,1954-09-30T00:00:00,18.367,Quarterly,UNITEDSTALABCOS,2024-04-29T14:33:00
United States,Labour Costs,1954-12-31T00:00:00,18.341,Quarterly,UNITEDSTALABCOS,2025-03-13T11:03:00
United States,Labour Costs,1955-03-31T00:00:00,18.111,Quarterly,UNITEDSTALABCOS,2025-03-13T11:03:00
United States,Labour Costs,1955-06-30T00:00:00,18.199,Quarterly,UNITEDSTALABCOS,2025-03-13T11:03:00
United States,Labour Costs,1955-09-30T00:00:00,18.456,Quarterly,UNITEDSTALABCOS,2024-04-29T14:33:00
United States,Labour Costs,1955-12-31T00:00:00,18.689,Quarterly,UNITEDSTALABCOS,2025-03-13T11:03:00
