Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
United States,Leading Economic Index,1959-01-31T00:00:00,25.9,Monthly,UNITEDSTALEAECOIND,2024-01-16T11:44:00
United States,Leading Economic Index,1959-02-28T00:00:00,26.3,Monthly,UNITEDSTALEAECOIND,2024-01-16T11:44:00
United States,Leading Economic Index,1959-03-31T00:00:00,26.7,Monthly,UNITEDSTALEAECOIND,2024-01-16T11:44:00
United States,Leading Economic Index,1959-04-30T00:00:00,26.8,Monthly,UNITEDSTALEAECOIND,2024-01-16T11:44:00
United States,Leading Economic Index,1959-05-31T00:00:00,27,Monthly,UNITEDSTALEAECOIND,2024-01-16T11:44:00
United States,Leading Economic Index,1959-06-30T00:00:00,27.1,Monthly,UNITEDSTALEAECOIND,2024-01-16T11:44:00
United States,Leading Economic Index,1959-07-31T00:00:00,27.2,Monthly,UNITEDSTALEAECOIND,2024-01-16T11:44:00
United States,Leading Economic Index,1959-08-31T00:00:00,27.1,Monthly,UNITEDSTALEAECOIND,2024-01-16T11:44:00
United States,Leading Economic Index,1959-09-30T00:00:00,27.1,Monthly,UNITEDSTALEAECOIND,2024-01-16T11:44:00
United States,Leading Economic Index,1959-10-31T00:00:00,27,Monthly,UNITEDSTALEAECOIND,2024-01-16T11:44:00
United States,Leading Economic Index,1959-11-30T00:00:00,26.9,Monthly,UNITEDSTALEAECOIND,2024-01-16T11:44:00
United States,Leading Economic Index,1959-12-31T00:00:00,27.4,Monthly,UNITEDSTALEAECOIND,2024-01-16T11:44:00
United States,Leading Economic Index,1960-01-31T00:00:00,27.5,Monthly,UNITEDSTALEAECOIND,2024-01-16T11:44:00
United States,Leading Economic Index,1960-02-29T00:00:00,27.5,Monthly,UNITEDSTALEAECOIND,2024-01-16T11:44:00
United States,Leading Economic Index,1960-03-31T00:00:00,27.3,Monthly,UNITEDSTALEAECOIND,2024-01-16T11:44:00
United States,Leading Economic Index,1960-04-30T00:00:00,27.5,Monthly,UNITEDSTALEAECOIND,2024-01-16T11:44:00
United States,Leading Economic Index,1960-05-31T00:00:00,27.5,Monthly,UNITEDSTALEAECOIND,2024-01-16T11:44:00
United States,Leading Economic Index,1960-06-30T00:00:00,27.5,Monthly,UNITEDSTALEAECOIND,2024-01-16T11:44:00
United States,Leading Economic Index,1960-07-31T00:00:00,27.5,Monthly,UNITEDSTALEAECOIND,2024-01-16T11:44:00
United States,Leading Economic Index,1960-08-31T00:00:00,27.7,Monthly,UNITEDSTALEAECOIND,2024-01-16T11:44:00
United States,Leading Economic Index,1960-09-30T00:00:00,27.7,Monthly,UNITEDSTALEAECOIND,2024-01-16T11:44:00
United States,Leading Economic Index,1960-10-31T00:00:00,27.7,Monthly,UNITEDSTALEAECOIND,2024-01-16T11:44:00
United States,Leading Economic Index,1960-11-30T00:00:00,27.7,Monthly,UNITEDSTALEAECOIND,2024-01-16T11:44:00
United States,Leading Economic Index,1960-12-31T00:00:00,27.7,Monthly,UNITEDSTALEAECOIND,2024-01-16T11:44:00
United States,Leading Economic Index,1961-01-31T00:00:00,27.9,Monthly,UNITEDSTALEAECOIND,2024-01-16T11:44:00
United States,Leading Economic Index,1961-02-28T00:00:00,28,Monthly,UNITEDSTALEAECOIND,2024-01-16T11:44:00
