Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
United States,Loans to Private Sector,1947-01-31T00:00:00,11.29,Monthly,UNITEDSTALOATOPRISEC,2024-06-26T09:28:00
United States,Loans to Private Sector,1947-02-28T00:00:00,11.52,Monthly,UNITEDSTALOATOPRISEC,2024-06-26T09:28:00
United States,Loans to Private Sector,1947-03-31T00:00:00,11.77,Monthly,UNITEDSTALOATOPRISEC,2024-06-26T09:28:00
United States,Loans to Private Sector,1947-04-30T00:00:00,12.03,Monthly,UNITEDSTALOATOPRISEC,2024-06-26T09:28:00
United States,Loans to Private Sector,1947-05-31T00:00:00,12.28,Monthly,UNITEDSTALOATOPRISEC,2024-06-26T09:28:00
United States,Loans to Private Sector,1947-06-30T00:00:00,12.48,Monthly,UNITEDSTALOATOPRISEC,2024-06-26T09:28:00
United States,Loans to Private Sector,1947-07-31T00:00:00,12.78,Monthly,UNITEDSTALOATOPRISEC,2024-06-26T09:28:00
United States,Loans to Private Sector,1947-08-31T00:00:00,13.08,Monthly,UNITEDSTALOATOPRISEC,2024-06-26T09:28:00
United States,Loans to Private Sector,1947-09-30T00:00:00,13.35,Monthly,UNITEDSTALOATOPRISEC,2024-06-26T09:28:00
United States,Loans to Private Sector,1947-10-31T00:00:00,13.63,Monthly,UNITEDSTALOATOPRISEC,2024-06-26T09:28:00
United States,Loans to Private Sector,1947-11-30T00:00:00,13.9,Monthly,UNITEDSTALOATOPRISEC,2024-06-26T09:28:00
United States,Loans to Private Sector,1947-12-31T00:00:00,14.21,Monthly,UNITEDSTALOATOPRISEC,2024-06-26T09:28:00
United States,Loans to Private Sector,1948-01-31T00:00:00,14.4,Monthly,UNITEDSTALOATOPRISEC,2024-06-26T09:28:00
United States,Loans to Private Sector,1948-02-29T00:00:00,14.56,Monthly,UNITEDSTALOATOPRISEC,2024-06-26T09:28:00
United States,Loans to Private Sector,1948-03-31T00:00:00,14.75,Monthly,UNITEDSTALOATOPRISEC,2024-06-26T09:28:00
United States,Loans to Private Sector,1948-04-30T00:00:00,14.93,Monthly,UNITEDSTALOATOPRISEC,2024-06-26T09:28:00
United States,Loans to Private Sector,1948-05-31T00:00:00,15.1,Monthly,UNITEDSTALOATOPRISEC,2024-06-26T09:28:00
United States,Loans to Private Sector,1948-06-30T00:00:00,15.22,Monthly,UNITEDSTALOATOPRISEC,2024-06-26T09:28:00
United States,Loans to Private Sector,1948-07-31T00:00:00,15.27,Monthly,UNITEDSTALOATOPRISEC,2024-06-26T09:28:00
United States,Loans to Private Sector,1948-08-31T00:00:00,15.21,Monthly,UNITEDSTALOATOPRISEC,2024-06-26T09:28:00
United States,Loans to Private Sector,1948-09-30T00:00:00,15.15,Monthly,UNITEDSTALOATOPRISEC,2024-06-26T09:28:00
United States,Loans to Private Sector,1948-10-31T00:00:00,15.09,Monthly,UNITEDSTALOATOPRISEC,2024-06-26T09:28:00
United States,Loans to Private Sector,1948-11-30T00:00:00,15.05,Monthly,UNITEDSTALOATOPRISEC,2024-06-26T09:28:00
United States,Loans to Private Sector,1948-12-31T00:00:00,15.03,Monthly,UNITEDSTALOATOPRISEC,2024-06-26T09:28:00
United States,Loans to Private Sector,1949-01-31T00:00:00,14.93,Monthly,UNITEDSTALOATOPRISEC,2024-06-26T09:28:00
United States,Loans to Private Sector,1949-02-28T00:00:00,14.79,Monthly,UNITEDSTALOATOPRISEC,2024-06-26T09:28:00
United States,Loans to Private Sector,1949-03-31T00:00:00,14.66,Monthly,UNITEDSTALOATOPRISEC,2024-06-26T09:28:00
