Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
United States,MBA Mortgage Market Index,1990-01-05T00:00:00,91.7,Weekly,USAMMMI,2021-10-26T15:08:00
United States,MBA Mortgage Market Index,1990-01-12T00:00:00,95.8,Weekly,USAMMMI,2021-10-26T13:45:00
United States,MBA Mortgage Market Index,1990-01-19T00:00:00,111.1,Weekly,USAMMMI,2021-10-26T13:45:00
United States,MBA Mortgage Market Index,1990-01-26T00:00:00,108.3,Weekly,USAMMMI,2021-10-26T13:45:00
United States,MBA Mortgage Market Index,1990-02-02T00:00:00,97.6,Weekly,USAMMMI,2021-10-26T13:45:00
United States,MBA Mortgage Market Index,1990-02-09T00:00:00,95.1,Weekly,USAMMMI,2021-10-26T13:45:00
United States,MBA Mortgage Market Index,1990-02-16T00:00:00,91.8,Weekly,USAMMMI,2021-10-26T13:45:00
United States,MBA Mortgage Market Index,1990-02-23T00:00:00,119.1,Weekly,USAMMMI,2021-10-26T13:45:00
United States,MBA Mortgage Market Index,1990-03-02T00:00:00,93.3,Weekly,USAMMMI,2021-10-26T13:45:00
United States,MBA Mortgage Market Index,1990-03-09T00:00:00,91.1,Weekly,USAMMMI,2021-10-26T13:45:00
United States,MBA Mortgage Market Index,1990-03-16T00:00:00,88.6,Weekly,USAMMMI,2021-10-26T13:45:00
United States,MBA Mortgage Market Index,1990-03-23T00:00:00,93.7,Weekly,USAMMMI,2021-10-26T13:45:00
United States,MBA Mortgage Market Index,1990-03-30T00:00:00,97.2,Weekly,USAMMMI,2021-10-26T13:45:00
United States,MBA Mortgage Market Index,1990-04-06T00:00:00,87.6,Weekly,USAMMMI,2021-10-26T13:45:00
United States,MBA Mortgage Market Index,1990-04-13T00:00:00,111.5,Weekly,USAMMMI,2021-10-26T13:45:00
United States,MBA Mortgage Market Index,1990-04-20T00:00:00,81.2,Weekly,USAMMMI,2021-10-26T13:45:00
United States,MBA Mortgage Market Index,1990-04-27T00:00:00,82.3,Weekly,USAMMMI,2021-10-26T13:45:00
United States,MBA Mortgage Market Index,1990-05-04T00:00:00,79.7,Weekly,USAMMMI,2021-10-26T13:45:00
United States,MBA Mortgage Market Index,1990-05-11T00:00:00,84.8,Weekly,USAMMMI,2021-10-26T13:45:00
United States,MBA Mortgage Market Index,1990-05-18T00:00:00,83.8,Weekly,USAMMMI,2021-10-26T13:45:00
United States,MBA Mortgage Market Index,1990-05-25T00:00:00,87,Weekly,USAMMMI,2021-10-26T13:45:00
United States,MBA Mortgage Market Index,1990-06-01T00:00:00,98.5,Weekly,USAMMMI,2021-10-26T13:45:00
United States,MBA Mortgage Market Index,1990-06-08T00:00:00,97.9,Weekly,USAMMMI,2021-10-26T13:45:00
United States,MBA Mortgage Market Index,1990-06-15T00:00:00,91.3,Weekly,USAMMMI,2021-10-26T13:45:00
United States,MBA Mortgage Market Index,1990-06-22T00:00:00,79.8,Weekly,USAMMMI,2021-10-26T13:45:00
United States,MBA Mortgage Market Index,1990-06-29T00:00:00,83.8,Weekly,USAMMMI,2021-10-26T13:45:00
United States,MBA Mortgage Market Index,1990-07-06T00:00:00,96.4,Weekly,USAMMMI,2021-10-26T13:45:00
United States,MBA Mortgage Market Index,1990-07-13T00:00:00,83.6,Weekly,USAMMMI,2021-10-26T13:45:00
United States,MBA Mortgage Market Index,1990-07-20T00:00:00,87.9,Weekly,USAMMMI,2021-10-26T13:45:00
United States,MBA Mortgage Market Index,1990-07-27T00:00:00,86.6,Weekly,USAMMMI,2021-10-26T13:45:00
United States,MBA Mortgage Market Index,1990-08-03T00:00:00,100.6,Weekly,USAMMMI,2021-10-26T13:45:00
United States,MBA Mortgage Market Index,1990-08-10T00:00:00,112.3,Weekly,USAMMMI,2021-10-26T13:45:00
United States,MBA Mortgage Market Index,1990-08-17T00:00:00,85.5,Weekly,USAMMMI,2021-10-26T13:45:00
United States,MBA Mortgage Market Index,1990-08-24T00:00:00,92.5,Weekly,USAMMMI,2021-10-26T13:45:00
United States,MBA Mortgage Market Index,1990-08-31T00:00:00,78.8,Weekly,USAMMMI,2021-10-26T13:45:00
United States,MBA Mortgage Market Index,1990-09-07T00:00:00,75.8,Weekly,USAMMMI,2021-10-26T13:45:00
United States,MBA Mortgage Market Index,1990-09-14T00:00:00,83.3,Weekly,USAMMMI,2021-10-26T13:45:00
United States,MBA Mortgage Market Index,1990-09-21T00:00:00,80.3,Weekly,USAMMMI,2021-10-26T13:45:00
United States,MBA Mortgage Market Index,1990-09-28T00:00:00,81.9,Weekly,USAMMMI,2021-10-26T13:45:00
United States,MBA Mortgage Market Index,1990-10-05T00:00:00,82.4,Weekly,USAMMMI,2021-10-26T13:45:00
United States,MBA Mortgage Market Index,1990-10-12T00:00:00,84.3,Weekly,USAMMMI,2021-10-26T13:45:00
United States,MBA Mortgage Market Index,1990-10-19T00:00:00,64.2,Weekly,USAMMMI,2021-10-26T13:45:00
United States,MBA Mortgage Market Index,1990-10-26T00:00:00,72.2,Weekly,USAMMMI,2021-10-26T13:45:00
United States,MBA Mortgage Market Index,1990-11-02T00:00:00,79.8,Weekly,USAMMMI,2021-10-26T13:45:00
United States,MBA Mortgage Market Index,1990-11-09T00:00:00,82.2,Weekly,USAMMMI,2021-10-26T13:45:00
United States,MBA Mortgage Market Index,1990-11-16T00:00:00,81.9,Weekly,USAMMMI,2021-10-26T13:45:00
United States,MBA Mortgage Market Index,1990-11-23T00:00:00,78.2,Weekly,USAMMMI,2021-10-26T13:45:00
United States,MBA Mortgage Market Index,1990-11-30T00:00:00,94.3,Weekly,USAMMMI,2021-10-26T13:45:00
United States,MBA Mortgage Market Index,1990-12-07T00:00:00,94.9,Weekly,USAMMMI,2021-10-26T13:45:00
United States,MBA Mortgage Market Index,1990-12-14T00:00:00,102.9,Weekly,USAMMMI,2021-10-26T13:45:00
United States,MBA Mortgage Market Index,1990-12-21T00:00:00,91.1,Weekly,USAMMMI,2021-10-26T13:45:00
United States,MBA Mortgage Market Index,1990-12-28T00:00:00,68,Weekly,USAMMMI,2021-10-26T13:45:00
United States,MBA Mortgage Market Index,1991-01-04T00:00:00,91.6,Weekly,USAMMMI,2021-10-26T13:45:00
United States,MBA Mortgage Market Index,1991-01-11T00:00:00,128,Weekly,USAMMMI,2021-10-26T13:45:00
United States,MBA Mortgage Market Index,1991-01-18T00:00:00,107.1,Weekly,USAMMMI,2021-10-26T13:45:00
United States,MBA Mortgage Market Index,1991-01-25T00:00:00,95,Weekly,USAMMMI,2021-10-26T13:45:00
United States,MBA Mortgage Market Index,1991-02-01T00:00:00,91.1,Weekly,USAMMMI,2021-10-26T13:45:00
United States,MBA Mortgage Market Index,1991-02-08T00:00:00,102.7,Weekly,USAMMMI,2021-10-26T13:45:00
