Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
United States,MBA Mortgage Refinance Index,1990-01-05T00:00:00,158.7,Weekly,USAMMRI,2021-10-26T15:08:00
United States,MBA Mortgage Refinance Index,1990-01-12T00:00:00,168.1,Weekly,USAMMRI,2021-10-26T15:06:00
United States,MBA Mortgage Refinance Index,1990-01-19T00:00:00,168.3,Weekly,USAMMRI,2021-10-26T15:06:00
United States,MBA Mortgage Refinance Index,1990-01-26T00:00:00,128.1,Weekly,USAMMRI,2021-10-26T15:06:00
United States,MBA Mortgage Refinance Index,1990-02-02T00:00:00,110.7,Weekly,USAMMRI,2021-10-26T15:06:00
United States,MBA Mortgage Refinance Index,1990-02-09T00:00:00,106.1,Weekly,USAMMRI,2021-10-26T15:06:00
United States,MBA Mortgage Refinance Index,1990-02-16T00:00:00,82.2,Weekly,USAMMRI,2021-10-26T15:06:00
United States,MBA Mortgage Refinance Index,1990-02-23T00:00:00,121.1,Weekly,USAMMRI,2021-10-26T15:06:00
United States,MBA Mortgage Refinance Index,1990-03-02T00:00:00,80.4,Weekly,USAMMRI,2021-10-26T15:06:00
United States,MBA Mortgage Refinance Index,1990-03-09T00:00:00,105.1,Weekly,USAMMRI,2021-10-26T15:06:00
United States,MBA Mortgage Refinance Index,1990-03-16T00:00:00,100,Weekly,USAMMRI,2021-10-26T15:06:00
United States,MBA Mortgage Refinance Index,1990-03-23T00:00:00,90.1,Weekly,USAMMRI,2021-10-26T15:06:00
United States,MBA Mortgage Refinance Index,1990-03-30T00:00:00,102.7,Weekly,USAMMRI,2021-10-26T15:06:00
United States,MBA Mortgage Refinance Index,1990-04-06T00:00:00,92.4,Weekly,USAMMRI,2021-10-26T15:06:00
United States,MBA Mortgage Refinance Index,1990-04-13T00:00:00,95.4,Weekly,USAMMRI,2021-10-26T15:06:00
United States,MBA Mortgage Refinance Index,1990-04-20T00:00:00,81,Weekly,USAMMRI,2021-10-26T15:06:00
United States,MBA Mortgage Refinance Index,1990-04-27T00:00:00,78.7,Weekly,USAMMRI,2021-10-26T15:06:00
United States,MBA Mortgage Refinance Index,1990-05-04T00:00:00,68.8,Weekly,USAMMRI,2021-10-26T15:06:00
United States,MBA Mortgage Refinance Index,1990-05-11T00:00:00,78.7,Weekly,USAMMRI,2021-10-26T15:06:00
United States,MBA Mortgage Refinance Index,1990-05-18T00:00:00,75.7,Weekly,USAMMRI,2021-10-26T15:06:00
United States,MBA Mortgage Refinance Index,1990-05-25T00:00:00,72.9,Weekly,USAMMRI,2021-10-26T15:06:00
United States,MBA Mortgage Refinance Index,1990-06-01T00:00:00,83.1,Weekly,USAMMRI,2021-10-26T15:06:00
United States,MBA Mortgage Refinance Index,1990-06-08T00:00:00,86.9,Weekly,USAMMRI,2021-10-26T15:06:00
United States,MBA Mortgage Refinance Index,1990-06-15T00:00:00,87.9,Weekly,USAMMRI,2021-10-26T15:06:00
United States,MBA Mortgage Refinance Index,1990-06-22T00:00:00,69.9,Weekly,USAMMRI,2021-10-26T15:06:00
United States,MBA Mortgage Refinance Index,1990-06-29T00:00:00,72,Weekly,USAMMRI,2021-10-26T15:06:00
United States,MBA Mortgage Refinance Index,1990-07-06T00:00:00,85.3,Weekly,USAMMRI,2021-10-26T15:06:00
United States,MBA Mortgage Refinance Index,1990-07-13T00:00:00,80.3,Weekly,USAMMRI,2021-10-26T15:06:00
