Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
United States,Michigan Consumer Expectations,1952-11-30T00:00:00,92.4,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1953-02-28T00:00:00,95.5,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1953-11-30T00:00:00,83.9,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1954-02-28T00:00:00,85.3,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1954-05-31T00:00:00,86.1,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1954-11-30T00:00:00,89.7,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1955-05-31T00:00:00,99.9,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1955-11-30T00:00:00,103.8,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1956-05-31T00:00:00,103.3,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1956-08-31T00:00:00,105.2,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1956-11-30T00:00:00,105.2,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1957-05-31T00:00:00,96.2,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1957-11-30T00:00:00,86.3,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1958-05-31T00:00:00,82.9,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1958-11-30T00:00:00,94.1,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1959-05-31T00:00:00,97.5,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1959-11-30T00:00:00,95.8,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1960-02-29T00:00:00,104.6,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1960-05-31T00:00:00,98.6,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1960-08-31T00:00:00,97.5,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1960-11-30T00:00:00,93.4,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1961-02-28T00:00:00,94.9,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1961-05-31T00:00:00,98.1,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1961-08-31T00:00:00,98.5,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1961-11-30T00:00:00,96.8,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1962-02-28T00:00:00,103.4,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1962-05-31T00:00:00,96.5,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1962-08-31T00:00:00,93.4,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1962-11-30T00:00:00,99.2,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1963-02-28T00:00:00,99.9,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1963-05-31T00:00:00,94.1,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1963-08-31T00:00:00,97,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1963-11-30T00:00:00,97,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1964-02-29T00:00:00,99.4,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1964-05-31T00:00:00,97.2,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1965-02-28T00:00:00,103,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1965-05-31T00:00:00,103.1,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1965-08-31T00:00:00,104.3,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1965-11-30T00:00:00,104.8,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1966-02-28T00:00:00,100,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1966-05-31T00:00:00,96,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1966-08-31T00:00:00,90.7,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1966-11-30T00:00:00,90.2,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1967-02-28T00:00:00,96.4,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1967-05-31T00:00:00,94.3,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1967-08-31T00:00:00,95.5,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1967-11-30T00:00:00,91.1,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1968-02-29T00:00:00,94.3,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1968-05-31T00:00:00,89.9,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1968-08-31T00:00:00,89.6,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1968-11-30T00:00:00,91.6,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1969-02-28T00:00:00,98,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1969-05-31T00:00:00,91.1,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1969-08-31T00:00:00,86.6,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1969-11-30T00:00:00,79.6,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1970-02-28T00:00:00,75.8,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1970-05-31T00:00:00,71.2,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1970-08-31T00:00:00,75.7,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1970-11-30T00:00:00,71.3,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1971-02-28T00:00:00,75.9,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1971-05-31T00:00:00,75.9,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1971-08-31T00:00:00,78.4,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1971-11-30T00:00:00,77.2,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1972-02-29T00:00:00,90.9,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1972-05-31T00:00:00,82.2,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1972-08-31T00:00:00,91.3,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1972-11-30T00:00:00,87.8,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1973-02-28T00:00:00,73.3,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1973-05-31T00:00:00,67.3,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1973-08-31T00:00:00,63,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1973-11-30T00:00:00,67.1,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1974-02-28T00:00:00,49.4,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1974-05-31T00:00:00,63.9,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1974-08-31T00:00:00,57.6,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1974-11-30T00:00:00,51.2,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1975-02-28T00:00:00,50,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1975-05-31T00:00:00,69.8,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1975-08-31T00:00:00,70.7,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1975-11-30T00:00:00,69.9,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1976-02-29T00:00:00,81.2,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1976-05-31T00:00:00,79.5,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1976-08-31T00:00:00,85.5,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1976-11-30T00:00:00,85.9,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1977-02-28T00:00:00,84.2,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1977-05-31T00:00:00,83.6,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1977-08-31T00:00:00,81.5,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1977-11-30T00:00:00,75.9,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1978-01-31T00:00:00,75.7,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1978-02-28T00:00:00,77.2,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1978-03-31T00:00:00,69.5,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1978-04-30T00:00:00,71.1,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1978-05-31T00:00:00,73,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1978-06-30T00:00:00,68.1,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1978-07-31T00:00:00,72,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1978-08-31T00:00:00,67,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1978-09-30T00:00:00,69.8,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1978-10-31T00:00:00,71.7,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1978-11-30T00:00:00,62.8,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1978-12-31T00:00:00,53.8,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1979-01-31T00:00:00,58.4,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1979-02-28T00:00:00,62.2,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1979-03-31T00:00:00,53.7,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1979-04-30T00:00:00,53.3,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1979-05-31T00:00:00,54.9,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1979-06-30T00:00:00,51.4,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1979-07-31T00:00:00,44.2,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1979-08-31T00:00:00,49.3,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1979-09-30T00:00:00,53.6,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1979-10-31T00:00:00,49.5,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1979-11-30T00:00:00,52,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1979-12-31T00:00:00,51.5,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1980-01-31T00:00:00,54.1,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1980-02-29T00:00:00,54.9,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1980-03-31T00:00:00,44.3,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1980-04-30T00:00:00,44.4,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1980-05-31T00:00:00,45.3,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1980-06-30T00:00:00,53,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1980-07-31T00:00:00,53.4,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1980-08-31T00:00:00,59.6,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1980-09-30T00:00:00,67.9,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1980-10-31T00:00:00,69.6,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1980-11-30T00:00:00,76.9,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1980-12-31T00:00:00,60.4,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1981-01-31T00:00:00,67.9,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1981-02-28T00:00:00,62.1,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1981-03-31T00:00:00,62.1,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1981-04-30T00:00:00,68.8,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1981-05-31T00:00:00,73.6,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1981-06-30T00:00:00,71.2,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1981-07-31T00:00:00,67.1,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1981-08-31T00:00:00,70.8,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1981-09-30T00:00:00,69,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1981-10-31T00:00:00,62.2,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1981-11-30T00:00:00,56.3,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1981-12-31T00:00:00,56.8,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1982-01-31T00:00:00,62.9,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1982-02-28T00:00:00,58.7,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1982-03-31T00:00:00,53.1,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1982-04-30T00:00:00,61.1,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1982-05-31T00:00:00,62,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1982-06-30T00:00:00,60.1,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1982-07-31T00:00:00,57.6,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1982-08-31T00:00:00,60.9,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1982-09-30T00:00:00,66.9,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1982-10-31T00:00:00,70.4,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1982-11-30T00:00:00,71,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1982-12-31T00:00:00,67.9,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1983-01-31T00:00:00,65.2,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1983-02-28T00:00:00,71.2,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1983-03-31T00:00:00,80.9,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1983-04-30T00:00:00,86.9,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1983-05-31T00:00:00,93.4,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1983-06-30T00:00:00,89.2,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1983-07-31T00:00:00,90.5,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1983-08-31T00:00:00,88.2,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1983-09-30T00:00:00,85.8,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1983-10-31T00:00:00,86.1,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1983-11-30T00:00:00,87.9,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1983-12-31T00:00:00,91,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1984-01-31T00:00:00,97,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1984-02-29T00:00:00,93.2,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1984-03-31T00:00:00,97.7,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1984-04-30T00:00:00,91.4,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1984-05-31T00:00:00,90.6,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1984-06-30T00:00:00,89.8,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1984-07-31T00:00:00,91.9,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1984-08-31T00:00:00,93.7,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1984-09-30T00:00:00,96.4,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1984-10-31T00:00:00,91.6,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1984-11-30T00:00:00,91.5,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1984-12-31T00:00:00,87.9,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1985-01-31T00:00:00,90.3,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1985-02-28T00:00:00,86.5,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1985-03-31T00:00:00,87.3,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1985-04-30T00:00:00,87,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1985-05-31T00:00:00,84.2,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1985-06-30T00:00:00,91.1,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1985-07-31T00:00:00,87.4,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1985-08-31T00:00:00,86.3,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1985-09-30T00:00:00,84.2,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1985-10-31T00:00:00,80.8,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1985-11-30T00:00:00,84.5,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1985-12-31T00:00:00,88.1,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1986-01-31T00:00:00,85.3,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1986-02-28T00:00:00,87.8,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1986-03-31T00:00:00,86.9,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1986-04-30T00:00:00,88.5,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1986-05-31T00:00:00,87.5,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1986-06-30T00:00:00,90.3,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1986-07-31T00:00:00,88.5,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1986-08-31T00:00:00,85.9,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1986-09-30T00:00:00,81.3,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1986-10-31T00:00:00,87.1,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1986-11-30T00:00:00,81.6,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1986-12-31T00:00:00,78.3,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1987-01-31T00:00:00,80.9,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1987-02-28T00:00:00,81.6,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1987-03-31T00:00:00,83.3,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1987-04-30T00:00:00,84.7,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1987-05-31T00:00:00,80.6,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1987-06-30T00:00:00,80.8,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1987-07-31T00:00:00,83.3,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1987-08-31T00:00:00,85.8,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1987-09-30T00:00:00,84.2,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1987-10-31T00:00:00,80.4,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1987-11-30T00:00:00,72.7,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1987-12-31T00:00:00,76.7,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1988-01-31T00:00:00,80.9,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1988-02-29T00:00:00,81.9,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1988-03-31T00:00:00,85.2,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1988-04-30T00:00:00,82.4,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1988-05-31T00:00:00,87.3,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1988-06-30T00:00:00,85.7,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1988-07-31T00:00:00,82.3,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1988-08-31T00:00:00,88.8,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1988-09-30T00:00:00,89.5,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1988-10-31T00:00:00,87,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1988-11-30T00:00:00,86.3,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1988-12-31T00:00:00,85.5,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1989-01-31T00:00:00,89.9,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1989-02-28T00:00:00,88.8,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1989-03-31T00:00:00,87.6,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1989-04-30T00:00:00,83.2,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1989-05-31T00:00:00,80.1,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1989-06-30T00:00:00,82,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1989-07-31T00:00:00,85.5,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1989-08-31T00:00:00,80.3,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1989-09-30T00:00:00,88.6,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1989-10-31T00:00:00,87.2,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1989-11-30T00:00:00,84.3,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1989-12-31T00:00:00,85.5,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1990-01-31T00:00:00,83.4,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1990-02-28T00:00:00,81.3,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1990-03-31T00:00:00,81.3,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1990-04-30T00:00:00,83.9,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1990-05-31T00:00:00,79.3,Monthly,USAMCE,2021-10-21T13:12:00
United States,Michigan Consumer Expectations,1990-06-30T00:00:00,76.6,Monthly,USAMCE,2021-10-21T13:12:00
