Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
United States,Michigan Current Economic Conditions,1951-02-28T00:00:00,67.7,Monthly,USAMCEC,2021-10-21T13:09:00
United States,Michigan Current Economic Conditions,1951-05-31T00:00:00,60.2,Monthly,USAMCEC,2021-10-21T13:09:00
United States,Michigan Current Economic Conditions,1951-11-30T00:00:00,63.6,Monthly,USAMCEC,2021-10-21T13:09:00
United States,Michigan Current Economic Conditions,1952-02-29T00:00:00,66.2,Monthly,USAMCEC,2021-10-21T13:09:00
United States,Michigan Current Economic Conditions,1952-05-31T00:00:00,70.4,Monthly,USAMCEC,2021-10-21T13:09:00
United States,Michigan Current Economic Conditions,1952-11-30T00:00:00,73.4,Monthly,USAMCEC,2021-10-21T13:09:00
United States,Michigan Current Economic Conditions,1953-02-28T00:00:00,78.7,Monthly,USAMCEC,2021-10-21T13:09:00
United States,Michigan Current Economic Conditions,1953-11-30T00:00:00,73.4,Monthly,USAMCEC,2021-10-21T13:09:00
United States,Michigan Current Economic Conditions,1954-02-28T00:00:00,75.7,Monthly,USAMCEC,2021-10-21T13:09:00
United States,Michigan Current Economic Conditions,1954-05-31T00:00:00,81.4,Monthly,USAMCEC,2021-10-21T13:09:00
United States,Michigan Current Economic Conditions,1954-11-30T00:00:00,83.2,Monthly,USAMCEC,2021-10-21T13:09:00
United States,Michigan Current Economic Conditions,1955-05-31T00:00:00,95,Monthly,USAMCEC,2021-10-21T13:09:00
United States,Michigan Current Economic Conditions,1955-11-30T00:00:00,94.6,Monthly,USAMCEC,2021-10-21T13:09:00
United States,Michigan Current Economic Conditions,1956-08-31T00:00:00,93.1,Monthly,USAMCEC,2021-10-21T13:09:00
United States,Michigan Current Economic Conditions,1956-11-30T00:00:00,94.2,Monthly,USAMCEC,2021-10-21T13:09:00
United States,Michigan Current Economic Conditions,1957-05-31T00:00:00,88.9,Monthly,USAMCEC,2021-10-21T13:09:00
United States,Michigan Current Economic Conditions,1957-11-30T00:00:00,79.5,Monthly,USAMCEC,2021-10-21T13:09:00
United States,Michigan Current Economic Conditions,1958-05-31T00:00:00,78,Monthly,USAMCEC,2021-10-21T13:09:00
United States,Michigan Current Economic Conditions,1958-11-30T00:00:00,86.7,Monthly,USAMCEC,2021-10-21T13:09:00
United States,Michigan Current Economic Conditions,1959-05-31T00:00:00,92.7,Monthly,USAMCEC,2021-10-21T13:09:00
United States,Michigan Current Economic Conditions,1959-11-30T00:00:00,87,Monthly,USAMCEC,2021-10-21T13:09:00
United States,Michigan Current Economic Conditions,1960-02-29T00:00:00,99.6,Monthly,USAMCEC,2021-10-21T13:09:00
United States,Michigan Current Economic Conditions,1960-05-31T00:00:00,91.6,Monthly,USAMCEC,2021-10-21T13:09:00
United States,Michigan Current Economic Conditions,1960-08-31T00:00:00,96.9,Monthly,USAMCEC,2021-10-21T13:09:00
United States,Michigan Current Economic Conditions,1960-11-30T00:00:00,89.3,Monthly,USAMCEC,2021-10-21T13:09:00
United States,Michigan Current Economic Conditions,1961-02-28T00:00:00,93.2,Monthly,USAMCEC,2021-10-21T13:09:00
United States,Michigan Current Economic Conditions,1961-05-31T00:00:00,90.9,Monthly,USAMCEC,2021-10-21T13:09:00
United States,Michigan Current Economic Conditions,1961-08-31T00:00:00,100.2,Monthly,USAMCEC,2021-10-21T13:09:00
United States,Michigan Current Economic Conditions,1961-11-30T00:00:00,94,Monthly,USAMCEC,2021-10-21T13:09:00
United States,Michigan Current Economic Conditions,1962-02-28T00:00:00,100.8,Monthly,USAMCEC,2021-10-21T13:09:00
United States,Michigan Current Economic Conditions,1962-05-31T00:00:00,94.2,Monthly,USAMCEC,2021-10-21T13:09:00
United States,Michigan Current Economic Conditions,1962-08-31T00:00:00,95.6,Monthly,USAMCEC,2021-10-21T13:09:00
United States,Michigan Current Economic Conditions,1962-11-30T00:00:00,95.5,Monthly,USAMCEC,2021-10-21T13:09:00
United States,Michigan Current Economic Conditions,1963-02-28T00:00:00,103.2,Monthly,USAMCEC,2021-10-21T13:09:00
United States,Michigan Current Economic Conditions,1963-05-31T00:00:00,94.3,Monthly,USAMCEC,2021-10-21T13:09:00
United States,Michigan Current Economic Conditions,1963-08-31T00:00:00,102.3,Monthly,USAMCEC,2021-10-21T13:09:00
United States,Michigan Current Economic Conditions,1963-11-30T00:00:00,97.6,Monthly,USAMCEC,2021-10-21T13:09:00
United States,Michigan Current Economic Conditions,1964-02-29T00:00:00,99.5,Monthly,USAMCEC,2021-10-21T13:09:00
United States,Michigan Current Economic Conditions,1964-05-31T00:00:00,99.9,Monthly,USAMCEC,2021-10-21T13:09:00
United States,Michigan Current Economic Conditions,1965-02-28T00:00:00,100.4,Monthly,USAMCEC,2021-10-21T13:09:00
United States,Michigan Current Economic Conditions,1965-05-31T00:00:00,109,Monthly,USAMCEC,2021-10-21T13:09:00
United States,Michigan Current Economic Conditions,1965-08-31T00:00:00,102.9,Monthly,USAMCEC,2021-10-21T13:09:00
United States,Michigan Current Economic Conditions,1965-11-30T00:00:00,100,Monthly,USAMCEC,2021-10-21T13:09:00
United States,Michigan Current Economic Conditions,1966-02-28T00:00:00,100,Monthly,USAMCEC,2021-10-21T13:09:00
United States,Michigan Current Economic Conditions,1966-05-31T00:00:00,95.7,Monthly,USAMCEC,2021-10-21T13:09:00
United States,Michigan Current Economic Conditions,1966-08-31T00:00:00,92,Monthly,USAMCEC,2021-10-21T13:09:00
United States,Michigan Current Economic Conditions,1966-11-30T00:00:00,85.1,Monthly,USAMCEC,2021-10-21T13:09:00
United States,Michigan Current Economic Conditions,1967-02-28T00:00:00,90.4,Monthly,USAMCEC,2021-10-21T13:09:00
United States,Michigan Current Economic Conditions,1967-05-31T00:00:00,98.4,Monthly,USAMCEC,2021-10-21T13:09:00
United States,Michigan Current Economic Conditions,1967-08-31T00:00:00,99.5,Monthly,USAMCEC,2021-10-21T13:09:00
United States,Michigan Current Economic Conditions,1967-11-30T00:00:00,95.6,Monthly,USAMCEC,2021-10-21T13:09:00
United States,Michigan Current Economic Conditions,1968-02-29T00:00:00,101.6,Monthly,USAMCEC,2021-10-21T13:09:00
United States,Michigan Current Economic Conditions,1968-05-31T00:00:00,96.4,Monthly,USAMCEC,2021-10-21T13:09:00
United States,Michigan Current Economic Conditions,1968-08-31T00:00:00,96.8,Monthly,USAMCEC,2021-10-21T13:09:00
United States,Michigan Current Economic Conditions,1968-11-30T00:00:00,91.9,Monthly,USAMCEC,2021-10-21T13:09:00
United States,Michigan Current Economic Conditions,1969-02-28T00:00:00,98.3,Monthly,USAMCEC,2021-10-21T13:09:00
United States,Michigan Current Economic Conditions,1969-05-31T00:00:00,92.2,Monthly,USAMCEC,2021-10-21T13:09:00
United States,Michigan Current Economic Conditions,1969-08-31T00:00:00,86.2,Monthly,USAMCEC,2021-10-21T13:09:00
United States,Michigan Current Economic Conditions,1969-11-30T00:00:00,79.9,Monthly,USAMCEC,2021-10-21T13:09:00
United States,Michigan Current Economic Conditions,1970-02-28T00:00:00,81.6,Monthly,USAMCEC,2021-10-21T13:09:00
United States,Michigan Current Economic Conditions,1970-05-31T00:00:00,81.9,Monthly,USAMCEC,2021-10-21T13:09:00
United States,Michigan Current Economic Conditions,1970-08-31T00:00:00,80.6,Monthly,USAMCEC,2021-10-21T13:09:00
United States,Michigan Current Economic Conditions,1970-11-30T00:00:00,74,Monthly,USAMCEC,2021-10-21T13:09:00
United States,Michigan Current Economic Conditions,1971-02-28T00:00:00,81.7,Monthly,USAMCEC,2021-10-21T13:09:00
United States,Michigan Current Economic Conditions,1971-05-31T00:00:00,87,Monthly,USAMCEC,2021-10-21T13:09:00
United States,Michigan Current Economic Conditions,1971-08-31T00:00:00,87.8,Monthly,USAMCEC,2021-10-21T13:09:00
United States,Michigan Current Economic Conditions,1971-11-30T00:00:00,89.6,Monthly,USAMCEC,2021-10-21T13:09:00
United States,Michigan Current Economic Conditions,1972-02-29T00:00:00,95.7,Monthly,USAMCEC,2021-10-21T13:09:00
United States,Michigan Current Economic Conditions,1972-05-31T00:00:00,98.6,Monthly,USAMCEC,2021-10-21T13:09:00
United States,Michigan Current Economic Conditions,1972-08-31T00:00:00,101.2,Monthly,USAMCEC,2021-10-21T13:09:00
United States,Michigan Current Economic Conditions,1972-11-30T00:00:00,95.2,Monthly,USAMCEC,2021-10-21T13:09:00
United States,Michigan Current Economic Conditions,1973-02-28T00:00:00,95.1,Monthly,USAMCEC,2021-10-21T13:09:00
United States,Michigan Current Economic Conditions,1973-05-31T00:00:00,92,Monthly,USAMCEC,2021-10-21T13:09:00
United States,Michigan Current Economic Conditions,1973-08-31T00:00:00,85.9,Monthly,USAMCEC,2021-10-21T13:09:00
United States,Michigan Current Economic Conditions,1973-11-30T00:00:00,91,Monthly,USAMCEC,2021-10-21T13:09:00
United States,Michigan Current Economic Conditions,1974-02-28T00:00:00,81.1,Monthly,USAMCEC,2021-10-21T13:09:00
United States,Michigan Current Economic Conditions,1974-05-31T00:00:00,84.9,Monthly,USAMCEC,2021-10-21T13:09:00
United States,Michigan Current Economic Conditions,1974-08-31T00:00:00,75,Monthly,USAMCEC,2021-10-21T13:09:00
United States,Michigan Current Economic Conditions,1974-11-30T00:00:00,72.4,Monthly,USAMCEC,2021-10-21T13:09:00
United States,Michigan Current Economic Conditions,1975-02-28T00:00:00,69.3,Monthly,USAMCEC,2021-10-21T13:09:00
United States,Michigan Current Economic Conditions,1975-05-31T00:00:00,77.4,Monthly,USAMCEC,2021-10-21T13:09:00
United States,Michigan Current Economic Conditions,1975-08-31T00:00:00,83.5,Monthly,USAMCEC,2021-10-21T13:09:00
United States,Michigan Current Economic Conditions,1975-11-30T00:00:00,84.4,Monthly,USAMCEC,2021-10-21T13:09:00
United States,Michigan Current Economic Conditions,1976-02-29T00:00:00,89.9,Monthly,USAMCEC,2021-10-21T13:09:00
