Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
United States,Money Supply M2,1959-01-31T00:00:00,286.6,Monthly,UNITEDSTAMONSUPM2,2012-09-29T00:20:00
United States,Money Supply M2,1959-02-28T00:00:00,287.7,Monthly,UNITEDSTAMONSUPM2,2015-04-25T21:13:00
United States,Money Supply M2,1959-03-31T00:00:00,289.2,Monthly,UNITEDSTAMONSUPM2,2015-04-25T21:13:00
United States,Money Supply M2,1959-04-30T00:00:00,290.1,Monthly,UNITEDSTAMONSUPM2,2012-09-29T00:20:00
United States,Money Supply M2,1959-05-31T00:00:00,292.2,Monthly,UNITEDSTAMONSUPM2,2012-09-29T00:20:00
United States,Money Supply M2,1959-06-30T00:00:00,294.1,Monthly,UNITEDSTAMONSUPM2,2012-09-29T00:20:00
United States,Money Supply M2,1959-07-31T00:00:00,295.2,Monthly,UNITEDSTAMONSUPM2,2012-09-29T00:20:00
United States,Money Supply M2,1959-08-31T00:00:00,296.4,Monthly,UNITEDSTAMONSUPM2,2015-04-25T21:13:00
United States,Money Supply M2,1959-09-30T00:00:00,296.7,Monthly,UNITEDSTAMONSUPM2,2012-09-29T00:20:00
United States,Money Supply M2,1959-10-31T00:00:00,296.5,Monthly,UNITEDSTAMONSUPM2,2012-09-29T00:20:00
United States,Money Supply M2,1959-11-30T00:00:00,297.1,Monthly,UNITEDSTAMONSUPM2,2015-04-25T21:13:00
United States,Money Supply M2,1959-12-31T00:00:00,297.8,Monthly,UNITEDSTAMONSUPM2,2012-09-29T00:20:00
United States,Money Supply M2,1960-01-31T00:00:00,298.2,Monthly,UNITEDSTAMONSUPM2,2012-09-29T00:20:00
United States,Money Supply M2,1960-02-29T00:00:00,298.4,Monthly,UNITEDSTAMONSUPM2,2024-04-24T13:20:00
United States,Money Supply M2,1960-03-31T00:00:00,299.3,Monthly,UNITEDSTAMONSUPM2,2024-04-24T13:20:00
United States,Money Supply M2,1960-04-30T00:00:00,300.1,Monthly,UNITEDSTAMONSUPM2,2012-09-29T00:20:00
United States,Money Supply M2,1960-05-31T00:00:00,300.9,Monthly,UNITEDSTAMONSUPM2,2015-04-25T21:13:00
United States,Money Supply M2,1960-06-30T00:00:00,302.3,Monthly,UNITEDSTAMONSUPM2,2012-09-29T00:20:00
United States,Money Supply M2,1960-07-31T00:00:00,304.1,Monthly,UNITEDSTAMONSUPM2,2012-09-29T00:20:00
United States,Money Supply M2,1960-08-31T00:00:00,306.9,Monthly,UNITEDSTAMONSUPM2,2012-09-29T00:20:00
United States,Money Supply M2,1960-09-30T00:00:00,308.4,Monthly,UNITEDSTAMONSUPM2,2012-09-29T00:20:00
United States,Money Supply M2,1960-10-31T00:00:00,309.5,Monthly,UNITEDSTAMONSUPM2,2015-04-25T21:13:00
United States,Money Supply M2,1960-11-30T00:00:00,310.9,Monthly,UNITEDSTAMONSUPM2,2012-09-29T00:20:00
United States,Money Supply M2,1960-12-31T00:00:00,312.4,Monthly,UNITEDSTAMONSUPM2,2012-09-29T00:20:00
United States,Money Supply M2,1961-01-31T00:00:00,314.1,Monthly,UNITEDSTAMONSUPM2,2015-04-25T21:13:00
United States,Money Supply M2,1961-02-28T00:00:00,316.5,Monthly,UNITEDSTAMONSUPM2,2012-09-29T00:20:00
United States,Money Supply M2,1961-03-31T00:00:00,318.3,Monthly,UNITEDSTAMONSUPM2,2012-09-29T00:20:00
United States,Money Supply M2,1961-04-30T00:00:00,319.9,Monthly,UNITEDSTAMONSUPM2,2015-04-25T21:13:00
United States,Money Supply M2,1961-05-31T00:00:00,322.2,Monthly,UNITEDSTAMONSUPM2,2012-09-29T00:20:00
United States,Money Supply M2,1961-06-30T00:00:00,324.3,Monthly,UNITEDSTAMONSUPM2,2012-09-29T00:20:00
United States,Money Supply M2,1961-07-31T00:00:00,325.6,Monthly,UNITEDSTAMONSUPM2,2015-04-25T21:13:00
United States,Money Supply M2,1961-08-31T00:00:00,327.6,Monthly,UNITEDSTAMONSUPM2,2012-09-29T00:20:00
United States,Money Supply M2,1961-09-30T00:00:00,329.5,Monthly,UNITEDSTAMONSUPM2,2012-09-29T00:20:00
United States,Money Supply M2,1961-10-31T00:00:00,331.1,Monthly,UNITEDSTAMONSUPM2,2015-04-25T21:13:00
United States,Money Supply M2,1961-11-30T00:00:00,333.4,Monthly,UNITEDSTAMONSUPM2,2012-09-29T00:20:00
United States,Money Supply M2,1961-12-31T00:00:00,335.5,Monthly,UNITEDSTAMONSUPM2,2012-09-29T00:20:00
United States,Money Supply M2,1962-01-31T00:00:00,337.5,Monthly,UNITEDSTAMONSUPM2,2012-09-29T00:20:00
United States,Money Supply M2,1962-02-28T00:00:00,340.1,Monthly,UNITEDSTAMONSUPM2,2012-09-29T00:20:00
United States,Money Supply M2,1962-03-31T00:00:00,343.1,Monthly,UNITEDSTAMONSUPM2,2012-09-29T00:20:00
United States,Money Supply M2,1962-04-30T00:00:00,345.5,Monthly,UNITEDSTAMONSUPM2,2015-04-25T21:13:00
United States,Money Supply M2,1962-05-31T00:00:00,347.5,Monthly,UNITEDSTAMONSUPM2,2012-09-29T00:20:00
United States,Money Supply M2,1962-06-30T00:00:00,349.3,Monthly,UNITEDSTAMONSUPM2,2012-09-29T00:20:00
United States,Money Supply M2,1962-07-31T00:00:00,350.8,Monthly,UNITEDSTAMONSUPM2,2015-04-25T21:13:00
United States,Money Supply M2,1962-08-31T00:00:00,352.8,Monthly,UNITEDSTAMONSUPM2,2012-09-29T00:20:00
United States,Money Supply M2,1962-09-30T00:00:00,354.9,Monthly,UNITEDSTAMONSUPM2,2015-04-25T21:13:00
United States,Money Supply M2,1962-10-31T00:00:00,357.2,Monthly,UNITEDSTAMONSUPM2,2012-09-29T00:20:00
United States,Money Supply M2,1962-11-30T00:00:00,359.8,Monthly,UNITEDSTAMONSUPM2,2012-09-29T00:20:00
United States,Money Supply M2,1962-12-31T00:00:00,362.7,Monthly,UNITEDSTAMONSUPM2,2015-04-25T21:13:00
United States,Money Supply M2,1963-01-31T00:00:00,365.2,Monthly,UNITEDSTAMONSUPM2,2012-09-29T00:20:00
United States,Money Supply M2,1963-02-28T00:00:00,367.9,Monthly,UNITEDSTAMONSUPM2,2012-09-29T00:20:00
United States,Money Supply M2,1963-03-31T00:00:00,370.7,Monthly,UNITEDSTAMONSUPM2,2012-09-29T00:20:00
United States,Money Supply M2,1963-04-30T00:00:00,373.3,Monthly,UNITEDSTAMONSUPM2,2012-09-29T00:20:00
