Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
United States,Mortgage Originations,2003-03-31T00:00:00,968.98,Quarterly,USAMORORI,2023-05-15T18:44:00
United States,Mortgage Originations,2003-06-30T00:00:00,1014.55,Quarterly,USAMORORI,2023-05-15T18:44:00
United States,Mortgage Originations,2003-09-30T00:00:00,1063.71,Quarterly,USAMORORI,2023-05-15T18:44:00
United States,Mortgage Originations,2003-12-31T00:00:00,1028.05,Quarterly,USAMORORI,2023-05-15T18:44:00
United States,Mortgage Originations,2004-03-31T00:00:00,656.8,Quarterly,USAMORORI,2023-05-15T18:44:00
United States,Mortgage Originations,2004-06-30T00:00:00,710.9,Quarterly,USAMORORI,2023-05-15T18:44:00
United States,Mortgage Originations,2004-09-30T00:00:00,786.83,Quarterly,USAMORORI,2023-05-15T18:44:00
United States,Mortgage Originations,2004-12-31T00:00:00,671.35,Quarterly,USAMORORI,2023-05-15T18:44:00
United States,Mortgage Originations,2005-03-31T00:00:00,659.2,Quarterly,USAMORORI,2023-05-15T18:44:00
United States,Mortgage Originations,2005-06-30T00:00:00,632.53,Quarterly,USAMORORI,2023-05-15T18:44:00
United States,Mortgage Originations,2005-09-30T00:00:00,761.87,Quarterly,USAMORORI,2023-05-15T18:44:00
United States,Mortgage Originations,2005-12-31T00:00:00,799.99,Quarterly,USAMORORI,2023-05-15T18:44:00
United States,Mortgage Originations,2006-03-31T00:00:00,675.34,Quarterly,USAMORORI,2023-05-15T18:44:00
United States,Mortgage Originations,2006-06-30T00:00:00,729.02,Quarterly,USAMORORI,2023-05-15T18:44:00
United States,Mortgage Originations,2006-09-30T00:00:00,719.86,Quarterly,USAMORORI,2023-05-15T18:44:00
United States,Mortgage Originations,2006-12-31T00:00:00,641.89,Quarterly,USAMORORI,2023-05-15T18:44:00
United States,Mortgage Originations,2007-03-31T00:00:00,751.69,Quarterly,USAMORORI,2023-05-15T18:44:00
United States,Mortgage Originations,2007-06-30T00:00:00,648.1,Quarterly,USAMORORI,2023-05-15T18:44:00
United States,Mortgage Originations,2007-09-30T00:00:00,701.94,Quarterly,USAMORORI,2023-05-15T18:44:00
United States,Mortgage Originations,2007-12-31T00:00:00,514.55,Quarterly,USAMORORI,2023-05-15T18:44:00
United States,Mortgage Originations,2008-03-31T00:00:00,453.16,Quarterly,USAMORORI,2023-05-15T18:44:00
United States,Mortgage Originations,2008-06-30T00:00:00,557.87,Quarterly,USAMORORI,2023-05-15T18:44:00
United States,Mortgage Originations,2008-09-30T00:00:00,393.78,Quarterly,USAMORORI,2023-05-15T18:44:00
United States,Mortgage Originations,2008-12-31T00:00:00,301.96,Quarterly,USAMORORI,2023-05-15T18:44:00
United States,Mortgage Originations,2009-03-31T00:00:00,397.6,Quarterly,USAMORORI,2023-05-15T18:44:00
United States,Mortgage Originations,2009-06-30T00:00:00,516.23,Quarterly,USAMORORI,2023-05-15T18:44:00
United States,Mortgage Originations,2009-09-30T00:00:00,511.32,Quarterly,USAMORORI,2023-05-15T18:44:00
United States,Mortgage Originations,2009-12-31T00:00:00,392.66,Quarterly,USAMORORI,2023-05-15T18:44:00
United States,Mortgage Originations,2010-03-31T00:00:00,379.49,Quarterly,USAMORORI,2023-05-15T18:44:00
United States,Mortgage Originations,2010-06-30T00:00:00,365.8,Quarterly,USAMORORI,2023-05-15T18:44:00
United States,Mortgage Originations,2010-09-30T00:00:00,389.06,Quarterly,USAMORORI,2023-05-15T18:44:00
United States,Mortgage Originations,2010-12-31T00:00:00,463.01,Quarterly,USAMORORI,2023-05-15T18:44:00
United States,Mortgage Originations,2011-03-31T00:00:00,497.22,Quarterly,USAMORORI,2023-05-15T18:44:00
United States,Mortgage Originations,2011-06-30T00:00:00,351.89,Quarterly,USAMORORI,2023-05-15T18:44:00
United States,Mortgage Originations,2011-09-30T00:00:00,292.27,Quarterly,USAMORORI,2023-05-15T18:44:00
United States,Mortgage Originations,2011-12-31T00:00:00,404.13,Quarterly,USAMORORI,2023-05-15T18:44:00
United States,Mortgage Originations,2012-03-31T00:00:00,411.8,Quarterly,USAMORORI,2023-05-15T18:44:00
United States,Mortgage Originations,2012-06-30T00:00:00,461.82,Quarterly,USAMORORI,2023-05-15T18:44:00
United States,Mortgage Originations,2012-09-30T00:00:00,520.58,Quarterly,USAMORORI,2023-05-15T18:44:00
United States,Mortgage Originations,2012-12-31T00:00:00,552.76,Quarterly,USAMORORI,2023-05-15T18:44:00
United States,Mortgage Originations,2013-03-31T00:00:00,576.76,Quarterly,USAMORORI,2023-05-15T18:44:00
United States,Mortgage Originations,2013-06-30T00:00:00,578.94,Quarterly,USAMORORI,2023-05-15T18:44:00
United States,Mortgage Originations,2013-09-30T00:00:00,548.75,Quarterly,USAMORORI,2023-05-15T18:44:00
United States,Mortgage Originations,2013-12-31T00:00:00,451.35,Quarterly,USAMORORI,2023-05-15T18:44:00
United States,Mortgage Originations,2014-03-31T00:00:00,331.85,Quarterly,USAMORORI,2023-05-15T18:44:00
United States,Mortgage Originations,2014-06-30T00:00:00,285.72,Quarterly,USAMORORI,2023-05-15T18:44:00
United States,Mortgage Originations,2014-09-30T00:00:00,336.97,Quarterly,USAMORORI,2023-05-15T18:44:00
United States,Mortgage Originations,2014-12-31T00:00:00,354.22,Quarterly,USAMORORI,2023-05-15T18:44:00
United States,Mortgage Originations,2015-03-31T00:00:00,368.49,Quarterly,USAMORORI,2023-05-15T18:44:00
United States,Mortgage Originations,2015-06-30T00:00:00,465.68,Quarterly,USAMORORI,2023-05-15T18:44:00
United States,Mortgage Originations,2015-09-30T00:00:00,489.09,Quarterly,USAMORORI,2023-05-15T18:44:00
United States,Mortgage Originations,2015-12-31T00:00:00,436.9,Quarterly,USAMORORI,2023-05-15T18:44:00
United States,Mortgage Originations,2016-03-31T00:00:00,388.6,Quarterly,USAMORORI,2023-05-15T18:44:00
United States,Mortgage Originations,2016-06-30T00:00:00,426.57,Quarterly,USAMORORI,2023-05-15T18:44:00
United States,Mortgage Originations,2016-09-30T00:00:00,477.06,Quarterly,USAMORORI,2023-05-15T18:44:00
United States,Mortgage Originations,2016-12-31T00:00:00,616.79,Quarterly,USAMORORI,2023-05-15T18:44:00
United States,Mortgage Originations,2017-03-31T00:00:00,491.37,Quarterly,USAMORORI,2023-05-15T18:44:00
United States,Mortgage Originations,2017-06-30T00:00:00,421.45,Quarterly,USAMORORI,2023-05-15T18:44:00
United States,Mortgage Originations,2017-09-30T00:00:00,479.35,Quarterly,USAMORORI,2023-05-15T18:44:00
United States,Mortgage Originations,2017-12-31T00:00:00,451.5,Quarterly,USAMORORI,2023-05-15T18:44:00
United States,Mortgage Originations,2018-03-31T00:00:00,427.89,Quarterly,USAMORORI,2023-05-15T18:44:00
United States,Mortgage Originations,2018-06-30T00:00:00,437.46,Quarterly,USAMORORI,2023-05-15T18:44:00
United States,Mortgage Originations,2018-09-30T00:00:00,445.26,Quarterly,USAMORORI,2023-05-15T18:44:00
United States,Mortgage Originations,2018-12-31T00:00:00,401.48,Quarterly,USAMORORI,2023-05-15T18:44:00
United States,Mortgage Originations,2019-03-31T00:00:00,344.02,Quarterly,USAMORORI,2023-05-15T18:44:00
United States,Mortgage Originations,2019-06-30T00:00:00,474.05,Quarterly,USAMORORI,2023-05-15T18:44:00
United States,Mortgage Originations,2019-09-30T00:00:00,528.25,Quarterly,USAMORORI,2023-05-15T18:44:00
United States,Mortgage Originations,2019-12-31T00:00:00,751.97,Quarterly,USAMORORI,2023-05-15T18:44:00
United States,Mortgage Originations,2020-03-31T00:00:00,661.67,Quarterly,USAMORORI,2023-05-15T18:44:00
United States,Mortgage Originations,2020-06-30T00:00:00,846.41,Quarterly,USAMORORI,2023-05-15T18:44:00
United States,Mortgage Originations,2020-09-30T00:00:00,1049.25,Quarterly,USAMORORI,2023-05-15T18:44:00
United States,Mortgage Originations,2020-12-31T00:00:00,1174.56,Quarterly,USAMORORI,2023-05-15T18:44:00
United States,Mortgage Originations,2021-03-31T00:00:00,1138.39,Quarterly,USAMORORI,2023-05-15T18:44:00
United States,Mortgage Originations,2021-06-30T00:00:00,1217.8,Quarterly,USAMORORI,2023-05-15T18:44:00
United States,Mortgage Originations,2021-09-30T00:00:00,1114.65,Quarterly,USAMORORI,2023-05-15T18:44:00
United States,Mortgage Originations,2021-12-31T00:00:00,1035.11,Quarterly,USAMORORI,2023-05-15T18:44:00
United States,Mortgage Originations,2022-03-31T00:00:00,858.95,Quarterly,USAMORORI,2023-05-15T18:44:00
United States,Mortgage Originations,2022-06-30T00:00:00,758.12,Quarterly,USAMORORI,2023-05-15T18:44:00
United States,Mortgage Originations,2022-09-30T00:00:00,632.5,Quarterly,USAMORORI,2023-05-15T18:44:00
United States,Mortgage Originations,2022-12-31T00:00:00,497.57,Quarterly,USAMORORI,2023-05-15T18:44:00
United States,Mortgage Originations,2023-03-31T00:00:00,323.53,Quarterly,USAMORORI,2023-05-15T18:44:00
United States,Mortgage Originations,2023-06-30T00:00:00,393.36,Quarterly,USAMORORI,2023-08-12T13:44:00
United States,Mortgage Originations,2023-09-30T00:00:00,386.37,Quarterly,USAMORORI,2023-11-11T10:21:00
United States,Mortgage Originations,2023-12-31T00:00:00,393.77,Quarterly,USAMORORI,2024-02-06T17:47:00
United States,Mortgage Originations,2024-03-31T00:00:00,402.65,Quarterly,USAMORORI,2024-06-28T08:46:00
United States,Mortgage Originations,2024-06-30T00:00:00,374.11,Quarterly,USAMORORI,2024-09-03T14:46:00
United States,Mortgage Originations,2024-09-30T00:00:00,448.31,Quarterly,USAMORORI,2024-11-13T16:18:00
United States,Mortgage Originations,2024-12-31T00:00:00,465.35,Quarterly,USAMORORI,2025-02-26T11:06:00
