Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
United States,Nahb Housing Market Index,1985-01-31T00:00:00,50,Monthly,UNITEDSTANAHHOUMARIN,2013-10-29T13:11:00
United States,Nahb Housing Market Index,1985-02-28T00:00:00,58,Monthly,UNITEDSTANAHHOUMARIN,2013-10-29T13:11:00
United States,Nahb Housing Market Index,1985-03-31T00:00:00,54,Monthly,UNITEDSTANAHHOUMARIN,2013-10-29T13:11:00
United States,Nahb Housing Market Index,1985-04-30T00:00:00,49,Monthly,UNITEDSTANAHHOUMARIN,2013-10-29T13:11:00
United States,Nahb Housing Market Index,1985-05-31T00:00:00,51,Monthly,UNITEDSTANAHHOUMARIN,2013-10-29T13:11:00
United States,Nahb Housing Market Index,1985-06-30T00:00:00,54,Monthly,UNITEDSTANAHHOUMARIN,2015-04-25T21:14:00
United States,Nahb Housing Market Index,1985-07-31T00:00:00,58,Monthly,UNITEDSTANAHHOUMARIN,2013-10-29T13:11:00
United States,Nahb Housing Market Index,1985-08-31T00:00:00,58,Monthly,UNITEDSTANAHHOUMARIN,2013-10-29T13:11:00
United States,Nahb Housing Market Index,1985-09-30T00:00:00,56,Monthly,UNITEDSTANAHHOUMARIN,2015-04-25T21:14:00
United States,Nahb Housing Market Index,1985-10-31T00:00:00,59,Monthly,UNITEDSTANAHHOUMARIN,2013-10-29T13:11:00
United States,Nahb Housing Market Index,1985-11-30T00:00:00,58,Monthly,UNITEDSTANAHHOUMARIN,2013-10-29T13:11:00
United States,Nahb Housing Market Index,1985-12-31T00:00:00,57,Monthly,UNITEDSTANAHHOUMARIN,2015-04-25T21:14:00
United States,Nahb Housing Market Index,1986-01-31T00:00:00,57,Monthly,UNITEDSTANAHHOUMARIN,2013-10-29T13:11:00
United States,Nahb Housing Market Index,1986-02-28T00:00:00,55,Monthly,UNITEDSTANAHHOUMARIN,2015-04-25T21:14:00
United States,Nahb Housing Market Index,1986-03-31T00:00:00,57,Monthly,UNITEDSTANAHHOUMARIN,2015-04-25T21:14:00
United States,Nahb Housing Market Index,1986-04-30T00:00:00,62,Monthly,UNITEDSTANAHHOUMARIN,2013-10-29T13:11:00
United States,Nahb Housing Market Index,1986-05-31T00:00:00,64,Monthly,UNITEDSTANAHHOUMARIN,2013-10-29T13:11:00
United States,Nahb Housing Market Index,1986-06-30T00:00:00,65,Monthly,UNITEDSTANAHHOUMARIN,2015-04-25T21:14:00
United States,Nahb Housing Market Index,1986-07-31T00:00:00,59,Monthly,UNITEDSTANAHHOUMARIN,2013-10-29T13:11:00
United States,Nahb Housing Market Index,1986-08-31T00:00:00,55,Monthly,UNITEDSTANAHHOUMARIN,2013-10-29T13:11:00
United States,Nahb Housing Market Index,1986-09-30T00:00:00,57,Monthly,UNITEDSTANAHHOUMARIN,2013-10-29T13:11:00
United States,Nahb Housing Market Index,1986-10-31T00:00:00,64,Monthly,UNITEDSTANAHHOUMARIN,2013-10-29T13:11:00
United States,Nahb Housing Market Index,1986-11-30T00:00:00,59,Monthly,UNITEDSTANAHHOUMARIN,2015-04-25T21:14:00
United States,Nahb Housing Market Index,1986-12-31T00:00:00,64,Monthly,UNITEDSTANAHHOUMARIN,2013-10-29T13:11:00
United States,Nahb Housing Market Index,1987-01-31T00:00:00,63,Monthly,UNITEDSTANAHHOUMARIN,2013-10-29T13:11:00
United States,Nahb Housing Market Index,1987-02-28T00:00:00,60,Monthly,UNITEDSTANAHHOUMARIN,2015-04-25T21:14:00
United States,Nahb Housing Market Index,1987-03-31T00:00:00,60,Monthly,UNITEDSTANAHHOUMARIN,2015-04-25T21:14:00
United States,Nahb Housing Market Index,1987-04-30T00:00:00,59,Monthly,UNITEDSTANAHHOUMARIN,2013-10-29T13:11:00
United States,Nahb Housing Market Index,1987-05-31T00:00:00,55,Monthly,UNITEDSTANAHHOUMARIN,2013-10-29T13:11:00
United States,Nahb Housing Market Index,1987-06-30T00:00:00,56,Monthly,UNITEDSTANAHHOUMARIN,2013-10-29T13:11:00
United States,Nahb Housing Market Index,1987-07-31T00:00:00,55,Monthly,UNITEDSTANAHHOUMARIN,2013-10-29T13:11:00
United States,Nahb Housing Market Index,1987-08-31T00:00:00,54,Monthly,UNITEDSTANAHHOUMARIN,2015-04-25T21:14:00
United States,Nahb Housing Market Index,1987-09-30T00:00:00,52,Monthly,UNITEDSTANAHHOUMARIN,2013-10-29T13:11:00
United States,Nahb Housing Market Index,1987-10-31T00:00:00,50,Monthly,UNITEDSTANAHHOUMARIN,2013-10-29T13:11:00
United States,Nahb Housing Market Index,1987-11-30T00:00:00,56,Monthly,UNITEDSTANAHHOUMARIN,2015-04-25T21:14:00
United States,Nahb Housing Market Index,1987-12-31T00:00:00,51,Monthly,UNITEDSTANAHHOUMARIN,2013-10-29T13:11:00
United States,Nahb Housing Market Index,1988-01-31T00:00:00,53,Monthly,UNITEDSTANAHHOUMARIN,2013-10-29T13:11:00
