Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
United States,National Home Price Index,1975-01-31T00:00:00,25.459,Monthly,USANHPI,2024-01-08T15:20:00
United States,National Home Price Index,1975-02-28T00:00:00,25.513,Monthly,USANHPI,2024-01-08T15:20:00
United States,National Home Price Index,1975-03-31T00:00:00,25.475,Monthly,USANHPI,2024-01-08T15:20:00
United States,National Home Price Index,1975-04-30T00:00:00,25.422,Monthly,USANHPI,2024-01-08T15:20:00
United States,National Home Price Index,1975-05-31T00:00:00,25.418,Monthly,USANHPI,2024-01-08T15:20:00
United States,National Home Price Index,1975-06-30T00:00:00,25.454,Monthly,USANHPI,2024-01-08T15:20:00
United States,National Home Price Index,1975-07-31T00:00:00,25.586,Monthly,USANHPI,2024-01-08T15:20:00
United States,National Home Price Index,1975-08-31T00:00:00,25.745,Monthly,USANHPI,2024-01-08T15:20:00
United States,National Home Price Index,1975-09-30T00:00:00,25.987,Monthly,USANHPI,2023-11-28T15:21:00
United States,National Home Price Index,1975-10-31T00:00:00,26.201,Monthly,USANHPI,2024-01-08T15:20:00
United States,National Home Price Index,1975-11-30T00:00:00,26.414,Monthly,USANHPI,2024-01-08T15:20:00
United States,National Home Price Index,1975-12-31T00:00:00,26.563,Monthly,USANHPI,2024-01-08T15:20:00
United States,National Home Price Index,1976-01-31T00:00:00,26.735,Monthly,USANHPI,2024-01-08T15:20:00
United States,National Home Price Index,1976-02-29T00:00:00,26.819,Monthly,USANHPI,2024-01-08T15:20:00
United States,National Home Price Index,1976-03-31T00:00:00,26.981,Monthly,USANHPI,2024-01-08T15:20:00
United States,National Home Price Index,1976-04-30T00:00:00,27.168,Monthly,USANHPI,2024-01-08T15:20:00
United States,National Home Price Index,1976-05-31T00:00:00,27.399,Monthly,USANHPI,2024-01-08T15:20:00
United States,National Home Price Index,1976-06-30T00:00:00,27.519,Monthly,USANHPI,2024-01-08T15:20:00
United States,National Home Price Index,1976-07-31T00:00:00,27.736,Monthly,USANHPI,2024-01-08T15:20:00
United States,National Home Price Index,1976-08-31T00:00:00,27.927,Monthly,USANHPI,2023-11-28T15:21:00
United States,National Home Price Index,1976-09-30T00:00:00,28.129,Monthly,USANHPI,2024-01-08T15:20:00
United States,National Home Price Index,1976-10-31T00:00:00,28.266,Monthly,USANHPI,2024-01-08T15:20:00
United States,National Home Price Index,1976-11-30T00:00:00,28.469,Monthly,USANHPI,2024-01-08T15:20:00
United States,National Home Price Index,1976-12-31T00:00:00,28.759,Monthly,USANHPI,2024-01-08T15:20:00
United States,National Home Price Index,1977-01-31T00:00:00,29.041,Monthly,USANHPI,2024-01-08T15:20:00
United States,National Home Price Index,1977-02-28T00:00:00,29.398,Monthly,USANHPI,2023-11-28T15:21:00
United States,National Home Price Index,1977-03-31T00:00:00,29.749,Monthly,USANHPI,2023-11-28T15:21:00
United States,National Home Price Index,1977-04-30T00:00:00,30.204,Monthly,USANHPI,2023-11-28T15:21:00
United States,National Home Price Index,1977-05-31T00:00:00,30.5,Monthly,USANHPI,2024-01-08T15:20:00
United States,National Home Price Index,1977-06-30T00:00:00,30.759,Monthly,USANHPI,2023-11-28T15:21:00
United States,National Home Price Index,1977-07-31T00:00:00,31.057,Monthly,USANHPI,2024-01-08T15:20:00
United States,National Home Price Index,1977-08-31T00:00:00,31.376,Monthly,USANHPI,2024-01-08T15:20:00
United States,National Home Price Index,1977-09-30T00:00:00,31.79,Monthly,USANHPI,2024-01-08T15:20:00
United States,National Home Price Index,1977-10-31T00:00:00,32.231,Monthly,USANHPI,2024-01-08T15:20:00
United States,National Home Price Index,1977-11-30T00:00:00,32.611,Monthly,USANHPI,2024-01-08T15:20:00
United States,National Home Price Index,1977-12-31T00:00:00,32.965,Monthly,USANHPI,2024-01-08T15:20:00
United States,National Home Price Index,1978-01-31T00:00:00,33.342,Monthly,USANHPI,2024-01-08T15:20:00
United States,National Home Price Index,1978-02-28T00:00:00,33.735,Monthly,USANHPI,2024-01-08T15:20:00
United States,National Home Price Index,1978-03-31T00:00:00,34.137,Monthly,USANHPI,2024-01-08T15:20:00
United States,National Home Price Index,1978-04-30T00:00:00,34.501,Monthly,USANHPI,2024-01-08T15:20:00
United States,National Home Price Index,1978-05-31T00:00:00,34.895,Monthly,USANHPI,2023-11-28T15:21:00
United States,National Home Price Index,1978-06-30T00:00:00,35.431,Monthly,USANHPI,2024-01-08T15:20:00
United States,National Home Price Index,1978-07-31T00:00:00,35.908,Monthly,USANHPI,2024-01-08T15:20:00
