Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
United States,Net Long-term TIC Flows,1978-05-31T00:00:00,494,Monthly,UNITEDSTANETLONTICFL,2014-08-15T14:04:00
United States,Net Long-term TIC Flows,1978-06-30T00:00:00,1091,Monthly,UNITEDSTANETLONTICFL,2014-08-15T14:04:00
United States,Net Long-term TIC Flows,1978-07-31T00:00:00,584,Monthly,UNITEDSTANETLONTICFL,2015-04-25T21:14:00
United States,Net Long-term TIC Flows,1978-08-31T00:00:00,422,Monthly,UNITEDSTANETLONTICFL,2014-08-15T14:04:00
United States,Net Long-term TIC Flows,1978-09-30T00:00:00,912,Monthly,UNITEDSTANETLONTICFL,2014-08-15T14:04:00
United States,Net Long-term TIC Flows,1978-10-31T00:00:00,898,Monthly,UNITEDSTANETLONTICFL,2015-04-25T21:14:00
United States,Net Long-term TIC Flows,1978-11-30T00:00:00,-61,Monthly,UNITEDSTANETLONTICFL,2014-08-15T14:04:00
United States,Net Long-term TIC Flows,1978-12-31T00:00:00,189,Monthly,UNITEDSTANETLONTICFL,2014-08-15T14:04:00
United States,Net Long-term TIC Flows,1979-01-31T00:00:00,-430,Monthly,UNITEDSTANETLONTICFL,2014-08-15T14:04:00
United States,Net Long-term TIC Flows,1979-02-28T00:00:00,-980,Monthly,UNITEDSTANETLONTICFL,2014-08-15T14:04:00
United States,Net Long-term TIC Flows,1979-03-31T00:00:00,1085,Monthly,UNITEDSTANETLONTICFL,2014-08-15T14:04:00
United States,Net Long-term TIC Flows,1979-04-30T00:00:00,969,Monthly,UNITEDSTANETLONTICFL,2015-04-25T21:14:00
United States,Net Long-term TIC Flows,1979-05-31T00:00:00,-727,Monthly,UNITEDSTANETLONTICFL,2014-08-15T14:04:00
United States,Net Long-term TIC Flows,1979-06-30T00:00:00,114,Monthly,UNITEDSTANETLONTICFL,2014-08-15T14:04:00
United States,Net Long-term TIC Flows,1979-07-31T00:00:00,1364,Monthly,UNITEDSTANETLONTICFL,2015-04-25T21:14:00
United States,Net Long-term TIC Flows,1979-08-31T00:00:00,73,Monthly,UNITEDSTANETLONTICFL,2014-08-15T14:04:00
United States,Net Long-term TIC Flows,1979-09-30T00:00:00,-252,Monthly,UNITEDSTANETLONTICFL,2015-04-25T21:14:00
United States,Net Long-term TIC Flows,1979-10-31T00:00:00,645,Monthly,UNITEDSTANETLONTICFL,2014-08-15T14:04:00
United States,Net Long-term TIC Flows,1979-11-30T00:00:00,-1522,Monthly,UNITEDSTANETLONTICFL,2014-08-15T14:04:00
United States,Net Long-term TIC Flows,1979-12-31T00:00:00,527,Monthly,UNITEDSTANETLONTICFL,2015-04-25T21:14:00
United States,Net Long-term TIC Flows,1980-01-31T00:00:00,2436,Monthly,UNITEDSTANETLONTICFL,2014-08-15T14:04:00
United States,Net Long-term TIC Flows,1980-02-29T00:00:00,1303,Monthly,UNITEDSTANETLONTICFL,2014-08-15T14:04:00
