Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
United States,New Orders,1992-02-29T00:00:00,223500,Monthly,UNITEDSTANEWORD,2015-04-25T21:16:00
United States,New Orders,1992-03-31T00:00:00,233732,Monthly,UNITEDSTANEWORD,2015-04-25T21:16:00
United States,New Orders,1992-04-30T00:00:00,238173,Monthly,UNITEDSTANEWORD,2015-04-25T21:16:00
United States,New Orders,1992-05-31T00:00:00,241916,Monthly,UNITEDSTANEWORD,2015-04-25T21:16:00
United States,New Orders,1992-06-30T00:00:00,240660,Monthly,UNITEDSTANEWORD,2015-04-25T21:16:00
United States,New Orders,1992-07-31T00:00:00,238609,Monthly,UNITEDSTANEWORD,2015-04-25T21:16:00
United States,New Orders,1992-08-31T00:00:00,235633,Monthly,UNITEDSTANEWORD,2015-04-25T21:16:00
United States,New Orders,1992-09-30T00:00:00,239052,Monthly,UNITEDSTANEWORD,2015-04-25T21:16:00
United States,New Orders,1992-10-31T00:00:00,242803,Monthly,UNITEDSTANEWORD,2015-04-25T21:16:00
United States,New Orders,1992-11-30T00:00:00,240286,Monthly,UNITEDSTANEWORD,2015-04-25T21:16:00
United States,New Orders,1992-12-31T00:00:00,244173,Monthly,UNITEDSTANEWORD,2015-04-25T21:16:00
United States,New Orders,1993-01-31T00:00:00,239924,Monthly,UNITEDSTANEWORD,2015-04-25T21:16:00
United States,New Orders,1993-02-28T00:00:00,247176,Monthly,UNITEDSTANEWORD,2015-04-25T21:16:00
United States,New Orders,1993-03-31T00:00:00,245506,Monthly,UNITEDSTANEWORD,2015-04-25T21:16:00
United States,New Orders,1993-04-30T00:00:00,244703,Monthly,UNITEDSTANEWORD,2015-04-25T21:16:00
United States,New Orders,1993-05-31T00:00:00,245194,Monthly,UNITEDSTANEWORD,2015-04-25T21:16:00
United States,New Orders,1993-06-30T00:00:00,249521,Monthly,UNITEDSTANEWORD,2015-04-25T21:16:00
United States,New Orders,1993-07-31T00:00:00,245765,Monthly,UNITEDSTANEWORD,2015-04-25T21:16:00
United States,New Orders,1993-08-31T00:00:00,246562,Monthly,UNITEDSTANEWORD,2015-04-25T21:16:00
United States,New Orders,1993-09-30T00:00:00,245731,Monthly,UNITEDSTANEWORD,2015-04-25T21:16:00
United States,New Orders,1993-10-31T00:00:00,251656,Monthly,UNITEDSTANEWORD,2015-04-25T21:16:00
United States,New Orders,1993-11-30T00:00:00,247827,Monthly,UNITEDSTANEWORD,2015-04-25T21:16:00
United States,New Orders,1993-12-31T00:00:00,250057,Monthly,UNITEDSTANEWORD,2015-04-25T21:16:00
United States,New Orders,1994-01-31T00:00:00,257125,Monthly,UNITEDSTANEWORD,2015-04-25T21:16:00
United States,New Orders,1994-02-28T00:00:00,256624,Monthly,UNITEDSTANEWORD,2015-04-25T21:16:00
United States,New Orders,1994-03-31T00:00:00,257190,Monthly,UNITEDSTANEWORD,2015-04-25T21:16:00
United States,New Orders,1994-04-30T00:00:00,260006,Monthly,UNITEDSTANEWORD,2015-04-25T21:16:00
United States,New Orders,1994-05-31T00:00:00,263419,Monthly,UNITEDSTANEWORD,2015-04-25T21:16:00
United States,New Orders,1994-06-30T00:00:00,267027,Monthly,UNITEDSTANEWORD,2015-04-25T21:16:00
United States,New Orders,1994-07-31T00:00:00,267694,Monthly,UNITEDSTANEWORD,2015-04-25T21:16:00
United States,New Orders,1994-08-31T00:00:00,269994,Monthly,UNITEDSTANEWORD,2015-04-25T21:16:00
United States,New Orders,1994-09-30T00:00:00,270377,Monthly,UNITEDSTANEWORD,2015-04-25T21:16:00
United States,New Orders,1994-10-31T00:00:00,275087,Monthly,UNITEDSTANEWORD,2015-04-25T21:16:00
United States,New Orders,1994-11-30T00:00:00,276477,Monthly,UNITEDSTANEWORD,2015-04-25T21:16:00
United States,New Orders,1994-12-31T00:00:00,282738,Monthly,UNITEDSTANEWORD,2015-04-25T21:16:00
United States,New Orders,1995-01-31T00:00:00,279692,Monthly,UNITEDSTANEWORD,2015-04-25T21:16:00
United States,New Orders,1995-02-28T00:00:00,284915,Monthly,UNITEDSTANEWORD,2015-04-25T21:16:00
United States,New Orders,1995-03-31T00:00:00,282195,Monthly,UNITEDSTANEWORD,2015-04-25T21:16:00
