Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
United States,PCE Price Index,1959-01-31T00:00:00,15.164,Monthly,UNITEDSTAPCEPRIIND,2023-12-14T10:46:00
United States,PCE Price Index,1959-02-28T00:00:00,15.179,Monthly,UNITEDSTAPCEPRIIND,2023-12-14T10:46:00
United States,PCE Price Index,1959-03-31T00:00:00,15.189,Monthly,UNITEDSTAPCEPRIIND,2023-12-14T10:46:00
United States,PCE Price Index,1959-04-30T00:00:00,15.219,Monthly,UNITEDSTAPCEPRIIND,2023-12-14T10:46:00
United States,PCE Price Index,1959-05-31T00:00:00,15.227,Monthly,UNITEDSTAPCEPRIIND,2023-12-14T10:46:00
United States,PCE Price Index,1959-06-30T00:00:00,15.271,Monthly,UNITEDSTAPCEPRIIND,2023-12-14T10:46:00
United States,PCE Price Index,1959-07-31T00:00:00,15.303,Monthly,UNITEDSTAPCEPRIIND,2023-12-14T10:46:00
United States,PCE Price Index,1959-08-31T00:00:00,15.325,Monthly,UNITEDSTAPCEPRIIND,2023-12-14T10:46:00
United States,PCE Price Index,1959-09-30T00:00:00,15.365,Monthly,UNITEDSTAPCEPRIIND,2023-12-14T10:46:00
United States,PCE Price Index,1959-10-31T00:00:00,15.402,Monthly,UNITEDSTAPCEPRIIND,2023-12-14T10:46:00
United States,PCE Price Index,1959-11-30T00:00:00,15.412,Monthly,UNITEDSTAPCEPRIIND,2023-12-14T10:46:00
United States,PCE Price Index,1959-12-31T00:00:00,15.43,Monthly,UNITEDSTAPCEPRIIND,2023-12-14T10:46:00
United States,PCE Price Index,1960-01-31T00:00:00,15.421,Monthly,UNITEDSTAPCEPRIIND,2023-12-14T10:46:00
United States,PCE Price Index,1960-02-29T00:00:00,15.437,Monthly,UNITEDSTAPCEPRIIND,2023-12-14T10:46:00
United States,PCE Price Index,1960-03-31T00:00:00,15.446,Monthly,UNITEDSTAPCEPRIIND,2023-12-14T10:46:00
United States,PCE Price Index,1960-04-30T00:00:00,15.502,Monthly,UNITEDSTAPCEPRIIND,2023-12-14T10:46:00
United States,PCE Price Index,1960-05-31T00:00:00,15.518,Monthly,UNITEDSTAPCEPRIIND,2023-12-14T10:46:00
