Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
United States,PCE Price Index Annual Change,1960-01-31T00:00:00,1.695,Monthly,USAPPIAC,2023-09-29T12:40:00
United States,PCE Price Index Annual Change,1960-02-29T00:00:00,1.7,Monthly,USAPPIAC,2023-09-29T12:40:00
United States,PCE Price Index Annual Change,1960-03-31T00:00:00,1.692,Monthly,USAPPIAC,2023-09-29T12:40:00
United States,PCE Price Index Annual Change,1960-04-30T00:00:00,1.86,Monthly,USAPPIAC,2023-09-29T12:40:00
United States,PCE Price Index Annual Change,1960-05-31T00:00:00,1.911,Monthly,USAPPIAC,2023-09-29T12:40:00
United States,PCE Price Index Annual Change,1960-06-30T00:00:00,1.663,Monthly,USAPPIAC,2023-09-29T12:40:00
United States,PCE Price Index Annual Change,1960-07-31T00:00:00,1.634,Monthly,USAPPIAC,2023-09-29T12:40:00
United States,PCE Price Index Annual Change,1960-08-31T00:00:00,1.657,Monthly,USAPPIAC,2023-09-29T12:40:00
United States,PCE Price Index Annual Change,1960-09-30T00:00:00,1.451,Monthly,USAPPIAC,2023-09-29T12:40:00
United States,PCE Price Index Annual Change,1960-10-31T00:00:00,1.325,Monthly,USAPPIAC,2023-09-29T12:40:00
United States,PCE Price Index Annual Change,1960-11-30T00:00:00,1.603,Monthly,USAPPIAC,2023-09-29T12:40:00
United States,PCE Price Index Annual Change,1960-12-31T00:00:00,1.504,Monthly,USAPPIAC,2023-09-29T12:40:00
United States,PCE Price Index Annual Change,1961-01-31T00:00:00,1.582,Monthly,USAPPIAC,2023-09-29T12:40:00
United States,PCE Price Index Annual Change,1961-02-28T00:00:00,1.568,Monthly,USAPPIAC,2022-12-23T14:29:00
United States,PCE Price Index Annual Change,1961-03-31T00:00:00,1.45,Monthly,USAPPIAC,2023-09-29T12:40:00
United States,PCE Price Index Annual Change,1961-04-30T00:00:00,1.026,Monthly,USAPPIAC,2023-09-29T12:40:00
United States,PCE Price Index Annual Change,1961-05-31T00:00:00,0.98,Monthly,USAPPIAC,2023-09-29T12:40:00
United States,PCE Price Index Annual Change,1961-06-30T00:00:00,0.979,Monthly,USAPPIAC,2023-09-29T12:40:00
United States,PCE Price Index Annual Change,1961-07-31T00:00:00,1.016,Monthly,USAPPIAC,2023-09-29T12:40:00
United States,PCE Price Index Annual Change,1961-08-31T00:00:00,0.931,Monthly,USAPPIAC,2023-09-29T12:40:00
United States,PCE Price Index Annual Change,1961-09-30T00:00:00,0.988,Monthly,USAPPIAC,2022-12-23T14:29:00
United States,PCE Price Index Annual Change,1961-10-31T00:00:00,0.865,Monthly,USAPPIAC,2023-09-29T12:40:00
United States,PCE Price Index Annual Change,1961-11-30T00:00:00,0.53,Monthly,USAPPIAC,2023-09-29T12:40:00
United States,PCE Price Index Annual Change,1961-12-31T00:00:00,0.536,Monthly,USAPPIAC,2023-09-29T12:40:00
United States,PCE Price Index Annual Change,1962-01-31T00:00:00,0.709,Monthly,USAPPIAC,2023-09-29T12:40:00
United States,PCE Price Index Annual Change,1962-02-28T00:00:00,0.887,Monthly,USAPPIAC,2023-09-29T12:40:00
United States,PCE Price Index Annual Change,1962-03-31T00:00:00,1.078,Monthly,USAPPIAC,2023-09-29T12:40:00
United States,PCE Price Index Annual Change,1962-04-30T00:00:00,1.252,Monthly,USAPPIAC,2023-09-29T12:40:00
United States,PCE Price Index Annual Change,1962-05-31T00:00:00,1.257,Monthly,USAPPIAC,2023-09-29T12:40:00
United States,PCE Price Index Annual Change,1962-06-30T00:00:00,1.276,Monthly,USAPPIAC,2023-09-29T12:40:00
United States,PCE Price Index Annual Change,1962-07-31T00:00:00,0.999,Monthly,USAPPIAC,2022-12-23T14:29:00
United States,PCE Price Index Annual Change,1962-08-31T00:00:00,1.062,Monthly,USAPPIAC,2023-09-29T12:40:00
United States,PCE Price Index Annual Change,1962-09-30T00:00:00,1.442,Monthly,USAPPIAC,2023-09-29T12:40:00
United States,PCE Price Index Annual Change,1962-10-31T00:00:00,1.347,Monthly,USAPPIAC,2023-09-29T12:40:00
United States,PCE Price Index Annual Change,1962-11-30T00:00:00,1.41,Monthly,USAPPIAC,2023-09-29T12:40:00
United States,PCE Price Index Annual Change,1962-12-31T00:00:00,1.346,Monthly,USAPPIAC,2023-09-29T12:40:00
United States,PCE Price Index Annual Change,1963-01-31T00:00:00,1.401,Monthly,USAPPIAC,2023-09-29T12:40:00
United States,PCE Price Index Annual Change,1963-02-28T00:00:00,1.239,Monthly,USAPPIAC,2023-09-29T12:40:00
United States,PCE Price Index Annual Change,1963-03-31T00:00:00,1.023,Monthly,USAPPIAC,2023-09-29T12:40:00
United States,PCE Price Index Annual Change,1963-04-30T00:00:00,0.902,Monthly,USAPPIAC,2023-09-29T12:40:00
United States,PCE Price Index Annual Change,1963-05-31T00:00:00,1.002,Monthly,USAPPIAC,2023-09-29T12:40:00
United States,PCE Price Index Annual Change,1963-06-30T00:00:00,1.159,Monthly,USAPPIAC,2023-09-29T12:40:00
United States,PCE Price Index Annual Change,1963-07-31T00:00:00,1.418,Monthly,USAPPIAC,2022-12-23T14:29:00
United States,PCE Price Index Annual Change,1963-08-31T00:00:00,1.41,Monthly,USAPPIAC,2022-12-23T14:29:00
United States,PCE Price Index Annual Change,1963-09-30T00:00:00,0.895,Monthly,USAPPIAC,2023-09-29T12:40:00
United States,PCE Price Index Annual Change,1963-10-31T00:00:00,1.191,Monthly,USAPPIAC,2023-09-29T12:40:00
United States,PCE Price Index Annual Change,1963-11-30T00:00:00,1.265,Monthly,USAPPIAC,2023-09-29T12:40:00
United States,PCE Price Index Annual Change,1963-12-31T00:00:00,1.454,Monthly,USAPPIAC,2023-09-29T12:40:00
United States,PCE Price Index Annual Change,1964-01-31T00:00:00,1.419,Monthly,USAPPIAC,2023-09-29T12:40:00
United States,PCE Price Index Annual Change,1964-02-29T00:00:00,1.455,Monthly,USAPPIAC,2023-09-29T12:40:00
United States,PCE Price Index Annual Change,1964-03-31T00:00:00,1.6,Monthly,USAPPIAC,2023-09-29T12:40:00
United States,PCE Price Index Annual Change,1964-04-30T00:00:00,1.681,Monthly,USAPPIAC,2023-09-29T12:40:00
United States,PCE Price Index Annual Change,1964-05-31T00:00:00,1.529,Monthly,USAPPIAC,2023-09-29T12:40:00
United States,PCE Price Index Annual Change,1964-06-30T00:00:00,1.451,Monthly,USAPPIAC,2023-09-29T12:40:00
United States,PCE Price Index Annual Change,1964-07-31T00:00:00,1.379,Monthly,USAPPIAC,2023-09-29T12:40:00
