Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
United States,PPI Ex Food Energy and Trade Services,2013-08-31T00:00:00,100,Monthly,USAPEFEATS,2023-10-10T09:27:00
United States,PPI Ex Food Energy and Trade Services,2013-09-30T00:00:00,100.1,Monthly,USAPEFEATS,2023-10-10T09:27:00
United States,PPI Ex Food Energy and Trade Services,2013-10-31T00:00:00,100.3,Monthly,USAPEFEATS,2023-10-10T09:27:00
United States,PPI Ex Food Energy and Trade Services,2013-11-30T00:00:00,100.4,Monthly,USAPEFEATS,2023-10-10T09:27:00
United States,PPI Ex Food Energy and Trade Services,2013-12-31T00:00:00,100.7,Monthly,USAPEFEATS,2023-10-10T09:27:00
United States,PPI Ex Food Energy and Trade Services,2014-01-31T00:00:00,100.9,Monthly,USAPEFEATS,2023-10-10T09:27:00
United States,PPI Ex Food Energy and Trade Services,2014-02-28T00:00:00,100.9,Monthly,USAPEFEATS,2023-10-10T09:27:00
United States,PPI Ex Food Energy and Trade Services,2014-03-31T00:00:00,101.1,Monthly,USAPEFEATS,2023-10-10T09:27:00
United States,PPI Ex Food Energy and Trade Services,2014-04-30T00:00:00,101.3,Monthly,USAPEFEATS,2023-10-10T09:27:00
United States,PPI Ex Food Energy and Trade Services,2014-05-31T00:00:00,101.3,Monthly,USAPEFEATS,2023-10-10T09:27:00
United States,PPI Ex Food Energy and Trade Services,2014-06-30T00:00:00,101.4,Monthly,USAPEFEATS,2023-10-10T09:27:00
United States,PPI Ex Food Energy and Trade Services,2014-07-31T00:00:00,101.5,Monthly,USAPEFEATS,2023-10-10T09:27:00
United States,PPI Ex Food Energy and Trade Services,2014-08-31T00:00:00,101.8,Monthly,USAPEFEATS,2023-10-10T09:27:00
United States,PPI Ex Food Energy and Trade Services,2014-09-30T00:00:00,101.8,Monthly,USAPEFEATS,2023-10-10T09:27:00
United States,PPI Ex Food Energy and Trade Services,2014-10-31T00:00:00,101.9,Monthly,USAPEFEATS,2023-10-10T09:27:00
United States,PPI Ex Food Energy and Trade Services,2014-11-30T00:00:00,101.9,Monthly,USAPEFEATS,2023-10-10T09:27:00
United States,PPI Ex Food Energy and Trade Services,2014-12-31T00:00:00,102,Monthly,USAPEFEATS,2023-10-10T09:27:00
United States,PPI Ex Food Energy and Trade Services,2015-01-31T00:00:00,101.9,Monthly,USAPEFEATS,2023-10-10T09:27:00
United States,PPI Ex Food Energy and Trade Services,2015-02-28T00:00:00,101.8,Monthly,USAPEFEATS,2023-10-10T09:27:00
United States,PPI Ex Food Energy and Trade Services,2015-03-31T00:00:00,101.8,Monthly,USAPEFEATS,2023-10-10T09:27:00
United States,PPI Ex Food Energy and Trade Services,2015-04-30T00:00:00,102,Monthly,USAPEFEATS,2023-10-10T09:27:00
United States,PPI Ex Food Energy and Trade Services,2015-05-31T00:00:00,102.1,Monthly,USAPEFEATS,2023-10-10T09:27:00
United States,PPI Ex Food Energy and Trade Services,2015-06-30T00:00:00,102.3,Monthly,USAPEFEATS,2023-10-10T09:27:00
United States,PPI Ex Food Energy and Trade Services,2015-07-31T00:00:00,102.3,Monthly,USAPEFEATS,2023-10-10T09:27:00
United States,PPI Ex Food Energy and Trade Services,2015-08-31T00:00:00,102.4,Monthly,USAPEFEATS,2023-10-10T09:27:00
United States,PPI Ex Food Energy and Trade Services,2015-09-30T00:00:00,102.3,Monthly,USAPEFEATS,2023-10-10T09:27:00
United States,PPI Ex Food Energy and Trade Services,2015-10-31T00:00:00,102.1,Monthly,USAPEFEATS,2023-10-10T09:27:00
United States,PPI Ex Food Energy and Trade Services,2015-11-30T00:00:00,102.2,Monthly,USAPEFEATS,2023-10-10T09:27:00
United States,PPI Ex Food Energy and Trade Services,2015-12-31T00:00:00,102.3,Monthly,USAPEFEATS,2023-10-10T09:27:00
United States,PPI Ex Food Energy and Trade Services,2016-01-31T00:00:00,102.7,Monthly,USAPEFEATS,2023-10-10T09:27:00
United States,PPI Ex Food Energy and Trade Services,2016-02-29T00:00:00,102.7,Monthly,USAPEFEATS,2023-10-10T09:27:00
United States,PPI Ex Food Energy and Trade Services,2016-03-31T00:00:00,102.8,Monthly,USAPEFEATS,2023-10-10T09:27:00
United States,PPI Ex Food Energy and Trade Services,2016-04-30T00:00:00,103,Monthly,USAPEFEATS,2023-10-10T09:27:00
United States,PPI Ex Food Energy and Trade Services,2016-05-31T00:00:00,103,Monthly,USAPEFEATS,2023-10-10T09:27:00
United States,PPI Ex Food Energy and Trade Services,2016-06-30T00:00:00,103.2,Monthly,USAPEFEATS,2023-10-10T09:27:00
United States,PPI Ex Food Energy and Trade Services,2016-07-31T00:00:00,103.4,Monthly,USAPEFEATS,2023-10-10T09:27:00
United States,PPI Ex Food Energy and Trade Services,2016-08-31T00:00:00,103.5,Monthly,USAPEFEATS,2023-10-10T09:27:00
United States,PPI Ex Food Energy and Trade Services,2016-09-30T00:00:00,103.6,Monthly,USAPEFEATS,2023-10-10T09:27:00
United States,PPI Ex Food Energy and Trade Services,2016-10-31T00:00:00,103.7,Monthly,USAPEFEATS,2023-10-10T09:27:00
United States,PPI Ex Food Energy and Trade Services,2016-11-30T00:00:00,103.9,Monthly,USAPEFEATS,2023-10-10T09:27:00
United States,PPI Ex Food Energy and Trade Services,2016-12-31T00:00:00,104.1,Monthly,USAPEFEATS,2023-10-10T09:27:00
United States,PPI Ex Food Energy and Trade Services,2017-01-31T00:00:00,104.4,Monthly,USAPEFEATS,2023-10-10T09:27:00
United States,PPI Ex Food Energy and Trade Services,2017-02-28T00:00:00,104.5,Monthly,USAPEFEATS,2023-10-10T09:27:00
United States,PPI Ex Food Energy and Trade Services,2017-03-31T00:00:00,104.6,Monthly,USAPEFEATS,2023-10-10T09:27:00
United States,PPI Ex Food Energy and Trade Services,2017-04-30T00:00:00,105.1,Monthly,USAPEFEATS,2023-10-10T09:27:00
United States,PPI Ex Food Energy and Trade Services,2017-05-31T00:00:00,105.2,Monthly,USAPEFEATS,2023-10-10T09:27:00
United States,PPI Ex Food Energy and Trade Services,2017-06-30T00:00:00,105.4,Monthly,USAPEFEATS,2023-10-10T09:27:00
United States,PPI Ex Food Energy and Trade Services,2017-07-31T00:00:00,105.5,Monthly,USAPEFEATS,2023-10-10T09:27:00
United States,PPI Ex Food Energy and Trade Services,2017-08-31T00:00:00,105.6,Monthly,USAPEFEATS,2023-10-10T09:27:00
United States,PPI Ex Food Energy and Trade Services,2017-09-30T00:00:00,105.8,Monthly,USAPEFEATS,2023-10-10T09:27:00
United States,PPI Ex Food Energy and Trade Services,2017-10-31T00:00:00,106.1,Monthly,USAPEFEATS,2023-10-10T09:27:00
United States,PPI Ex Food Energy and Trade Services,2017-11-30T00:00:00,106.4,Monthly,USAPEFEATS,2023-10-10T09:27:00
United States,PPI Ex Food Energy and Trade Services,2017-12-31T00:00:00,106.5,Monthly,USAPEFEATS,2023-10-10T09:27:00
United States,PPI Ex Food Energy and Trade Services,2018-01-31T00:00:00,107,Monthly,USAPEFEATS,2023-10-10T09:27:00
United States,PPI Ex Food Energy and Trade Services,2018-02-28T00:00:00,107.3,Monthly,USAPEFEATS,2023-10-10T09:27:00
United States,PPI Ex Food Energy and Trade Services,2018-03-31T00:00:00,107.7,Monthly,USAPEFEATS,2023-10-10T09:27:00
United States,PPI Ex Food Energy and Trade Services,2018-04-30T00:00:00,107.8,Monthly,USAPEFEATS,2023-10-10T09:27:00
United States,PPI Ex Food Energy and Trade Services,2018-05-31T00:00:00,108,Monthly,USAPEFEATS,2023-10-10T09:27:00
United States,PPI Ex Food Energy and Trade Services,2018-06-30T00:00:00,108.3,Monthly,USAPEFEATS,2023-10-10T09:27:00
United States,PPI Ex Food Energy and Trade Services,2018-07-31T00:00:00,108.7,Monthly,USAPEFEATS,2023-10-10T09:27:00
United States,PPI Ex Food Energy and Trade Services,2018-08-31T00:00:00,108.8,Monthly,USAPEFEATS,2023-10-10T09:27:00
United States,PPI Ex Food Energy and Trade Services,2018-09-30T00:00:00,109.1,Monthly,USAPEFEATS,2023-10-10T09:27:00
United States,PPI Ex Food Energy and Trade Services,2018-10-31T00:00:00,109.4,Monthly,USAPEFEATS,2023-10-10T09:27:00
United States,PPI Ex Food Energy and Trade Services,2018-11-30T00:00:00,109.6,Monthly,USAPEFEATS,2023-10-10T09:27:00
United States,PPI Ex Food Energy and Trade Services,2018-12-31T00:00:00,109.6,Monthly,USAPEFEATS,2023-10-10T09:27:00
United States,PPI Ex Food Energy and Trade Services,2019-01-31T00:00:00,109.8,Monthly,USAPEFEATS,2023-10-10T09:27:00
United States,PPI Ex Food Energy and Trade Services,2019-02-28T00:00:00,109.9,Monthly,USAPEFEATS,2023-10-10T09:27:00
United States,PPI Ex Food Energy and Trade Services,2019-03-31T00:00:00,110.1,Monthly,USAPEFEATS,2023-10-10T09:27:00
United States,PPI Ex Food Energy and Trade Services,2019-04-30T00:00:00,110.4,Monthly,USAPEFEATS,2023-10-10T09:27:00
United States,PPI Ex Food Energy and Trade Services,2019-05-31T00:00:00,110.6,Monthly,USAPEFEATS,2023-10-10T09:27:00
United States,PPI Ex Food Energy and Trade Services,2019-06-30T00:00:00,110.6,Monthly,USAPEFEATS,2023-10-10T09:27:00
United States,PPI Ex Food Energy and Trade Services,2019-07-31T00:00:00,110.8,Monthly,USAPEFEATS,2023-10-10T09:27:00
United States,PPI Ex Food Energy and Trade Services,2019-08-31T00:00:00,110.9,Monthly,USAPEFEATS,2023-10-10T09:27:00
United States,PPI Ex Food Energy and Trade Services,2019-09-30T00:00:00,110.9,Monthly,USAPEFEATS,2023-10-10T09:27:00
United States,PPI Ex Food Energy and Trade Services,2019-10-31T00:00:00,110.9,Monthly,USAPEFEATS,2023-10-10T09:27:00
United States,PPI Ex Food Energy and Trade Services,2019-11-30T00:00:00,111,Monthly,USAPEFEATS,2024-03-14T12:38:00
United States,PPI Ex Food Energy and Trade Services,2019-12-31T00:00:00,111.2,Monthly,USAPEFEATS,2023-10-10T09:27:00
United States,PPI Ex Food Energy and Trade Services,2020-01-31T00:00:00,111.5,Monthly,USAPEFEATS,2025-02-13T13:58:00
United States,PPI Ex Food Energy and Trade Services,2020-02-29T00:00:00,111.4,Monthly,USAPEFEATS,2023-10-10T09:27:00
United States,PPI Ex Food Energy and Trade Services,2020-03-31T00:00:00,111.2,Monthly,USAPEFEATS,2023-10-10T09:27:00
United States,PPI Ex Food Energy and Trade Services,2020-04-30T00:00:00,110.3,Monthly,USAPEFEATS,2023-10-10T09:27:00
United States,PPI Ex Food Energy and Trade Services,2020-05-31T00:00:00,110.4,Monthly,USAPEFEATS,2023-10-10T09:27:00
United States,PPI Ex Food Energy and Trade Services,2020-06-30T00:00:00,110.6,Monthly,USAPEFEATS,2025-02-13T13:58:00
United States,PPI Ex Food Energy and Trade Services,2020-07-31T00:00:00,111,Monthly,USAPEFEATS,2025-02-13T13:58:00
United States,PPI Ex Food Energy and Trade Services,2020-08-31T00:00:00,111.3,Monthly,USAPEFEATS,2023-10-10T09:27:00
United States,PPI Ex Food Energy and Trade Services,2020-09-30T00:00:00,111.8,Monthly,USAPEFEATS,2025-02-13T13:58:00
United States,PPI Ex Food Energy and Trade Services,2020-10-31T00:00:00,112,Monthly,USAPEFEATS,2023-10-10T09:27:00
United States,PPI Ex Food Energy and Trade Services,2020-11-30T00:00:00,112.2,Monthly,USAPEFEATS,2023-10-10T09:27:00
United States,PPI Ex Food Energy and Trade Services,2020-12-31T00:00:00,112.6,Monthly,USAPEFEATS,2025-02-13T13:58:00
United States,PPI Ex Food Energy and Trade Services,2021-01-31T00:00:00,113.6,Monthly,USAPEFEATS,2023-10-10T09:27:00
United States,PPI Ex Food Energy and Trade Services,2021-02-28T00:00:00,114,Monthly,USAPEFEATS,2023-10-10T09:27:00
United States,PPI Ex Food Energy and Trade Services,2021-03-31T00:00:00,114.7,Monthly,USAPEFEATS,2023-10-10T09:27:00
United States,PPI Ex Food Energy and Trade Services,2021-04-30T00:00:00,115.6,Monthly,USAPEFEATS,2023-10-10T09:27:00
United States,PPI Ex Food Energy and Trade Services,2021-05-31T00:00:00,116.2,Monthly,USAPEFEATS,2023-10-10T09:27:00
