Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
United States,Price to Rent Ratio,1970-03-31T00:00:00,93.9784,Quarterly,USPRR,2025-03-12T07:48:00
United States,Price to Rent Ratio,1970-06-30T00:00:00,92.3493,Quarterly,USPRR,2025-03-12T07:48:00
United States,Price to Rent Ratio,1970-09-30T00:00:00,92.4236,Quarterly,USPRR,2025-03-12T07:48:00
United States,Price to Rent Ratio,1970-12-31T00:00:00,92.4165,Quarterly,USPRR,2025-03-12T07:48:00
United States,Price to Rent Ratio,1971-03-31T00:00:00,94.024,Quarterly,USPRR,2025-03-12T07:48:00
United States,Price to Rent Ratio,1971-06-30T00:00:00,96.6055,Quarterly,USPRR,2025-03-12T07:48:00
United States,Price to Rent Ratio,1971-09-30T00:00:00,96.316,Quarterly,USPRR,2025-03-12T07:48:00
United States,Price to Rent Ratio,1971-12-31T00:00:00,97.9133,Quarterly,USPRR,2025-03-12T07:48:00
United States,Price to Rent Ratio,1972-03-31T00:00:00,96.3712,Quarterly,USPRR,2025-03-12T07:48:00
United States,Price to Rent Ratio,1972-06-30T00:00:00,98.1926,Quarterly,USPRR,2025-03-12T07:48:00
United States,Price to Rent Ratio,1972-09-30T00:00:00,99.185,Quarterly,USPRR,2025-03-12T07:48:00
United States,Price to Rent Ratio,1972-12-31T00:00:00,101.1176,Quarterly,USPRR,2025-03-12T07:48:00
United States,Price to Rent Ratio,1973-03-31T00:00:00,104.0733,Quarterly,USPRR,2025-03-12T07:48:00
United States,Price to Rent Ratio,1973-06-30T00:00:00,105.4546,Quarterly,USPRR,2025-03-12T07:48:00
United States,Price to Rent Ratio,1973-09-30T00:00:00,106.7809,Quarterly,USPRR,2025-03-12T07:48:00
United States,Price to Rent Ratio,1973-12-31T00:00:00,106.12,Quarterly,USPRR,2025-03-12T07:48:00
United States,Price to Rent Ratio,1974-03-31T00:00:00,105.859,Quarterly,USPRR,2025-03-12T07:48:00
United States,Price to Rent Ratio,1974-06-30T00:00:00,105.6028,Quarterly,USPRR,2025-03-12T07:48:00
United States,Price to Rent Ratio,1974-09-30T00:00:00,105.4912,Quarterly,USPRR,2025-03-12T07:48:00
United States,Price to Rent Ratio,1974-12-31T00:00:00,103.1727,Quarterly,USPRR,2025-03-12T07:48:00
United States,Price to Rent Ratio,1975-03-31T00:00:00,102.5899,Quarterly,USPRR,2025-03-12T07:48:00
United States,Price to Rent Ratio,1975-06-30T00:00:00,102.2371,Quarterly,USPRR,2025-03-12T07:48:00
United States,Price to Rent Ratio,1975-09-30T00:00:00,100.6434,Quarterly,USPRR,2025-03-12T07:48:00
United States,Price to Rent Ratio,1975-12-31T00:00:00,100.7677,Quarterly,USPRR,2025-03-12T07:48:00
United States,Price to Rent Ratio,1976-03-31T00:00:00,100.676,Quarterly,USPRR,2025-03-12T07:48:00
United States,Price to Rent Ratio,1976-06-30T00:00:00,102.5398,Quarterly,USPRR,2025-03-12T07:48:00
United States,Price to Rent Ratio,1976-09-30T00:00:00,102.1611,Quarterly,USPRR,2025-03-12T07:48:00
United States,Price to Rent Ratio,1976-12-31T00:00:00,103.3615,Quarterly,USPRR,2025-03-12T07:48:00
United States,Price to Rent Ratio,1977-03-31T00:00:00,104.146,Quarterly,USPRR,2025-03-12T07:48:00
United States,Price to Rent Ratio,1977-06-30T00:00:00,105.562,Quarterly,USPRR,2025-03-12T07:48:00
United States,Price to Rent Ratio,1977-09-30T00:00:00,106.4864,Quarterly,USPRR,2025-03-12T07:48:00
United States,Price to Rent Ratio,1977-12-31T00:00:00,108.2586,Quarterly,USPRR,2025-03-12T07:48:00
United States,Price to Rent Ratio,1978-03-31T00:00:00,108.7534,Quarterly,USPRR,2025-03-12T07:48:00
United States,Price to Rent Ratio,1978-06-30T00:00:00,109.2202,Quarterly,USPRR,2025-03-12T07:48:00
United States,Price to Rent Ratio,1978-09-30T00:00:00,109.4815,Quarterly,USPRR,2025-03-12T07:48:00
United States,Price to Rent Ratio,1978-12-31T00:00:00,109.6976,Quarterly,USPRR,2025-03-12T07:48:00
United States,Price to Rent Ratio,1979-03-31T00:00:00,111.2404,Quarterly,USPRR,2025-03-12T07:48:00
United States,Price to Rent Ratio,1979-06-30T00:00:00,110.0986,Quarterly,USPRR,2025-03-12T07:48:00
United States,Price to Rent Ratio,1979-09-30T00:00:00,108.215,Quarterly,USPRR,2025-03-12T07:48:00
United States,Price to Rent Ratio,1979-12-31T00:00:00,105.6044,Quarterly,USPRR,2025-03-12T07:48:00
United States,Price to Rent Ratio,1980-03-31T00:00:00,102.4939,Quarterly,USPRR,2025-03-12T07:48:00
United States,Price to Rent Ratio,1980-06-30T00:00:00,98.2212,Quarterly,USPRR,2025-03-12T07:48:00
United States,Price to Rent Ratio,1980-09-30T00:00:00,100.9099,Quarterly,USPRR,2025-03-12T07:48:00
United States,Price to Rent Ratio,1980-12-31T00:00:00,97.8822,Quarterly,USPRR,2025-03-12T07:48:00
United States,Price to Rent Ratio,1981-03-31T00:00:00,96.4671,Quarterly,USPRR,2025-03-12T07:48:00
United States,Price to Rent Ratio,1981-06-30T00:00:00,95.6482,Quarterly,USPRR,2025-03-12T07:48:00
United States,Price to Rent Ratio,1981-09-30T00:00:00,92.9181,Quarterly,USPRR,2025-03-12T07:48:00
United States,Price to Rent Ratio,1981-12-31T00:00:00,92.0337,Quarterly,USPRR,2025-03-12T07:48:00
United States,Price to Rent Ratio,1982-03-31T00:00:00,92.6267,Quarterly,USPRR,2025-03-12T07:48:00
United States,Price to Rent Ratio,1982-06-30T00:00:00,90.6196,Quarterly,USPRR,2025-03-12T07:48:00
United States,Price to Rent Ratio,1982-09-30T00:00:00,88.6448,Quarterly,USPRR,2025-03-12T07:48:00
United States,Price to Rent Ratio,1982-12-31T00:00:00,90.6269,Quarterly,USPRR,2025-03-12T07:48:00
United States,Price to Rent Ratio,1983-03-31T00:00:00,90.9515,Quarterly,USPRR,2025-03-12T07:48:00
United States,Price to Rent Ratio,1983-06-30T00:00:00,90.9409,Quarterly,USPRR,2025-03-12T07:48:00
United States,Price to Rent Ratio,1983-09-30T00:00:00,90.8535,Quarterly,USPRR,2025-03-12T07:48:00
United States,Price to Rent Ratio,1983-12-31T00:00:00,90.4103,Quarterly,USPRR,2025-03-12T07:48:00
United States,Price to Rent Ratio,1984-03-31T00:00:00,90.4621,Quarterly,USPRR,2025-03-12T07:48:00
United States,Price to Rent Ratio,1984-06-30T00:00:00,90.6563,Quarterly,USPRR,2025-03-12T07:48:00
United States,Price to Rent Ratio,1984-09-30T00:00:00,90.4453,Quarterly,USPRR,2025-03-12T07:48:00
United States,Price to Rent Ratio,1984-12-31T00:00:00,90.5681,Quarterly,USPRR,2025-03-12T07:48:00
United States,Price to Rent Ratio,1985-03-31T00:00:00,90.4678,Quarterly,USPRR,2025-03-12T07:48:00
United States,Price to Rent Ratio,1985-06-30T00:00:00,90.4954,Quarterly,USPRR,2025-03-12T07:48:00
United States,Price to Rent Ratio,1985-09-30T00:00:00,90.8803,Quarterly,USPRR,2025-03-12T07:48:00
United States,Price to Rent Ratio,1985-12-31T00:00:00,91.1135,Quarterly,USPRR,2025-03-12T07:48:00
United States,Price to Rent Ratio,1986-03-31T00:00:00,91.4726,Quarterly,USPRR,2025-03-12T07:48:00
United States,Price to Rent Ratio,1986-06-30T00:00:00,92.0655,Quarterly,USPRR,2025-03-12T07:48:00
United States,Price to Rent Ratio,1986-09-30T00:00:00,92.988,Quarterly,USPRR,2025-03-12T07:48:00
United States,Price to Rent Ratio,1986-12-31T00:00:00,93.9226,Quarterly,USPRR,2025-03-12T07:48:00
United States,Price to Rent Ratio,1987-03-31T00:00:00,94.7135,Quarterly,USPRR,2025-03-12T07:48:00
United States,Price to Rent Ratio,1987-06-30T00:00:00,95.331,Quarterly,USPRR,2025-03-12T07:48:00
United States,Price to Rent Ratio,1987-09-30T00:00:00,95.8372,Quarterly,USPRR,2025-03-12T07:48:00
United States,Price to Rent Ratio,1987-12-31T00:00:00,95.7407,Quarterly,USPRR,2025-03-12T07:48:00
United States,Price to Rent Ratio,1988-03-31T00:00:00,96.0197,Quarterly,USPRR,2025-03-12T07:48:00
United States,Price to Rent Ratio,1988-06-30T00:00:00,97.0854,Quarterly,USPRR,2025-03-12T07:48:00
United States,Price to Rent Ratio,1988-09-30T00:00:00,96.9046,Quarterly,USPRR,2025-03-12T07:48:00
United States,Price to Rent Ratio,1988-12-31T00:00:00,97.1937,Quarterly,USPRR,2025-03-12T07:48:00
United States,Price to Rent Ratio,1989-03-31T00:00:00,97.3653,Quarterly,USPRR,2025-03-12T07:48:00
United States,Price to Rent Ratio,1989-06-30T00:00:00,97.4833,Quarterly,USPRR,2025-03-12T07:48:00
United States,Price to Rent Ratio,1989-09-30T00:00:00,98.3205,Quarterly,USPRR,2025-03-12T07:48:00
United States,Price to Rent Ratio,1989-12-31T00:00:00,98.2695,Quarterly,USPRR,2025-03-12T07:48:00
United States,Price to Rent Ratio,1990-03-31T00:00:00,97.4474,Quarterly,USPRR,2025-03-12T07:48:00
United States,Price to Rent Ratio,1990-06-30T00:00:00,95.9999,Quarterly,USPRR,2025-03-12T07:48:00
United States,Price to Rent Ratio,1990-09-30T00:00:00,94.2229,Quarterly,USPRR,2025-03-12T07:48:00
United States,Price to Rent Ratio,1990-12-31T00:00:00,93.2461,Quarterly,USPRR,2025-03-12T07:48:00
United States,Price to Rent Ratio,1991-03-31T00:00:00,92.7574,Quarterly,USPRR,2025-03-12T07:48:00
United States,Price to Rent Ratio,1991-06-30T00:00:00,92.065,Quarterly,USPRR,2025-03-12T07:48:00
United States,Price to Rent Ratio,1991-09-30T00:00:00,91.4308,Quarterly,USPRR,2025-03-12T07:48:00
United States,Price to Rent Ratio,1991-12-31T00:00:00,91.3895,Quarterly,USPRR,2025-03-12T07:48:00
United States,Price to Rent Ratio,1992-03-31T00:00:00,91.6115,Quarterly,USPRR,2025-03-12T07:48:00
United States,Price to Rent Ratio,1992-06-30T00:00:00,90.8358,Quarterly,USPRR,2025-03-12T07:48:00
United States,Price to Rent Ratio,1992-09-30T00:00:00,90.9358,Quarterly,USPRR,2025-03-12T07:48:00
United States,Price to Rent Ratio,1992-12-31T00:00:00,90.9806,Quarterly,USPRR,2025-03-12T07:48:00
United States,Price to Rent Ratio,1993-03-31T00:00:00,90.3193,Quarterly,USPRR,2025-03-12T07:48:00
United States,Price to Rent Ratio,1993-06-30T00:00:00,90.4551,Quarterly,USPRR,2025-03-12T07:48:00
United States,Price to Rent Ratio,1993-09-30T00:00:00,90.5905,Quarterly,USPRR,2025-03-12T07:48:00
United States,Price to Rent Ratio,1993-12-31T00:00:00,90.8346,Quarterly,USPRR,2025-03-12T07:48:00
United States,Price to Rent Ratio,1994-03-31T00:00:00,90.7937,Quarterly,USPRR,2025-03-12T07:48:00
