Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
United States,Private Debt to GDP,1995-12-31T00:00:00,168.3,Yearly,UnitedStPriDebtoGDP,2024-05-07T03:38:00
United States,Private Debt to GDP,1996-12-31T00:00:00,169.6,Yearly,UnitedStPriDebtoGDP,2024-05-07T03:38:00
United States,Private Debt to GDP,1997-12-31T00:00:00,168.2,Yearly,UnitedStPriDebtoGDP,2024-05-07T03:38:00
United States,Private Debt to GDP,1998-12-31T00:00:00,177.3,Yearly,UnitedStPriDebtoGDP,2024-05-07T03:38:00
United States,Private Debt to GDP,1999-12-31T00:00:00,185.1,Yearly,UnitedStPriDebtoGDP,2024-05-07T03:38:00
United States,Private Debt to GDP,2000-12-31T00:00:00,196.4,Yearly,UnitedStPriDebtoGDP,2024-05-07T03:38:00
United States,Private Debt to GDP,2001-12-31T00:00:00,203.2,Yearly,UnitedStPriDebtoGDP,2024-05-07T03:38:00
United States,Private Debt to GDP,2002-12-31T00:00:00,209.2,Yearly,UnitedStPriDebtoGDP,2024-05-07T03:38:00
United States,Private Debt to GDP,2003-12-31T00:00:00,206.6,Yearly,UnitedStPriDebtoGDP,2024-05-07T03:38:00
United States,Private Debt to GDP,2004-12-31T00:00:00,210.4,Yearly,UnitedStPriDebtoGDP,2024-05-07T03:38:00
United States,Private Debt to GDP,2005-12-31T00:00:00,216.5,Yearly,UnitedStPriDebtoGDP,2024-05-07T03:38:00
United States,Private Debt to GDP,2006-12-31T00:00:00,222.9,Yearly,UnitedStPriDebtoGDP,2024-05-07T03:38:00
United States,Private Debt to GDP,2007-12-31T00:00:00,230.9,Yearly,UnitedStPriDebtoGDP,2024-05-07T03:38:00
United States,Private Debt to GDP,2008-12-31T00:00:00,235.9,Yearly,UnitedStPriDebtoGDP,2024-05-07T03:38:00
United States,Private Debt to GDP,2009-12-31T00:00:00,235.5,Yearly,UnitedStPriDebtoGDP,2024-05-07T03:38:00
United States,Private Debt to GDP,2010-12-31T00:00:00,226.4,Yearly,UnitedStPriDebtoGDP,2024-05-07T03:38:00
United States,Private Debt to GDP,2011-12-31T00:00:00,222.3,Yearly,UnitedStPriDebtoGDP,2024-05-07T03:38:00
United States,Private Debt to GDP,2012-12-31T00:00:00,218.6,Yearly,UnitedStPriDebtoGDP,2024-05-07T03:38:00
United States,Private Debt to GDP,2013-12-31T00:00:00,218.6,Yearly,UnitedStPriDebtoGDP,2024-05-07T03:38:00
United States,Private Debt to GDP,2014-12-31T00:00:00,218.9,Yearly,UnitedStPriDebtoGDP,2024-05-07T03:38:00
United States,Private Debt to GDP,2015-12-31T00:00:00,221.4,Yearly,UnitedStPriDebtoGDP,2024-05-07T03:38:00
United States,Private Debt to GDP,2016-12-31T00:00:00,226.4,Yearly,UnitedStPriDebtoGDP,2024-05-07T03:38:00
United States,Private Debt to GDP,2017-12-31T00:00:00,223.6,Yearly,UnitedStPriDebtoGDP,2024-05-07T03:38:00
United States,Private Debt to GDP,2018-12-31T00:00:00,224,Yearly,UnitedStPriDebtoGDP,2024-05-07T03:38:00
United States,Private Debt to GDP,2019-12-31T00:00:00,230.2,Yearly,UnitedStPriDebtoGDP,2024-05-07T03:38:00
United States,Private Debt to GDP,2020-12-31T00:00:00,239.2,Yearly,UnitedStPriDebtoGDP,2024-05-07T03:38:00
United States,Private Debt to GDP,2021-12-31T00:00:00,230.7,Yearly,UnitedStPriDebtoGDP,2024-05-07T03:38:00
United States,Private Debt to GDP,2022-12-31T00:00:00,224.5,Yearly,UnitedStPriDebtoGDP,2024-05-07T03:38:00
United States,Private Debt to GDP,2023-12-31T00:00:00,216.5,Yearly,UnitedStPriDebtoGDP,2024-05-07T03:38:00
