Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
United States,Private Sector Credit,1947-01-31T00:00:00,26.74,Monthly,UNITEDSTAPRISECCRE,2024-06-26T13:07:00
United States,Private Sector Credit,1947-02-28T00:00:00,27.26,Monthly,UNITEDSTAPRISECCRE,2024-06-26T13:07:00
United States,Private Sector Credit,1947-03-31T00:00:00,27.81,Monthly,UNITEDSTAPRISECCRE,2024-06-26T13:07:00
United States,Private Sector Credit,1947-04-30T00:00:00,28.37,Monthly,UNITEDSTAPRISECCRE,2024-06-26T13:07:00
United States,Private Sector Credit,1947-05-31T00:00:00,28.93,Monthly,UNITEDSTAPRISECCRE,2024-06-26T13:07:00
United States,Private Sector Credit,1947-06-30T00:00:00,29.61,Monthly,UNITEDSTAPRISECCRE,2024-06-26T13:07:00
United States,Private Sector Credit,1947-07-31T00:00:00,31,Monthly,UNITEDSTAPRISECCRE,2024-06-26T13:07:00
United States,Private Sector Credit,1947-08-31T00:00:00,31.5,Monthly,UNITEDSTAPRISECCRE,2024-06-26T13:07:00
United States,Private Sector Credit,1947-09-30T00:00:00,31.97,Monthly,UNITEDSTAPRISECCRE,2024-06-26T13:07:00
United States,Private Sector Credit,1947-10-31T00:00:00,32.44,Monthly,UNITEDSTAPRISECCRE,2024-06-26T13:07:00
United States,Private Sector Credit,1947-11-30T00:00:00,32.89,Monthly,UNITEDSTAPRISECCRE,2024-06-26T13:07:00
United States,Private Sector Credit,1947-12-31T00:00:00,33.38,Monthly,UNITEDSTAPRISECCRE,2024-06-26T13:07:00
United States,Private Sector Credit,1948-01-31T00:00:00,33.92,Monthly,UNITEDSTAPRISECCRE,2024-06-26T13:07:00
United States,Private Sector Credit,1948-02-29T00:00:00,34.44,Monthly,UNITEDSTAPRISECCRE,2024-06-26T13:07:00
United States,Private Sector Credit,1948-03-31T00:00:00,35.03,Monthly,UNITEDSTAPRISECCRE,2024-06-26T13:07:00
United States,Private Sector Credit,1948-04-30T00:00:00,35.62,Monthly,UNITEDSTAPRISECCRE,2024-06-26T13:07:00
United States,Private Sector Credit,1948-05-31T00:00:00,36.17,Monthly,UNITEDSTAPRISECCRE,2024-06-26T13:07:00
United States,Private Sector Credit,1948-06-30T00:00:00,36.66,Monthly,UNITEDSTAPRISECCRE,2024-06-26T13:07:00
United States,Private Sector Credit,1948-07-31T00:00:00,36.99,Monthly,UNITEDSTAPRISECCRE,2024-06-26T13:07:00
United States,Private Sector Credit,1948-08-31T00:00:00,37.1,Monthly,UNITEDSTAPRISECCRE,2024-06-26T13:07:00
United States,Private Sector Credit,1948-09-30T00:00:00,37.21,Monthly,UNITEDSTAPRISECCRE,2024-06-26T13:07:00
United States,Private Sector Credit,1948-10-31T00:00:00,37.31,Monthly,UNITEDSTAPRISECCRE,2024-06-26T13:07:00
United States,Private Sector Credit,1948-11-30T00:00:00,37.41,Monthly,UNITEDSTAPRISECCRE,2024-06-26T13:07:00
United States,Private Sector Credit,1948-12-31T00:00:00,37.55,Monthly,UNITEDSTAPRISECCRE,2024-06-26T13:07:00
United States,Private Sector Credit,1949-01-31T00:00:00,37.7,Monthly,UNITEDSTAPRISECCRE,2024-06-26T13:07:00
United States,Private Sector Credit,1949-02-28T00:00:00,37.83,Monthly,UNITEDSTAPRISECCRE,2024-06-26T13:07:00
United States,Private Sector Credit,1949-03-31T00:00:00,37.99,Monthly,UNITEDSTAPRISECCRE,2024-06-26T13:07:00
United States,Private Sector Credit,1949-04-30T00:00:00,38.12,Monthly,UNITEDSTAPRISECCRE,2024-06-26T13:07:00
United States,Private Sector Credit,1949-05-31T00:00:00,38.23,Monthly,UNITEDSTAPRISECCRE,2024-06-26T13:07:00
United States,Private Sector Credit,1949-06-30T00:00:00,38.31,Monthly,UNITEDSTAPRISECCRE,2024-06-26T13:07:00
United States,Private Sector Credit,1949-07-31T00:00:00,38.41,Monthly,UNITEDSTAPRISECCRE,2024-06-26T13:07:00
United States,Private Sector Credit,1949-08-31T00:00:00,38.46,Monthly,UNITEDSTAPRISECCRE,2024-06-26T13:07:00
United States,Private Sector Credit,1949-09-30T00:00:00,38.51,Monthly,UNITEDSTAPRISECCRE,2024-06-26T13:07:00
United States,Private Sector Credit,1949-10-31T00:00:00,38.55,Monthly,UNITEDSTAPRISECCRE,2024-06-26T13:07:00
United States,Private Sector Credit,1949-11-30T00:00:00,38.58,Monthly,UNITEDSTAPRISECCRE,2024-06-26T13:07:00
United States,Private Sector Credit,1949-12-31T00:00:00,38.65,Monthly,UNITEDSTAPRISECCRE,2024-06-26T13:07:00
United States,Private Sector Credit,1950-01-31T00:00:00,39.04,Monthly,UNITEDSTAPRISECCRE,2024-06-26T13:07:00
United States,Private Sector Credit,1950-02-28T00:00:00,39.61,Monthly,UNITEDSTAPRISECCRE,2024-06-26T13:07:00
United States,Private Sector Credit,1950-03-31T00:00:00,40.21,Monthly,UNITEDSTAPRISECCRE,2024-06-26T13:07:00
United States,Private Sector Credit,1950-04-30T00:00:00,40.81,Monthly,UNITEDSTAPRISECCRE,2024-06-26T13:07:00
United States,Private Sector Credit,1950-05-31T00:00:00,41.36,Monthly,UNITEDSTAPRISECCRE,2024-06-26T13:07:00
United States,Private Sector Credit,1950-06-30T00:00:00,41.91,Monthly,UNITEDSTAPRISECCRE,2024-06-26T13:07:00
United States,Private Sector Credit,1950-07-31T00:00:00,42.73,Monthly,UNITEDSTAPRISECCRE,2024-06-26T13:07:00
United States,Private Sector Credit,1950-08-31T00:00:00,43.69,Monthly,UNITEDSTAPRISECCRE,2024-06-26T13:07:00
United States,Private Sector Credit,1950-09-30T00:00:00,44.63,Monthly,UNITEDSTAPRISECCRE,2024-06-26T13:07:00
United States,Private Sector Credit,1950-10-31T00:00:00,45.53,Monthly,UNITEDSTAPRISECCRE,2024-06-26T13:07:00
United States,Private Sector Credit,1950-11-30T00:00:00,46.41,Monthly,UNITEDSTAPRISECCRE,2024-06-26T13:07:00
United States,Private Sector Credit,1950-12-31T00:00:00,47.3,Monthly,UNITEDSTAPRISECCRE,2024-06-26T13:07:00
United States,Private Sector Credit,1951-01-31T00:00:00,48.06,Monthly,UNITEDSTAPRISECCRE,2024-06-26T13:07:00
United States,Private Sector Credit,1951-02-28T00:00:00,48.71,Monthly,UNITEDSTAPRISECCRE,2024-06-26T13:07:00
United States,Private Sector Credit,1951-03-31T00:00:00,49.38,Monthly,UNITEDSTAPRISECCRE,2024-06-26T13:07:00
United States,Private Sector Credit,1951-04-30T00:00:00,50.05,Monthly,UNITEDSTAPRISECCRE,2024-06-26T13:07:00
United States,Private Sector Credit,1951-05-31T00:00:00,50.67,Monthly,UNITEDSTAPRISECCRE,2024-06-26T13:07:00
United States,Private Sector Credit,1951-06-30T00:00:00,51.31,Monthly,UNITEDSTAPRISECCRE,2024-06-26T13:07:00
United States,Private Sector Credit,1951-07-31T00:00:00,51.73,Monthly,UNITEDSTAPRISECCRE,2024-06-26T13:07:00
United States,Private Sector Credit,1951-08-31T00:00:00,52,Monthly,UNITEDSTAPRISECCRE,2024-06-26T13:07:00
United States,Private Sector Credit,1951-09-30T00:00:00,52.26,Monthly,UNITEDSTAPRISECCRE,2024-06-26T13:07:00
United States,Private Sector Credit,1951-10-31T00:00:00,52.54,Monthly,UNITEDSTAPRISECCRE,2024-06-26T13:07:00
United States,Private Sector Credit,1951-11-30T00:00:00,52.82,Monthly,UNITEDSTAPRISECCRE,2024-06-26T13:07:00
United States,Private Sector Credit,1951-12-31T00:00:00,53.05,Monthly,UNITEDSTAPRISECCRE,2024-06-26T13:07:00
United States,Private Sector Credit,1952-01-31T00:00:00,53.5,Monthly,UNITEDSTAPRISECCRE,2024-06-26T13:07:00
United States,Private Sector Credit,1952-02-29T00:00:00,54,Monthly,UNITEDSTAPRISECCRE,2024-06-26T13:07:00
United States,Private Sector Credit,1952-03-31T00:00:00,54.3,Monthly,UNITEDSTAPRISECCRE,2024-06-26T13:07:00
United States,Private Sector Credit,1952-04-30T00:00:00,54.74,Monthly,UNITEDSTAPRISECCRE,2024-06-26T13:07:00
United States,Private Sector Credit,1952-05-31T00:00:00,55.26,Monthly,UNITEDSTAPRISECCRE,2024-06-26T13:07:00
United States,Private Sector Credit,1952-06-30T00:00:00,56.15,Monthly,UNITEDSTAPRISECCRE,2024-06-26T13:07:00
United States,Private Sector Credit,1952-07-31T00:00:00,56.61,Monthly,UNITEDSTAPRISECCRE,2024-06-26T13:07:00
United States,Private Sector Credit,1952-08-31T00:00:00,56.92,Monthly,UNITEDSTAPRISECCRE,2024-06-26T13:07:00
United States,Private Sector Credit,1952-09-30T00:00:00,57.1,Monthly,UNITEDSTAPRISECCRE,2024-06-26T13:07:00
United States,Private Sector Credit,1952-10-31T00:00:00,57.78,Monthly,UNITEDSTAPRISECCRE,2024-06-26T13:07:00
United States,Private Sector Credit,1952-11-30T00:00:00,58.56,Monthly,UNITEDSTAPRISECCRE,2024-06-26T13:07:00
United States,Private Sector Credit,1952-12-31T00:00:00,58.72,Monthly,UNITEDSTAPRISECCRE,2024-06-26T13:07:00
United States,Private Sector Credit,1953-01-31T00:00:00,59.19,Monthly,UNITEDSTAPRISECCRE,2024-06-26T13:07:00
United States,Private Sector Credit,1953-02-28T00:00:00,59.64,Monthly,UNITEDSTAPRISECCRE,2024-06-26T13:07:00
United States,Private Sector Credit,1953-03-31T00:00:00,60.29,Monthly,UNITEDSTAPRISECCRE,2024-06-26T13:07:00
United States,Private Sector Credit,1953-04-30T00:00:00,60.89,Monthly,UNITEDSTAPRISECCRE,2024-06-26T13:07:00
United States,Private Sector Credit,1953-05-31T00:00:00,61.32,Monthly,UNITEDSTAPRISECCRE,2024-06-26T13:07:00
United States,Private Sector Credit,1953-06-30T00:00:00,61.59,Monthly,UNITEDSTAPRISECCRE,2024-06-26T13:07:00
United States,Private Sector Credit,1953-07-31T00:00:00,61.81,Monthly,UNITEDSTAPRISECCRE,2024-06-26T13:07:00
United States,Private Sector Credit,1953-08-31T00:00:00,62.05,Monthly,UNITEDSTAPRISECCRE,2024-06-26T13:07:00
United States,Private Sector Credit,1953-09-30T00:00:00,62.04,Monthly,UNITEDSTAPRISECCRE,2024-06-26T13:07:00
United States,Private Sector Credit,1953-10-31T00:00:00,61.92,Monthly,UNITEDSTAPRISECCRE,2024-06-26T13:07:00
United States,Private Sector Credit,1953-11-30T00:00:00,61.79,Monthly,UNITEDSTAPRISECCRE,2024-06-26T13:07:00
United States,Private Sector Credit,1953-12-31T00:00:00,61.6,Monthly,UNITEDSTAPRISECCRE,2024-06-26T13:07:00
United States,Private Sector Credit,1954-01-31T00:00:00,61.27,Monthly,UNITEDSTAPRISECCRE,2024-06-26T13:07:00
United States,Private Sector Credit,1954-02-28T00:00:00,60.89,Monthly,UNITEDSTAPRISECCRE,2024-06-26T13:07:00
United States,Private Sector Credit,1954-03-31T00:00:00,61.17,Monthly,UNITEDSTAPRISECCRE,2024-06-26T13:07:00
United States,Private Sector Credit,1954-04-30T00:00:00,61.17,Monthly,UNITEDSTAPRISECCRE,2024-06-26T13:07:00
United States,Private Sector Credit,1954-05-31T00:00:00,61.23,Monthly,UNITEDSTAPRISECCRE,2024-06-26T13:07:00
United States,Private Sector Credit,1954-06-30T00:00:00,61.61,Monthly,UNITEDSTAPRISECCRE,2024-06-26T13:07:00
United States,Private Sector Credit,1954-07-31T00:00:00,61.67,Monthly,UNITEDSTAPRISECCRE,2024-06-26T13:07:00
United States,Private Sector Credit,1954-08-31T00:00:00,61.92,Monthly,UNITEDSTAPRISECCRE,2024-06-26T13:07:00
United States,Private Sector Credit,1954-09-30T00:00:00,62.39,Monthly,UNITEDSTAPRISECCRE,2024-06-26T13:07:00
United States,Private Sector Credit,1954-10-31T00:00:00,62.84,Monthly,UNITEDSTAPRISECCRE,2024-06-26T13:07:00
United States,Private Sector Credit,1954-11-30T00:00:00,63.25,Monthly,UNITEDSTAPRISECCRE,2024-06-26T13:07:00
United States,Private Sector Credit,1954-12-31T00:00:00,63.93,Monthly,UNITEDSTAPRISECCRE,2024-06-26T13:07:00
United States,Private Sector Credit,1955-01-31T00:00:00,64.68,Monthly,UNITEDSTAPRISECCRE,2024-06-26T13:07:00
United States,Private Sector Credit,1955-02-28T00:00:00,65.17,Monthly,UNITEDSTAPRISECCRE,2024-06-26T13:07:00
United States,Private Sector Credit,1955-03-31T00:00:00,66,Monthly,UNITEDSTAPRISECCRE,2024-06-26T13:07:00
United States,Private Sector Credit,1955-04-30T00:00:00,66.8,Monthly,UNITEDSTAPRISECCRE,2024-06-26T13:07:00
United States,Private Sector Credit,1955-05-31T00:00:00,67.75,Monthly,UNITEDSTAPRISECCRE,2024-06-26T13:07:00
United States,Private Sector Credit,1955-06-30T00:00:00,69.19,Monthly,UNITEDSTAPRISECCRE,2024-06-26T13:07:00
United States,Private Sector Credit,1955-07-31T00:00:00,70.15,Monthly,UNITEDSTAPRISECCRE,2024-06-26T13:07:00
United States,Private Sector Credit,1955-08-31T00:00:00,70.78,Monthly,UNITEDSTAPRISECCRE,2024-06-26T13:07:00
United States,Private Sector Credit,1955-09-30T00:00:00,71.48,Monthly,UNITEDSTAPRISECCRE,2024-06-26T13:07:00
United States,Private Sector Credit,1955-10-31T00:00:00,72.41,Monthly,UNITEDSTAPRISECCRE,2024-06-26T13:07:00
United States,Private Sector Credit,1955-11-30T00:00:00,73.53,Monthly,UNITEDSTAPRISECCRE,2024-06-26T13:07:00
United States,Private Sector Credit,1955-12-31T00:00:00,74.47,Monthly,UNITEDSTAPRISECCRE,2024-06-26T13:07:00
United States,Private Sector Credit,1956-01-31T00:00:00,75.26,Monthly,UNITEDSTAPRISECCRE,2024-06-26T13:07:00
