Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
United States,Producer Prices,2009-11-30T00:00:00,100.2,Monthly,UNITEDSTAPROPRI,2015-04-25T21:22:00
United States,Producer Prices,2009-12-31T00:00:00,100.3,Monthly,UNITEDSTAPROPRI,2014-08-15T13:41:00
United States,Producer Prices,2010-01-31T00:00:00,101.2,Monthly,UNITEDSTAPROPRI,2014-08-15T13:41:00
United States,Producer Prices,2010-02-28T00:00:00,101,Monthly,UNITEDSTAPROPRI,2014-08-15T13:41:00
United States,Producer Prices,2010-03-31T00:00:00,101.1,Monthly,UNITEDSTAPROPRI,2014-08-15T13:41:00
United States,Producer Prices,2010-04-30T00:00:00,101.4,Monthly,UNITEDSTAPROPRI,2014-08-15T13:41:00
United States,Producer Prices,2010-05-31T00:00:00,101.6,Monthly,UNITEDSTAPROPRI,2015-04-25T21:22:00
United States,Producer Prices,2010-06-30T00:00:00,101.4,Monthly,UNITEDSTAPROPRI,2014-08-15T13:41:00
United States,Producer Prices,2010-07-31T00:00:00,101.6,Monthly,UNITEDSTAPROPRI,2014-08-15T13:41:00
United States,Producer Prices,2010-08-31T00:00:00,101.8,Monthly,UNITEDSTAPROPRI,2015-04-25T21:22:00
United States,Producer Prices,2010-09-30T00:00:00,102.1,Monthly,UNITEDSTAPROPRI,2014-08-15T13:41:00
United States,Producer Prices,2010-10-31T00:00:00,102.5,Monthly,UNITEDSTAPROPRI,2014-08-15T13:41:00
United States,Producer Prices,2010-11-30T00:00:00,102.8,Monthly,UNITEDSTAPROPRI,2014-08-15T13:41:00
United States,Producer Prices,2010-12-31T00:00:00,103.1,Monthly,UNITEDSTAPROPRI,2015-04-25T21:22:00
United States,Producer Prices,2011-01-31T00:00:00,103.7,Monthly,UNITEDSTAPROPRI,2015-04-25T21:22:00
United States,Producer Prices,2011-02-28T00:00:00,104.3,Monthly,UNITEDSTAPROPRI,2014-08-15T13:41:00
United States,Producer Prices,2011-03-31T00:00:00,105,Monthly,UNITEDSTAPROPRI,2015-04-25T21:22:00
United States,Producer Prices,2011-04-30T00:00:00,105.5,Monthly,UNITEDSTAPROPRI,2014-08-15T13:41:00
United States,Producer Prices,2011-05-31T00:00:00,105.8,Monthly,UNITEDSTAPROPRI,2015-04-25T21:22:00
United States,Producer Prices,2011-06-30T00:00:00,105.9,Monthly,UNITEDSTAPROPRI,2014-08-15T13:41:00
United States,Producer Prices,2011-07-31T00:00:00,106.1,Monthly,UNITEDSTAPROPRI,2014-08-15T13:41:00
United States,Producer Prices,2011-08-31T00:00:00,106.3,Monthly,UNITEDSTAPROPRI,2014-08-15T13:41:00
United States,Producer Prices,2011-09-30T00:00:00,106.7,Monthly,UNITEDSTAPROPRI,2014-08-15T13:41:00
