Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
United States,Productivity,1947-03-31T00:00:00,22.256,Quarterly,UNITEDSTAPRO,2025-03-13T10:49:00
United States,Productivity,1947-06-30T00:00:00,22.762,Quarterly,UNITEDSTAPRO,2025-03-13T10:49:00
United States,Productivity,1947-09-30T00:00:00,22.065,Quarterly,UNITEDSTAPRO,2025-03-13T10:49:00
United States,Productivity,1947-12-31T00:00:00,22.993,Quarterly,UNITEDSTAPRO,2025-03-13T10:49:00
United States,Productivity,1948-03-31T00:00:00,23.097,Quarterly,UNITEDSTAPRO,2025-03-13T10:49:00
United States,Productivity,1948-06-30T00:00:00,23.036,Quarterly,UNITEDSTAPRO,2025-03-13T10:49:00
United States,Productivity,1948-09-30T00:00:00,23.061,Quarterly,UNITEDSTAPRO,2025-03-13T10:49:00
United States,Productivity,1948-12-31T00:00:00,23.162,Quarterly,UNITEDSTAPRO,2025-03-13T10:49:00
United States,Productivity,1949-03-31T00:00:00,23.398,Quarterly,UNITEDSTAPRO,2025-03-13T10:49:00
United States,Productivity,1949-06-30T00:00:00,23.639,Quarterly,UNITEDSTAPRO,2025-03-13T10:49:00
United States,Productivity,1949-09-30T00:00:00,24.204,Quarterly,UNITEDSTAPRO,2025-03-13T10:49:00
United States,Productivity,1949-12-31T00:00:00,24.073,Quarterly,UNITEDSTAPRO,2025-03-13T10:49:00
United States,Productivity,1950-03-31T00:00:00,24.899,Quarterly,UNITEDSTAPRO,2025-03-13T10:49:00
United States,Productivity,1950-06-30T00:00:00,25.205,Quarterly,UNITEDSTAPRO,2025-03-13T10:49:00
United States,Productivity,1950-09-30T00:00:00,25.752,Quarterly,UNITEDSTAPRO,2025-03-13T10:49:00
United States,Productivity,1950-12-31T00:00:00,25.799,Quarterly,UNITEDSTAPRO,2025-03-13T10:49:00
United States,Productivity,1951-03-31T00:00:00,25.827,Quarterly,UNITEDSTAPRO,2025-03-13T10:49:00
United States,Productivity,1951-06-30T00:00:00,25.747,Quarterly,UNITEDSTAPRO,2025-03-13T10:49:00
United States,Productivity,1951-09-30T00:00:00,26.319,Quarterly,UNITEDSTAPRO,2025-03-13T10:49:00
United States,Productivity,1951-12-31T00:00:00,26.398,Quarterly,UNITEDSTAPRO,2025-03-13T10:49:00
United States,Productivity,1952-03-31T00:00:00,26.533,Quarterly,UNITEDSTAPRO,2025-03-13T10:49:00
United States,Productivity,1952-06-30T00:00:00,26.48,Quarterly,UNITEDSTAPRO,2025-03-13T10:49:00
