Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
United States,Rent Inflation,1954-01-31T00:00:00,2.765,Monthly,USARENINF,2022-02-11T14:31:00
United States,Rent Inflation,1954-02-28T00:00:00,2.765,Monthly,USARENINF,2022-02-11T14:31:00
United States,Rent Inflation,1954-03-31T00:00:00,2.294,Monthly,USARENINF,2022-02-11T14:31:00
United States,Rent Inflation,1954-04-30T00:00:00,2.294,Monthly,USARENINF,2022-02-11T14:31:00
United States,Rent Inflation,1954-05-31T00:00:00,2.74,Monthly,USARENINF,2022-02-11T14:31:00
United States,Rent Inflation,1954-06-30T00:00:00,2.74,Monthly,USARENINF,2022-02-11T14:31:00
United States,Rent Inflation,1954-07-31T00:00:00,2.273,Monthly,USARENINF,2022-02-11T14:31:00
United States,Rent Inflation,1954-08-31T00:00:00,2.262,Monthly,USARENINF,2022-02-11T14:31:00
United States,Rent Inflation,1954-09-30T00:00:00,1.802,Monthly,USARENINF,2022-02-11T14:31:00
United States,Rent Inflation,1954-10-31T00:00:00,1.345,Monthly,USARENINF,2022-02-11T14:31:00
United States,Rent Inflation,1954-11-30T00:00:00,1.345,Monthly,USARENINF,2022-02-11T14:31:00
United States,Rent Inflation,1954-12-31T00:00:00,1.794,Monthly,USARENINF,2022-02-11T14:31:00
United States,Rent Inflation,1955-01-31T00:00:00,1.794,Monthly,USARENINF,2022-02-11T14:31:00
United States,Rent Inflation,1955-02-28T00:00:00,1.345,Monthly,USARENINF,2022-02-11T14:31:00
United States,Rent Inflation,1955-03-31T00:00:00,1.794,Monthly,USARENINF,2022-02-11T14:31:00
United States,Rent Inflation,1955-04-30T00:00:00,1.345,Monthly,USARENINF,2022-02-11T14:31:00
United States,Rent Inflation,1955-05-31T00:00:00,0.444,Monthly,USARENINF,2022-02-11T14:31:00
United States,Rent Inflation,1955-06-30T00:00:00,0.889,Monthly,USARENINF,2022-02-11T14:31:00
United States,Rent Inflation,1955-07-31T00:00:00,0.889,Monthly,USARENINF,2022-02-11T14:31:00
United States,Rent Inflation,1955-08-31T00:00:00,0.885,Monthly,USARENINF,2022-02-11T14:31:00
United States,Rent Inflation,1955-09-30T00:00:00,1.327,Monthly,USARENINF,2022-02-11T14:31:00
United States,Rent Inflation,1955-10-31T00:00:00,1.327,Monthly,USARENINF,2022-02-11T14:31:00
United States,Rent Inflation,1955-11-30T00:00:00,1.327,Monthly,USARENINF,2022-02-11T14:31:00
United States,Rent Inflation,1955-12-31T00:00:00,0.881,Monthly,USARENINF,2022-02-11T14:31:00
United States,Rent Inflation,1956-01-31T00:00:00,0.881,Monthly,USARENINF,2022-02-11T14:31:00
United States,Rent Inflation,1956-02-29T00:00:00,1.327,Monthly,USARENINF,2022-02-11T14:31:00
United States,Rent Inflation,1956-03-31T00:00:00,0.881,Monthly,USARENINF,2022-02-11T14:31:00
United States,Rent Inflation,1956-04-30T00:00:00,1.327,Monthly,USARENINF,2022-02-11T14:31:00
United States,Rent Inflation,1956-05-31T00:00:00,1.327,Monthly,USARENINF,2022-02-11T14:31:00
United States,Rent Inflation,1956-06-30T00:00:00,1.762,Monthly,USARENINF,2022-02-11T14:31:00
United States,Rent Inflation,1956-07-31T00:00:00,2.203,Monthly,USARENINF,2022-02-11T14:31:00
United States,Rent Inflation,1956-08-31T00:00:00,2.193,Monthly,USARENINF,2022-02-11T14:31:00
United States,Rent Inflation,1956-09-30T00:00:00,1.747,Monthly,USARENINF,2022-02-11T14:31:00
United States,Rent Inflation,1956-10-31T00:00:00,1.747,Monthly,USARENINF,2022-02-11T14:31:00
United States,Rent Inflation,1956-11-30T00:00:00,1.747,Monthly,USARENINF,2022-02-11T14:31:00
United States,Rent Inflation,1956-12-31T00:00:00,2.62,Monthly,USARENINF,2022-02-11T14:31:00
United States,Rent Inflation,1957-01-31T00:00:00,2.62,Monthly,USARENINF,2022-02-11T14:31:00
United States,Rent Inflation,1957-02-28T00:00:00,3.493,Monthly,USARENINF,2022-02-11T14:31:00
United States,Rent Inflation,1957-03-31T00:00:00,3.493,Monthly,USARENINF,2022-02-11T14:31:00
United States,Rent Inflation,1957-04-30T00:00:00,4.367,Monthly,USARENINF,2022-02-11T14:31:00
United States,Rent Inflation,1957-05-31T00:00:00,4.367,Monthly,USARENINF,2022-02-11T14:31:00
United States,Rent Inflation,1957-06-30T00:00:00,3.463,Monthly,USARENINF,2022-02-11T14:31:00
United States,Rent Inflation,1957-07-31T00:00:00,3.448,Monthly,USARENINF,2022-02-11T14:31:00
United States,Rent Inflation,1957-08-31T00:00:00,3.004,Monthly,USARENINF,2022-02-11T14:31:00
United States,Rent Inflation,1957-09-30T00:00:00,3.863,Monthly,USARENINF,2022-02-11T14:31:00
United States,Rent Inflation,1957-10-31T00:00:00,3.863,Monthly,USARENINF,2022-02-11T14:31:00
United States,Rent Inflation,1957-11-30T00:00:00,3.863,Monthly,USARENINF,2022-02-11T14:31:00
United States,Rent Inflation,1957-12-31T00:00:00,3.404,Monthly,USARENINF,2022-02-11T14:31:00
United States,Rent Inflation,1958-01-31T00:00:00,3.404,Monthly,USARENINF,2022-02-11T14:31:00
United States,Rent Inflation,1958-02-28T00:00:00,2.532,Monthly,USARENINF,2022-02-11T14:31:00
United States,Rent Inflation,1958-03-31T00:00:00,2.954,Monthly,USARENINF,2022-02-11T14:31:00
United States,Rent Inflation,1958-04-30T00:00:00,2.51,Monthly,USARENINF,2022-02-11T14:31:00
United States,Rent Inflation,1958-05-31T00:00:00,2.929,Monthly,USARENINF,2022-02-11T14:31:00
United States,Rent Inflation,1958-06-30T00:00:00,2.51,Monthly,USARENINF,2022-02-11T14:31:00
United States,Rent Inflation,1958-07-31T00:00:00,2.083,Monthly,USARENINF,2022-02-11T14:31:00
United States,Rent Inflation,1958-08-31T00:00:00,2.083,Monthly,USARENINF,2022-02-11T14:31:00
United States,Rent Inflation,1958-09-30T00:00:00,1.24,Monthly,USARENINF,2022-02-11T14:31:00
United States,Rent Inflation,1958-10-31T00:00:00,1.24,Monthly,USARENINF,2022-02-11T14:31:00
United States,Rent Inflation,1958-11-30T00:00:00,1.24,Monthly,USARENINF,2022-02-11T14:31:00
United States,Rent Inflation,1958-12-31T00:00:00,0.823,Monthly,USARENINF,2022-02-11T14:31:00
United States,Rent Inflation,1959-01-31T00:00:00,0.823,Monthly,USARENINF,2022-02-11T14:31:00
United States,Rent Inflation,1959-02-28T00:00:00,0.823,Monthly,USARENINF,2022-02-11T14:31:00
United States,Rent Inflation,1959-03-31T00:00:00,0.82,Monthly,USARENINF,2022-02-11T14:31:00
United States,Rent Inflation,1959-04-30T00:00:00,0.408,Monthly,USARENINF,2022-02-11T14:31:00
United States,Rent Inflation,1959-05-31T00:00:00,0.407,Monthly,USARENINF,2022-02-11T14:31:00
United States,Rent Inflation,1959-06-30T00:00:00,0.816,Monthly,USARENINF,2022-02-11T14:31:00
United States,Rent Inflation,1959-07-31T00:00:00,0.816,Monthly,USARENINF,2022-02-11T14:31:00
United States,Rent Inflation,1959-08-31T00:00:00,1.224,Monthly,USARENINF,2022-02-11T14:31:00
United States,Rent Inflation,1959-09-30T00:00:00,1.224,Monthly,USARENINF,2022-02-11T14:31:00
United States,Rent Inflation,1959-10-31T00:00:00,1.633,Monthly,USARENINF,2022-02-11T14:31:00
United States,Rent Inflation,1959-11-30T00:00:00,2.041,Monthly,USARENINF,2022-02-11T14:31:00
United States,Rent Inflation,1959-12-31T00:00:00,2.041,Monthly,USARENINF,2022-02-11T14:31:00
United States,Rent Inflation,1960-01-31T00:00:00,2.041,Monthly,USARENINF,2022-02-11T14:31:00
