Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
United States,Residential Property Prices,1971-03-31T00:00:00,6.45,Quarterly,USRPP,2023-06-20T12:43:00
United States,Residential Property Prices,1971-06-30T00:00:00,8.54,Quarterly,USRPP,2023-06-20T12:43:00
United States,Residential Property Prices,1971-09-30T00:00:00,8.02,Quarterly,USRPP,2023-06-20T12:43:00
United States,Residential Property Prices,1971-12-31T00:00:00,9.23,Quarterly,USRPP,2023-06-20T12:43:00
United States,Residential Property Prices,1972-03-31T00:00:00,6.65,Quarterly,USRPP,2023-06-20T12:43:00
United States,Residential Property Prices,1972-06-30T00:00:00,6.78,Quarterly,USRPP,2023-06-20T12:43:00
United States,Residential Property Prices,1972-09-30T00:00:00,7.73,Quarterly,USRPP,2023-06-20T12:43:00
United States,Residential Property Prices,1972-12-31T00:00:00,7.5,Quarterly,USRPP,2023-06-20T12:43:00
United States,Residential Property Prices,1973-03-31T00:00:00,11.91,Quarterly,USRPP,2023-06-20T12:43:00
United States,Residential Property Prices,1973-06-30T00:00:00,11.44,Quarterly,USRPP,2023-06-20T12:43:00
United States,Residential Property Prices,1973-09-30T00:00:00,12.07,Quarterly,USRPP,2023-06-20T12:43:00
United States,Residential Property Prices,1973-12-31T00:00:00,12,Quarterly,USRPP,2023-06-20T12:43:00
United States,Residential Property Prices,1974-03-31T00:00:00,9.89,Quarterly,USRPP,2023-06-20T12:43:00
United States,Residential Property Prices,1974-06-30T00:00:00,9.4,Quarterly,USRPP,2023-06-20T12:43:00
United States,Residential Property Prices,1974-09-30T00:00:00,9.5,Quarterly,USRPP,2023-06-20T12:43:00
United States,Residential Property Prices,1974-12-31T00:00:00,7.89,Quarterly,USRPP,2023-06-20T12:43:00
United States,Residential Property Prices,1975-03-31T00:00:00,8.11,Quarterly,USRPP,2023-06-20T12:43:00
United States,Residential Property Prices,1975-06-30T00:00:00,9.07,Quarterly,USRPP,2023-06-20T12:43:00
United States,Residential Property Prices,1975-09-30T00:00:00,8.13,Quarterly,USRPP,2023-06-20T12:43:00
United States,Residential Property Prices,1975-12-31T00:00:00,9.47,Quarterly,USRPP,2023-06-20T12:43:00
United States,Residential Property Prices,1976-03-31T00:00:00,3.85,Quarterly,USRPP,2025-04-01T06:35:00
United States,Residential Property Prices,1976-06-30T00:00:00,4.12,Quarterly,USRPP,2025-04-01T06:35:00
United States,Residential Property Prices,1976-09-30T00:00:00,4.89,Quarterly,USRPP,2025-04-01T06:35:00
United States,Residential Property Prices,1976-12-31T00:00:00,7.18,Quarterly,USRPP,2025-04-01T06:35:00
United States,Residential Property Prices,1977-03-31T00:00:00,14.64,Quarterly,USRPP,2025-04-01T06:35:00
United States,Residential Property Prices,1977-06-30T00:00:00,16.37,Quarterly,USRPP,2025-04-01T06:35:00
United States,Residential Property Prices,1977-09-30T00:00:00,17.58,Quarterly,USRPP,2025-04-01T06:35:00
United States,Residential Property Prices,1977-12-31T00:00:00,16.05,Quarterly,USRPP,2025-04-01T06:35:00
United States,Residential Property Prices,1978-03-31T00:00:00,16.26,Quarterly,USRPP,2025-04-01T06:35:00
United States,Residential Property Prices,1978-06-30T00:00:00,14.83,Quarterly,USRPP,2025-04-01T06:35:00
United States,Residential Property Prices,1978-09-30T00:00:00,15.38,Quarterly,USRPP,2025-04-01T06:35:00
United States,Residential Property Prices,1978-12-31T00:00:00,15.49,Quarterly,USRPP,2025-04-01T06:35:00
United States,Residential Property Prices,1979-03-31T00:00:00,15.64,Quarterly,USRPP,2025-04-01T06:35:00
United States,Residential Property Prices,1979-06-30T00:00:00,16.88,Quarterly,USRPP,2025-02-20T05:56:00
United States,Residential Property Prices,1979-09-30T00:00:00,16.39,Quarterly,USRPP,2025-04-01T06:35:00
United States,Residential Property Prices,1979-12-31T00:00:00,17.18,Quarterly,USRPP,2025-04-01T06:35:00
United States,Residential Property Prices,1980-03-31T00:00:00,14.69,Quarterly,USRPP,2025-04-01T06:35:00
United States,Residential Property Prices,1980-06-30T00:00:00,11.14,Quarterly,USRPP,2025-04-01T06:35:00
United States,Residential Property Prices,1980-09-30T00:00:00,10.63,Quarterly,USRPP,2025-04-01T06:35:00
United States,Residential Property Prices,1980-12-31T00:00:00,9.11,Quarterly,USRPP,2025-04-01T06:35:00
United States,Residential Property Prices,1981-03-31T00:00:00,8.67,Quarterly,USRPP,2025-04-01T06:35:00
United States,Residential Property Prices,1981-06-30T00:00:00,8.66,Quarterly,USRPP,2025-04-01T06:35:00
United States,Residential Property Prices,1981-09-30T00:00:00,6.27,Quarterly,USRPP,2025-02-20T05:56:00
United States,Residential Property Prices,1981-12-31T00:00:00,5.34,Quarterly,USRPP,2025-04-01T06:35:00
United States,Residential Property Prices,1982-03-31T00:00:00,3.84,Quarterly,USRPP,2025-02-20T05:56:00
United States,Residential Property Prices,1982-06-30T00:00:00,2.76,Quarterly,USRPP,2025-04-01T06:35:00
United States,Residential Property Prices,1982-09-30T00:00:00,1.9,Quarterly,USRPP,2025-04-01T06:35:00
United States,Residential Property Prices,1982-12-31T00:00:00,1.34,Quarterly,USRPP,2025-02-20T05:56:00
United States,Residential Property Prices,1983-03-31T00:00:00,2.02,Quarterly,USRPP,2025-04-01T06:35:00
United States,Residential Property Prices,1983-06-30T00:00:00,3.15,Quarterly,USRPP,2025-04-01T06:35:00
United States,Residential Property Prices,1983-09-30T00:00:00,4.49,Quarterly,USRPP,2025-04-01T06:35:00
United States,Residential Property Prices,1983-12-31T00:00:00,5.11,Quarterly,USRPP,2025-02-20T05:56:00
United States,Residential Property Prices,1984-03-31T00:00:00,5.2,Quarterly,USRPP,2025-04-01T06:35:00
United States,Residential Property Prices,1984-06-30T00:00:00,5.22,Quarterly,USRPP,2025-04-01T06:35:00
United States,Residential Property Prices,1984-09-30T00:00:00,5.36,Quarterly,USRPP,2025-04-01T06:35:00
United States,Residential Property Prices,1984-12-31T00:00:00,4.77,Quarterly,USRPP,2025-04-01T06:35:00
United States,Residential Property Prices,1985-03-31T00:00:00,4.79,Quarterly,USRPP,2025-04-01T06:35:00
United States,Residential Property Prices,1985-06-30T00:00:00,5.7,Quarterly,USRPP,2025-04-01T06:35:00
United States,Residential Property Prices,1985-09-30T00:00:00,5.04,Quarterly,USRPP,2025-04-01T06:35:00
United States,Residential Property Prices,1985-12-31T00:00:00,6.34,Quarterly,USRPP,2025-04-01T06:35:00
United States,Residential Property Prices,1986-03-31T00:00:00,7.21,Quarterly,USRPP,2025-04-01T06:35:00
United States,Residential Property Prices,1986-06-30T00:00:00,6.93,Quarterly,USRPP,2025-02-20T05:56:00
United States,Residential Property Prices,1986-09-30T00:00:00,8.46,Quarterly,USRPP,2025-02-20T05:56:00
United States,Residential Property Prices,1986-12-31T00:00:00,8.08,Quarterly,USRPP,2025-04-01T06:35:00
United States,Residential Property Prices,1987-03-31T00:00:00,9.43,Quarterly,USRPP,2025-04-01T06:35:00
United States,Residential Property Prices,1987-06-30T00:00:00,9.72,Quarterly,USRPP,2025-04-01T06:35:00
United States,Residential Property Prices,1987-09-30T00:00:00,9.61,Quarterly,USRPP,2025-04-01T06:35:00
United States,Residential Property Prices,1987-12-31T00:00:00,10.08,Quarterly,USRPP,2025-04-01T06:35:00
United States,Residential Property Prices,1988-03-31T00:00:00,8.21,Quarterly,USRPP,2025-04-01T06:35:00
United States,Residential Property Prices,1988-06-30T00:00:00,8.52,Quarterly,USRPP,2025-02-20T05:56:00
United States,Residential Property Prices,1988-09-30T00:00:00,9.14,Quarterly,USRPP,2025-02-20T05:56:00
United States,Residential Property Prices,1988-12-31T00:00:00,9.7,Quarterly,USRPP,2025-04-01T06:35:00
United States,Residential Property Prices,1989-03-31T00:00:00,10.32,Quarterly,USRPP,2025-04-01T06:35:00
United States,Residential Property Prices,1989-06-30T00:00:00,9.25,Quarterly,USRPP,2025-02-20T05:56:00
United States,Residential Property Prices,1989-09-30T00:00:00,7.74,Quarterly,USRPP,2025-04-01T06:35:00
United States,Residential Property Prices,1989-12-31T00:00:00,6.42,Quarterly,USRPP,2025-04-01T06:35:00
United States,Residential Property Prices,1990-03-31T00:00:00,5.65,Quarterly,USRPP,2025-04-01T06:35:00
United States,Residential Property Prices,1990-06-30T00:00:00,4.17,Quarterly,USRPP,2025-04-01T06:35:00
United States,Residential Property Prices,1990-09-30T00:00:00,2.53,Quarterly,USRPP,2025-04-01T06:35:00
United States,Residential Property Prices,1990-12-31T00:00:00,0.78,Quarterly,USRPP,2025-02-20T05:56:00
United States,Residential Property Prices,1991-03-31T00:00:00,-1.34,Quarterly,USRPP,2025-02-20T05:56:00
United States,Residential Property Prices,1991-06-30T00:00:00,-0.74,Quarterly,USRPP,2025-04-01T06:35:00
United States,Residential Property Prices,1991-09-30T00:00:00,-0.82,Quarterly,USRPP,2025-04-01T06:35:00
United States,Residential Property Prices,1991-12-31T00:00:00,-0.63,Quarterly,USRPP,2025-04-01T06:35:00
United States,Residential Property Prices,1992-03-31T00:00:00,0.34,Quarterly,USRPP,2025-04-01T06:35:00
United States,Residential Property Prices,1992-06-30T00:00:00,-0.54,Quarterly,USRPP,2025-04-01T06:35:00
United States,Residential Property Prices,1992-09-30T00:00:00,-0.37,Quarterly,USRPP,2025-04-01T06:35:00
United States,Residential Property Prices,1992-12-31T00:00:00,0.18,Quarterly,USRPP,2025-04-01T06:35:00
United States,Residential Property Prices,1993-03-31T00:00:00,0.28,Quarterly,USRPP,2025-02-20T05:56:00
United States,Residential Property Prices,1993-06-30T00:00:00,0.94,Quarterly,USRPP,2025-04-01T06:35:00
United States,Residential Property Prices,1993-09-30T00:00:00,1.8,Quarterly,USRPP,2025-04-01T06:35:00
United States,Residential Property Prices,1993-12-31T00:00:00,2.43,Quarterly,USRPP,2025-02-20T05:56:00
United States,Residential Property Prices,1994-03-31T00:00:00,2.45,Quarterly,USRPP,2025-04-01T06:35:00
United States,Residential Property Prices,1994-06-30T00:00:00,2.54,Quarterly,USRPP,2025-04-01T06:35:00
United States,Residential Property Prices,1994-09-30T00:00:00,2.32,Quarterly,USRPP,2025-04-01T06:35:00
United States,Residential Property Prices,1994-12-31T00:00:00,1.83,Quarterly,USRPP,2025-04-01T06:35:00
United States,Residential Property Prices,1995-03-31T00:00:00,1.86,Quarterly,USRPP,2025-04-01T06:35:00
United States,Residential Property Prices,1995-06-30T00:00:00,1.92,Quarterly,USRPP,2025-04-01T06:35:00
United States,Residential Property Prices,1995-09-30T00:00:00,2.34,Quarterly,USRPP,2025-04-01T06:35:00
United States,Residential Property Prices,1995-12-31T00:00:00,2.42,Quarterly,USRPP,2025-02-20T05:56:00
United States,Residential Property Prices,1996-03-31T00:00:00,2.94,Quarterly,USRPP,2025-04-01T06:35:00
United States,Residential Property Prices,1996-06-30T00:00:00,3,Quarterly,USRPP,2025-02-20T05:56:00
United States,Residential Property Prices,1996-09-30T00:00:00,2.66,Quarterly,USRPP,2025-04-01T06:35:00
United States,Residential Property Prices,1996-12-31T00:00:00,2.77,Quarterly,USRPP,2025-04-01T06:35:00
United States,Residential Property Prices,1997-03-31T00:00:00,2.73,Quarterly,USRPP,2025-04-01T06:35:00
United States,Residential Property Prices,1997-06-30T00:00:00,3.05,Quarterly,USRPP,2025-02-20T05:56:00
United States,Residential Property Prices,1997-09-30T00:00:00,3.73,Quarterly,USRPP,2025-04-01T06:35:00
United States,Residential Property Prices,1997-12-31T00:00:00,4.64,Quarterly,USRPP,2025-04-01T06:35:00
United States,Residential Property Prices,1998-03-31T00:00:00,5.87,Quarterly,USRPP,2025-02-20T05:56:00
United States,Residential Property Prices,1998-06-30T00:00:00,6.2,Quarterly,USRPP,2025-04-01T06:35:00
United States,Residential Property Prices,1998-09-30T00:00:00,6.77,Quarterly,USRPP,2025-02-20T05:56:00
United States,Residential Property Prices,1998-12-31T00:00:00,7.18,Quarterly,USRPP,2025-02-20T05:56:00
United States,Residential Property Prices,1999-03-31T00:00:00,6.71,Quarterly,USRPP,2025-04-01T06:35:00
United States,Residential Property Prices,1999-06-30T00:00:00,7.38,Quarterly,USRPP,2025-04-01T06:35:00
United States,Residential Property Prices,1999-09-30T00:00:00,7.58,Quarterly,USRPP,2025-04-01T06:35:00
United States,Residential Property Prices,1999-12-31T00:00:00,7.85,Quarterly,USRPP,2025-04-01T06:35:00
United States,Residential Property Prices,2000-03-31T00:00:00,8.83,Quarterly,USRPP,2025-04-01T06:35:00
United States,Residential Property Prices,2000-06-30T00:00:00,9.46,Quarterly,USRPP,2025-04-01T06:35:00
United States,Residential Property Prices,2000-09-30T00:00:00,9.68,Quarterly,USRPP,2025-04-01T06:35:00
United States,Residential Property Prices,2000-12-31T00:00:00,9.81,Quarterly,USRPP,2025-02-20T05:56:00
United States,Residential Property Prices,2001-03-31T00:00:00,9.74,Quarterly,USRPP,2025-04-01T06:35:00
United States,Residential Property Prices,2001-06-30T00:00:00,8.87,Quarterly,USRPP,2025-04-01T06:35:00
United States,Residential Property Prices,2001-09-30T00:00:00,8.6,Quarterly,USRPP,2025-02-20T05:56:00
United States,Residential Property Prices,2001-12-31T00:00:00,7.94,Quarterly,USRPP,2025-04-01T06:35:00
United States,Residential Property Prices,2002-03-31T00:00:00,7.33,Quarterly,USRPP,2025-02-20T05:56:00
United States,Residential Property Prices,2002-06-30T00:00:00,8.22,Quarterly,USRPP,2025-02-20T05:56:00
United States,Residential Property Prices,2002-09-30T00:00:00,8.91,Quarterly,USRPP,2024-07-23T05:59:00
United States,Residential Property Prices,2002-12-31T00:00:00,9.31,Quarterly,USRPP,2025-04-01T06:35:00
United States,Residential Property Prices,2003-03-31T00:00:00,9.54,Quarterly,USRPP,2025-04-01T06:35:00
United States,Residential Property Prices,2003-06-30T00:00:00,9.06,Quarterly,USRPP,2025-02-20T05:56:00
United States,Residential Property Prices,2003-09-30T00:00:00,9.43,Quarterly,USRPP,2025-04-01T06:35:00
United States,Residential Property Prices,2003-12-31T00:00:00,10.76,Quarterly,USRPP,2025-02-20T05:56:00
United States,Residential Property Prices,2004-03-31T00:00:00,12.25,Quarterly,USRPP,2025-02-20T05:56:00
United States,Residential Property Prices,2004-06-30T00:00:00,14.23,Quarterly,USRPP,2025-04-01T06:35:00
United States,Residential Property Prices,2004-09-30T00:00:00,14.8,Quarterly,USRPP,2025-02-20T05:56:00
United States,Residential Property Prices,2004-12-31T00:00:00,15.35,Quarterly,USRPP,2025-04-01T06:35:00
United States,Residential Property Prices,2005-03-31T00:00:00,16.15,Quarterly,USRPP,2025-02-20T05:56:00
United States,Residential Property Prices,2005-06-30T00:00:00,16.15,Quarterly,USRPP,2025-04-01T06:35:00
United States,Residential Property Prices,2005-09-30T00:00:00,16.2,Quarterly,USRPP,2025-04-01T06:35:00
United States,Residential Property Prices,2005-12-31T00:00:00,15.09,Quarterly,USRPP,2025-02-20T05:56:00
United States,Residential Property Prices,2006-03-31T00:00:00,12.6,Quarterly,USRPP,2025-02-20T05:56:00
United States,Residential Property Prices,2006-06-30T00:00:00,7.54,Quarterly,USRPP,2025-02-20T05:56:00
United States,Residential Property Prices,2006-09-30T00:00:00,3.17,Quarterly,USRPP,2025-02-20T05:56:00
United States,Residential Property Prices,2006-12-31T00:00:00,0.37,Quarterly,USRPP,2025-04-01T06:35:00
United States,Residential Property Prices,2007-03-31T00:00:00,-2.43,Quarterly,USRPP,2025-04-01T06:35:00
United States,Residential Property Prices,2007-06-30T00:00:00,-4.65,Quarterly,USRPP,2025-04-01T06:35:00
United States,Residential Property Prices,2007-09-30T00:00:00,-6.6,Quarterly,USRPP,2025-04-01T06:35:00
United States,Residential Property Prices,2007-12-31T00:00:00,-9.57,Quarterly,USRPP,2025-04-01T06:35:00
United States,Residential Property Prices,2008-03-31T00:00:00,-12.25,Quarterly,USRPP,2025-02-20T05:56:00
United States,Residential Property Prices,2008-06-30T00:00:00,-13.66,Quarterly,USRPP,2025-02-20T05:56:00
United States,Residential Property Prices,2008-09-30T00:00:00,-15.13,Quarterly,USRPP,2025-04-01T06:35:00
United States,Residential Property Prices,2008-12-31T00:00:00,-16.85,Quarterly,USRPP,2025-02-20T05:56:00
United States,Residential Property Prices,2009-03-31T00:00:00,-15.98,Quarterly,USRPP,2025-04-01T06:35:00
United States,Residential Property Prices,2009-06-30T00:00:00,-11.99,Quarterly,USRPP,2025-02-20T05:56:00
United States,Residential Property Prices,2009-09-30T00:00:00,-7.64,Quarterly,USRPP,2025-02-20T05:56:00
United States,Residential Property Prices,2009-12-31T00:00:00,-2.06,Quarterly,USRPP,2025-04-01T06:35:00
United States,Residential Property Prices,2010-03-31T00:00:00,-0.06,Quarterly,USRPP,2025-04-01T06:35:00
United States,Residential Property Prices,2010-06-30T00:00:00,0.25,Quarterly,USRPP,2025-02-20T05:56:00
United States,Residential Property Prices,2010-09-30T00:00:00,-2.15,Quarterly,USRPP,2025-04-01T06:35:00
United States,Residential Property Prices,2010-12-31T00:00:00,-3.55,Quarterly,USRPP,2025-02-20T05:56:00
United States,Residential Property Prices,2011-03-31T00:00:00,-4.33,Quarterly,USRPP,2025-02-20T05:56:00
United States,Residential Property Prices,2011-06-30T00:00:00,-4.11,Quarterly,USRPP,2025-04-01T06:35:00
United States,Residential Property Prices,2011-09-30T00:00:00,-1.64,Quarterly,USRPP,2025-02-20T05:56:00
United States,Residential Property Prices,2011-12-31T00:00:00,-0.9,Quarterly,USRPP,2025-02-20T05:56:00
United States,Residential Property Prices,2012-03-31T00:00:00,1.75,Quarterly,USRPP,2025-04-01T06:35:00
United States,Residential Property Prices,2012-06-30T00:00:00,3.78,Quarterly,USRPP,2025-04-01T06:35:00
United States,Residential Property Prices,2012-09-30T00:00:00,5.44,Quarterly,USRPP,2025-04-01T06:35:00
United States,Residential Property Prices,2012-12-31T00:00:00,7.87,Quarterly,USRPP,2025-04-01T06:35:00
United States,Residential Property Prices,2013-03-31T00:00:00,9.6,Quarterly,USRPP,2025-04-01T06:35:00
United States,Residential Property Prices,2013-06-30T00:00:00,9.63,Quarterly,USRPP,2025-04-01T06:35:00
United States,Residential Property Prices,2013-09-30T00:00:00,10.18,Quarterly,USRPP,2025-04-01T06:35:00
United States,Residential Property Prices,2013-12-31T00:00:00,9.89,Quarterly,USRPP,2025-04-01T06:35:00
United States,Residential Property Prices,2014-03-31T00:00:00,8.59,Quarterly,USRPP,2025-04-01T06:35:00
United States,Residential Property Prices,2014-06-30T00:00:00,6.55,Quarterly,USRPP,2025-04-01T06:35:00
United States,Residential Property Prices,2014-09-30T00:00:00,5.31,Quarterly,USRPP,2025-04-01T06:35:00
United States,Residential Property Prices,2014-12-31T00:00:00,4.9,Quarterly,USRPP,2025-04-01T06:35:00
United States,Residential Property Prices,2015-03-31T00:00:00,4.85,Quarterly,USRPP,2025-04-01T06:35:00
United States,Residential Property Prices,2015-06-30T00:00:00,5.38,Quarterly,USRPP,2025-04-01T06:35:00
United States,Residential Property Prices,2015-09-30T00:00:00,5.5,Quarterly,USRPP,2025-04-01T06:35:00
United States,Residential Property Prices,2015-12-31T00:00:00,5.43,Quarterly,USRPP,2025-04-01T06:35:00
