Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
United States,Sales Tax Rate,2013-12-31T00:00:00,0,Yearly,USSALESTAX,2013-09-25T19:32:00
United States,Sales Tax Rate,2014-12-31T00:00:00,0,Yearly,USSALESTAX,2014-03-21T17:21:00
United States,Sales Tax Rate,2015-12-31T00:00:00,0,Yearly,USSALESTAX,2015-05-11T13:09:00
United States,Sales Tax Rate,2016-12-31T00:00:00,0,Yearly,USSALESTAX,2016-06-28T18:46:00
United States,Sales Tax Rate,2017-12-31T00:00:00,0,Yearly,USSALESTAX,2017-04-05T15:31:00
United States,Sales Tax Rate,2018-12-31T00:00:00,0,Yearly,USSALESTAX,2018-01-11T15:08:00
United States,Sales Tax Rate,2019-12-31T00:00:00,0,Yearly,USSALESTAX,2019-01-17T10:39:00
United States,Sales Tax Rate,2020-12-31T00:00:00,0,Yearly,USSALESTAX,2020-01-28T14:48:00
United States,Sales Tax Rate,2021-12-31T00:00:00,0,Yearly,USSALESTAX,2021-02-09T18:51:00
United States,Sales Tax Rate,2022-12-31T00:00:00,0,Yearly,USSALESTAX,2022-10-17T14:08:00
United States,Sales Tax Rate,2023-12-31T00:00:00,0,Yearly,USSALESTAX,2023-04-05T02:47:00
United States,Sales Tax Rate,2024-12-31T00:00:00,0,Yearly,USSALESTAX,2024-08-13T07:20:00
United States,Sales Tax Rate,2025-12-31T00:00:00,0,Yearly,USSALESTAX,2025-02-07T07:15:00
