Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
United States,Services Inflation,1950-03-31T00:00:00,2.454,Monthly,USASERINF,2022-02-11T14:48:00
United States,Services Inflation,1950-06-30T00:00:00,3.067,Monthly,USASERINF,2022-02-11T14:48:00
United States,Services Inflation,1950-09-30T00:00:00,3.03,Monthly,USASERINF,2022-02-11T14:48:00
United States,Services Inflation,1950-12-31T00:00:00,3.593,Monthly,USASERINF,2022-02-11T14:48:00
United States,Services Inflation,1951-03-31T00:00:00,5.389,Monthly,USASERINF,2022-02-11T14:48:00
United States,Services Inflation,1951-06-30T00:00:00,5.357,Monthly,USASERINF,2022-02-11T14:48:00
United States,Services Inflation,1951-09-30T00:00:00,5.882,Monthly,USASERINF,2022-02-11T14:48:00
United States,Services Inflation,1951-12-31T00:00:00,5.202,Monthly,USASERINF,2022-02-11T14:48:00
United States,Services Inflation,1952-03-31T00:00:00,4.545,Monthly,USASERINF,2022-02-11T14:48:00
United States,Services Inflation,1952-06-30T00:00:00,5.085,Monthly,USASERINF,2022-02-11T14:48:00
United States,Services Inflation,1952-09-30T00:00:00,4.444,Monthly,USASERINF,2022-02-11T14:48:00
United States,Services Inflation,1952-12-31T00:00:00,4.396,Monthly,USASERINF,2022-02-11T14:48:00
United States,Services Inflation,1953-03-31T00:00:00,4.348,Monthly,USASERINF,2022-02-11T14:48:00
United States,Services Inflation,1953-06-30T00:00:00,3.763,Monthly,USASERINF,2022-02-11T14:48:00
United States,Services Inflation,1953-09-30T00:00:00,4.255,Monthly,USASERINF,2022-02-11T14:48:00
United States,Services Inflation,1953-12-31T00:00:00,4.211,Monthly,USASERINF,2022-02-11T14:48:00
United States,Services Inflation,1954-03-31T00:00:00,3.646,Monthly,USASERINF,2022-02-11T14:48:00
United States,Services Inflation,1954-06-30T00:00:00,3.627,Monthly,USASERINF,2022-02-11T14:48:00
United States,Services Inflation,1954-09-30T00:00:00,2.551,Monthly,USASERINF,2022-02-11T14:48:00
United States,Services Inflation,1954-12-31T00:00:00,2.02,Monthly,USASERINF,2022-02-11T14:48:00
United States,Services Inflation,1955-03-31T00:00:00,2.01,Monthly,USASERINF,2022-02-11T14:48:00
United States,Services Inflation,1955-06-30T00:00:00,2,Monthly,USASERINF,2022-02-11T14:48:00
United States,Services Inflation,1955-09-30T00:00:00,1.99,Monthly,USASERINF,2022-02-11T14:48:00
United States,Services Inflation,1955-12-31T00:00:00,1.98,Monthly,USASERINF,2022-02-11T14:48:00
United States,Services Inflation,1956-03-31T00:00:00,1.97,Monthly,USASERINF,2022-02-11T14:48:00
United States,Services Inflation,1956-06-30T00:00:00,2.451,Monthly,USASERINF,2022-02-11T14:48:00
United States,Services Inflation,1956-09-30T00:00:00,2.927,Monthly,USASERINF,2022-02-11T14:48:00
United States,Services Inflation,1956-12-31T00:00:00,3.398,Monthly,USASERINF,2022-02-11T14:48:00
United States,Services Inflation,1957-01-31T00:00:00,3.382,Monthly,USASERINF,2022-02-11T14:48:00
United States,Services Inflation,1957-02-28T00:00:00,3.382,Monthly,USASERINF,2022-02-11T14:48:00
United States,Services Inflation,1957-03-31T00:00:00,4.348,Monthly,USASERINF,2022-02-11T14:48:00
United States,Services Inflation,1957-04-30T00:00:00,3.846,Monthly,USASERINF,2022-02-11T14:48:00
United States,Services Inflation,1957-05-31T00:00:00,3.828,Monthly,USASERINF,2022-02-11T14:48:00
United States,Services Inflation,1957-06-30T00:00:00,4.306,Monthly,USASERINF,2022-02-11T14:48:00
United States,Services Inflation,1957-07-31T00:00:00,4.306,Monthly,USASERINF,2022-02-11T14:48:00
United States,Services Inflation,1957-08-31T00:00:00,4.286,Monthly,USASERINF,2022-02-11T14:48:00
United States,Services Inflation,1957-09-30T00:00:00,4.265,Monthly,USASERINF,2022-02-11T14:48:00
United States,Services Inflation,1957-10-31T00:00:00,4.265,Monthly,USASERINF,2022-02-11T14:48:00
United States,Services Inflation,1957-11-30T00:00:00,4.717,Monthly,USASERINF,2022-02-11T14:48:00
United States,Services Inflation,1957-12-31T00:00:00,4.225,Monthly,USASERINF,2022-02-11T14:48:00
United States,Services Inflation,1958-01-31T00:00:00,4.206,Monthly,USASERINF,2022-02-11T14:48:00
United States,Services Inflation,1958-02-28T00:00:00,4.673,Monthly,USASERINF,2022-02-11T14:48:00
United States,Services Inflation,1958-03-31T00:00:00,4.167,Monthly,USASERINF,2022-02-11T14:48:00
United States,Services Inflation,1958-04-30T00:00:00,4.167,Monthly,USASERINF,2022-02-11T14:48:00
United States,Services Inflation,1958-05-31T00:00:00,4.147,Monthly,USASERINF,2022-02-11T14:48:00
United States,Services Inflation,1958-06-30T00:00:00,3.67,Monthly,USASERINF,2022-02-11T14:48:00
United States,Services Inflation,1958-07-31T00:00:00,4.128,Monthly,USASERINF,2022-02-11T14:48:00
United States,Services Inflation,1958-08-31T00:00:00,3.653,Monthly,USASERINF,2022-02-11T14:48:00
United States,Services Inflation,1958-09-30T00:00:00,3.636,Monthly,USASERINF,2022-02-11T14:48:00
United States,Services Inflation,1958-10-31T00:00:00,3.636,Monthly,USASERINF,2022-02-11T14:48:00
United States,Services Inflation,1958-11-30T00:00:00,2.703,Monthly,USASERINF,2022-02-11T14:48:00
United States,Services Inflation,1958-12-31T00:00:00,2.703,Monthly,USASERINF,2022-02-11T14:48:00
United States,Services Inflation,1959-01-31T00:00:00,2.691,Monthly,USASERINF,2022-02-11T14:48:00
United States,Services Inflation,1959-02-28T00:00:00,2.679,Monthly,USASERINF,2022-02-11T14:48:00
United States,Services Inflation,1959-03-31T00:00:00,2.667,Monthly,USASERINF,2022-02-11T14:48:00
United States,Services Inflation,1959-04-30T00:00:00,2.667,Monthly,USASERINF,2022-02-11T14:48:00
United States,Services Inflation,1959-05-31T00:00:00,2.655,Monthly,USASERINF,2022-02-11T14:48:00
United States,Services Inflation,1959-06-30T00:00:00,2.655,Monthly,USASERINF,2022-02-11T14:48:00
United States,Services Inflation,1959-07-31T00:00:00,2.643,Monthly,USASERINF,2022-02-11T14:48:00
United States,Services Inflation,1959-08-31T00:00:00,3.084,Monthly,USASERINF,2022-02-11T14:48:00
