Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
United States,Single Family Home Prices,1968-01-31T00:00:00,19700,Monthly,UNITEDSTASFHP,2021-05-13T17:23:00
United States,Single Family Home Prices,1968-02-29T00:00:00,19900,Monthly,UNITEDSTASFHP,2021-05-13T17:23:00
United States,Single Family Home Prices,1968-03-31T00:00:00,19700,Monthly,UNITEDSTASFHP,2021-05-13T17:23:00
United States,Single Family Home Prices,1968-04-30T00:00:00,20000,Monthly,UNITEDSTASFHP,2021-05-13T17:23:00
United States,Single Family Home Prices,1968-05-31T00:00:00,20100,Monthly,UNITEDSTASFHP,2021-05-13T17:23:00
United States,Single Family Home Prices,1968-06-30T00:00:00,20700,Monthly,UNITEDSTASFHP,2021-05-13T17:23:00
United States,Single Family Home Prices,1968-07-31T00:00:00,20800,Monthly,UNITEDSTASFHP,2021-05-13T17:23:00
United States,Single Family Home Prices,1968-08-31T00:00:00,20600,Monthly,UNITEDSTASFHP,2021-05-13T17:23:00
United States,Single Family Home Prices,1968-09-30T00:00:00,20500,Monthly,UNITEDSTASFHP,2021-05-13T17:23:00
United States,Single Family Home Prices,1968-10-31T00:00:00,20100,Monthly,UNITEDSTASFHP,2021-05-13T17:23:00
United States,Single Family Home Prices,1968-11-30T00:00:00,20500,Monthly,UNITEDSTASFHP,2021-05-13T17:23:00
United States,Single Family Home Prices,1968-12-31T00:00:00,20900,Monthly,UNITEDSTASFHP,2021-05-13T17:23:00
United States,Single Family Home Prices,1969-01-31T00:00:00,21100,Monthly,UNITEDSTASFHP,2021-05-13T17:23:00
United States,Single Family Home Prices,1969-02-28T00:00:00,21000,Monthly,UNITEDSTASFHP,2021-05-13T17:23:00
United States,Single Family Home Prices,1969-03-31T00:00:00,21200,Monthly,UNITEDSTASFHP,2021-05-13T17:23:00
United States,Single Family Home Prices,1969-04-30T00:00:00,21500,Monthly,UNITEDSTASFHP,2021-05-13T17:23:00
United States,Single Family Home Prices,1969-05-31T00:00:00,21600,Monthly,UNITEDSTASFHP,2021-05-13T17:23:00
United States,Single Family Home Prices,1969-06-30T00:00:00,22200,Monthly,UNITEDSTASFHP,2021-05-13T17:23:00
United States,Single Family Home Prices,1969-07-31T00:00:00,23000,Monthly,UNITEDSTASFHP,2021-05-13T17:23:00
United States,Single Family Home Prices,1969-08-31T00:00:00,22600,Monthly,UNITEDSTASFHP,2021-05-13T17:23:00
United States,Single Family Home Prices,1969-09-30T00:00:00,21700,Monthly,UNITEDSTASFHP,2021-05-13T17:23:00
United States,Single Family Home Prices,1969-10-31T00:00:00,21900,Monthly,UNITEDSTASFHP,2021-05-13T17:23:00
United States,Single Family Home Prices,1969-11-30T00:00:00,22100,Monthly,UNITEDSTASFHP,2021-05-13T17:23:00
United States,Single Family Home Prices,1969-12-31T00:00:00,22000,Monthly,UNITEDSTASFHP,2021-05-13T17:23:00
United States,Single Family Home Prices,1970-01-31T00:00:00,22200,Monthly,UNITEDSTASFHP,2021-05-13T17:23:00
United States,Single Family Home Prices,1970-02-28T00:00:00,22500,Monthly,UNITEDSTASFHP,2021-05-13T17:23:00
