Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
United States,Social Security Rate For Companies,1981-12-31T00:00:00,10.1,Yearly,USASSRC,2013-11-21T13:19:00
United States,Social Security Rate For Companies,1990-12-31T00:00:00,7.65,Yearly,USASSRC,2018-08-16T13:39:00
United States,Social Security Rate For Companies,2000-12-31T00:00:00,7.65,Yearly,USASSRC,2018-08-16T13:39:00
United States,Social Security Rate For Companies,2001-12-31T00:00:00,7.65,Yearly,USASSRC,2018-08-16T13:39:00
United States,Social Security Rate For Companies,2002-12-31T00:00:00,7.65,Yearly,USASSRC,2018-08-16T13:39:00
United States,Social Security Rate For Companies,2003-12-31T00:00:00,7.65,Yearly,USASSRC,2018-08-16T13:39:00
United States,Social Security Rate For Companies,2004-12-31T00:00:00,7.65,Yearly,USASSRC,2018-08-16T13:39:00
United States,Social Security Rate For Companies,2005-12-31T00:00:00,7.65,Yearly,USASSRC,2018-08-16T13:39:00
United States,Social Security Rate For Companies,2006-12-31T00:00:00,7.65,Yearly,USASSRC,2018-08-16T13:39:00
United States,Social Security Rate For Companies,2007-12-31T00:00:00,7.65,Yearly,USASSRC,2018-08-16T13:39:00
United States,Social Security Rate For Companies,2008-12-31T00:00:00,7.65,Yearly,USASSRC,2018-08-16T13:39:00
United States,Social Security Rate For Companies,2009-12-31T00:00:00,7.65,Yearly,USASSRC,2018-08-16T13:39:00
United States,Social Security Rate For Companies,2010-12-31T00:00:00,7.65,Yearly,USASSRC,2018-08-16T13:39:00
United States,Social Security Rate For Companies,2011-12-31T00:00:00,7.65,Yearly,USASSRC,2018-08-16T13:39:00
United States,Social Security Rate For Companies,2012-12-31T00:00:00,7.65,Yearly,USASSRC,2018-08-16T13:39:00
United States,Social Security Rate For Companies,2013-12-31T00:00:00,7.65,Yearly,USASSRC,2018-08-16T13:39:00
United States,Social Security Rate For Companies,2014-12-31T00:00:00,7.65,Yearly,USASSRC,2018-08-16T13:39:00
United States,Social Security Rate For Companies,2015-12-31T00:00:00,7.65,Yearly,USASSRC,2018-08-16T13:39:00
United States,Social Security Rate For Companies,2016-12-31T00:00:00,7.65,Yearly,USASSRC,2018-08-16T13:39:00
United States,Social Security Rate For Companies,2017-12-31T00:00:00,7.65,Yearly,USASSRC,2018-08-16T13:39:00
United States,Social Security Rate For Companies,2018-12-31T00:00:00,7.65,Yearly,USASSRC,2018-08-16T13:39:00
United States,Social Security Rate For Companies,2019-12-31T00:00:00,7.65,Yearly,USASSRC,2020-05-18T15:49:00
United States,Social Security Rate For Companies,2020-12-31T00:00:00,7.65,Yearly,USASSRC,2021-03-09T16:16:00
United States,Social Security Rate For Companies,2021-12-31T00:00:00,7.65,Yearly,USASSRC,2021-06-03T16:13:00
United States,Social Security Rate For Companies,2022-12-31T00:00:00,7.65,Yearly,USASSRC,2022-10-24T09:52:00
United States,Social Security Rate For Companies,2023-12-31T00:00:00,7.65,Yearly,USASSRC,2023-04-05T07:53:00
United States,Social Security Rate For Companies,2024-12-31T00:00:00,7.65,Yearly,USASSRC,2024-08-14T03:04:00
United States,Social Security Rate For Companies,2025-12-31T00:00:00,7.65,Yearly,USASSRC,2025-02-11T06:23:00
