Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
United States,Social Security Rate For Employees,1981-12-31T00:00:00,6.65,Yearly,USASSRE,2013-11-21T13:22:00
United States,Social Security Rate For Employees,1990-12-31T00:00:00,7.65,Yearly,USASSRE,2013-11-21T13:22:00
United States,Social Security Rate For Employees,2000-12-31T00:00:00,7.65,Yearly,USASSRE,2013-11-21T13:22:00
United States,Social Security Rate For Employees,2001-12-31T00:00:00,7.65,Yearly,USASSRE,2013-11-21T13:22:00
United States,Social Security Rate For Employees,2002-12-31T00:00:00,7.65,Yearly,USASSRE,2013-11-21T13:22:00
United States,Social Security Rate For Employees,2003-12-31T00:00:00,7.65,Yearly,USASSRE,2013-11-21T13:22:00
United States,Social Security Rate For Employees,2004-12-31T00:00:00,7.65,Yearly,USASSRE,2013-11-21T13:22:00
United States,Social Security Rate For Employees,2005-12-31T00:00:00,7.65,Yearly,USASSRE,2013-11-21T13:22:00
United States,Social Security Rate For Employees,2006-12-31T00:00:00,7.65,Yearly,USASSRE,2013-11-21T13:22:00
United States,Social Security Rate For Employees,2007-12-31T00:00:00,7.65,Yearly,USASSRE,2013-11-21T13:22:00
United States,Social Security Rate For Employees,2008-12-31T00:00:00,7.65,Yearly,USASSRE,2013-11-21T13:22:00
United States,Social Security Rate For Employees,2009-12-31T00:00:00,7.65,Yearly,USASSRE,2013-11-21T13:22:00
United States,Social Security Rate For Employees,2010-12-31T00:00:00,7.65,Yearly,USASSRE,2013-11-21T13:22:00
United States,Social Security Rate For Employees,2011-12-31T00:00:00,7.65,Yearly,USASSRE,2018-08-16T13:33:00
United States,Social Security Rate For Employees,2012-12-31T00:00:00,7.65,Yearly,USASSRE,2018-08-16T13:33:00
United States,Social Security Rate For Employees,2013-12-31T00:00:00,7.65,Yearly,USASSRE,2014-02-13T12:07:00
United States,Social Security Rate For Employees,2014-12-31T00:00:00,7.65,Yearly,USASSRE,2015-05-11T13:11:00
United States,Social Security Rate For Employees,2015-12-31T00:00:00,7.65,Yearly,USASSRE,2016-03-14T12:26:00
United States,Social Security Rate For Employees,2016-12-31T00:00:00,7.65,Yearly,USASSRE,2017-01-10T18:20:00
United States,Social Security Rate For Employees,2017-12-31T00:00:00,7.65,Yearly,USASSRE,2018-08-16T13:25:00
United States,Social Security Rate For Employees,2018-12-31T00:00:00,7.65,Yearly,USASSRE,2018-08-16T13:25:00
United States,Social Security Rate For Employees,2019-12-31T00:00:00,7.65,Yearly,USASSRE,2020-05-18T15:47:00
United States,Social Security Rate For Employees,2020-12-31T00:00:00,7.65,Yearly,USASSRE,2021-03-09T16:17:00
United States,Social Security Rate For Employees,2021-12-31T00:00:00,7.65,Yearly,USASSRE,2021-06-03T16:13:00
United States,Social Security Rate For Employees,2022-12-31T00:00:00,7.65,Yearly,USASSRE,2022-10-24T09:53:00
United States,Social Security Rate For Employees,2023-12-31T00:00:00,7.65,Yearly,USASSRE,2023-04-05T07:53:00
United States,Social Security Rate For Employees,2024-12-31T00:00:00,7.65,Yearly,USASSRE,2024-08-14T03:04:00
United States,Social Security Rate For Employees,2025-12-31T00:00:00,7.65,Yearly,USASSRE,2025-02-11T06:24:00
