Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
United States,Steel Production,1969-01-31T00:00:00,10055,Monthly,USSTEEL,2016-02-16T15:48:00
United States,Steel Production,1969-02-28T00:00:00,9902,Monthly,USSTEEL,2016-02-16T15:48:00
United States,Steel Production,1969-03-31T00:00:00,11250,Monthly,USSTEEL,2016-02-16T15:48:00
United States,Steel Production,1969-04-30T00:00:00,11016,Monthly,USSTEEL,2016-02-16T15:48:00
United States,Steel Production,1969-05-31T00:00:00,11209,Monthly,USSTEEL,2016-02-16T15:48:00
United States,Steel Production,1969-06-30T00:00:00,10714,Monthly,USSTEEL,2016-02-16T15:48:00
United States,Steel Production,1969-07-31T00:00:00,10310,Monthly,USSTEEL,2016-02-16T15:48:00
United States,Steel Production,1969-08-31T00:00:00,10361,Monthly,USSTEEL,2016-02-16T15:48:00
United States,Steel Production,1969-09-30T00:00:00,10454,Monthly,USSTEEL,2016-02-16T15:48:00
United States,Steel Production,1969-10-31T00:00:00,11179,Monthly,USSTEEL,2016-02-16T15:48:00
United States,Steel Production,1969-11-30T00:00:00,10810,Monthly,USSTEEL,2016-02-16T15:48:00
United States,Steel Production,1969-12-31T00:00:00,10716,Monthly,USSTEEL,2016-02-16T15:48:00
United States,Steel Production,1970-01-31T00:00:00,10200,Monthly,USSTEEL,2016-02-16T15:48:00
United States,Steel Production,1970-02-28T00:00:00,9524,Monthly,USSTEEL,2016-02-16T15:48:00
United States,Steel Production,1970-03-31T00:00:00,10763,Monthly,USSTEEL,2016-02-16T15:48:00
United States,Steel Production,1970-04-30T00:00:00,10329,Monthly,USSTEEL,2016-02-16T15:48:00
United States,Steel Production,1970-05-31T00:00:00,10500,Monthly,USSTEEL,2016-02-16T15:48:00
United States,Steel Production,1970-06-30T00:00:00,10272,Monthly,USSTEEL,2016-02-16T15:48:00
United States,Steel Production,1970-07-31T00:00:00,9780,Monthly,USSTEEL,2016-02-16T15:48:00
United States,Steel Production,1970-08-31T00:00:00,9766,Monthly,USSTEEL,2016-02-16T15:48:00
United States,Steel Production,1970-09-30T00:00:00,9731,Monthly,USSTEEL,2016-02-16T15:48:00
United States,Steel Production,1970-10-31T00:00:00,9706,Monthly,USSTEEL,2016-02-16T15:48:00
United States,Steel Production,1970-11-30T00:00:00,9108,Monthly,USSTEEL,2016-02-16T15:48:00
United States,Steel Production,1970-12-31T00:00:00,9628,Monthly,USSTEEL,2016-02-16T15:48:00
United States,Steel Production,1971-01-31T00:00:00,10228,Monthly,USSTEEL,2016-02-16T15:48:00
United States,Steel Production,1971-02-28T00:00:00,9865,Monthly,USSTEEL,2016-02-16T15:48:00
United States,Steel Production,1971-03-31T00:00:00,11471,Monthly,USSTEEL,2016-02-16T15:48:00
United States,Steel Production,1971-04-30T00:00:00,11399,Monthly,USSTEEL,2016-02-16T15:48:00
United States,Steel Production,1971-05-31T00:00:00,11721,Monthly,USSTEEL,2016-02-16T15:48:00
United States,Steel Production,1971-06-30T00:00:00,10425,Monthly,USSTEEL,2016-02-16T15:48:00
United States,Steel Production,1971-07-31T00:00:00,9019,Monthly,USSTEEL,2016-02-16T15:48:00
