Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
United States,Stock Market,1985-09-30T00:00:00,182.08,Daily,SPX,2025-04-29T17:16:01
United States,Stock Market,1985-10-01T00:00:00,185.07,Daily,SPX,2025-04-29T17:16:01
United States,Stock Market,1985-10-02T00:00:00,184.06,Daily,SPX,2025-04-29T17:16:01
United States,Stock Market,1985-10-03T00:00:00,184.36,Daily,SPX,2025-04-29T17:16:01
United States,Stock Market,1985-10-04T00:00:00,183.22,Daily,SPX,2025-04-29T17:16:01
United States,Stock Market,1985-10-07T00:00:00,181.87,Daily,SPX,2025-04-29T17:16:01
United States,Stock Market,1985-10-08T00:00:00,181.87,Daily,SPX,2025-04-29T17:16:01
United States,Stock Market,1985-10-09T00:00:00,182.52,Daily,SPX,2025-04-29T17:16:01
United States,Stock Market,1985-10-10T00:00:00,182.78,Daily,SPX,2025-04-29T17:16:01
United States,Stock Market,1985-10-11T00:00:00,184.28,Daily,SPX,2025-04-29T17:16:01
United States,Stock Market,1985-10-14T00:00:00,186.37,Daily,SPX,2025-04-29T17:16:01
United States,Stock Market,1985-10-15T00:00:00,186.08,Daily,SPX,2025-04-29T17:16:01
United States,Stock Market,1985-10-16T00:00:00,187.98,Daily,SPX,2025-04-29T17:16:01
United States,Stock Market,1985-10-17T00:00:00,187.66,Daily,SPX,2025-04-29T17:16:01
United States,Stock Market,1985-10-18T00:00:00,187.04,Daily,SPX,2025-04-29T17:16:01
United States,Stock Market,1985-10-21T00:00:00,186.96,Daily,SPX,2025-04-29T17:16:01
United States,Stock Market,1985-10-22T00:00:00,188.04,Daily,SPX,2025-04-29T17:16:01
United States,Stock Market,1985-10-23T00:00:00,189.09,Daily,SPX,2025-04-29T17:16:01
United States,Stock Market,1985-10-24T00:00:00,188.5,Daily,SPX,2025-04-29T17:16:01
United States,Stock Market,1985-10-25T00:00:00,187.52,Daily,SPX,2025-04-29T17:16:01
United States,Stock Market,1985-10-28T00:00:00,187.76,Daily,SPX,2025-04-29T17:16:01
United States,Stock Market,1985-10-29T00:00:00,189.23,Daily,SPX,2025-04-29T17:16:01
United States,Stock Market,1985-10-30T00:00:00,190.07,Daily,SPX,2025-04-29T17:16:01
United States,Stock Market,1985-10-31T00:00:00,189.82,Daily,SPX,2025-04-29T17:16:01
United States,Stock Market,1985-11-01T00:00:00,191.53,Daily,SPX,2025-04-29T17:16:01
United States,Stock Market,1985-11-04T00:00:00,191.25,Daily,SPX,2025-04-29T17:16:01
United States,Stock Market,1985-11-05T00:00:00,192.37,Daily,SPX,2025-04-29T17:16:01
United States,Stock Market,1985-11-06T00:00:00,192.76,Daily,SPX,2025-04-29T17:16:01
United States,Stock Market,1985-11-07T00:00:00,192.62,Daily,SPX,2025-04-29T17:16:01
United States,Stock Market,1985-11-08T00:00:00,193.72,Daily,SPX,2025-04-29T17:16:01
United States,Stock Market,1985-11-11T00:00:00,197.29,Daily,SPX,2025-04-29T17:16:01
United States,Stock Market,1985-11-12T00:00:00,198.08,Daily,SPX,2025-04-29T17:16:01
United States,Stock Market,1985-11-13T00:00:00,197.1,Daily,SPX,2025-04-29T17:16:01
United States,Stock Market,1985-11-14T00:00:00,199.06,Daily,SPX,2025-04-29T17:16:01
United States,Stock Market,1985-11-15T00:00:00,198.11,Daily,SPX,2025-04-29T17:16:01
United States,Stock Market,1985-11-18T00:00:00,198.71,Daily,SPX,2025-04-29T17:16:01
