Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
United States,Terms of Trade,1967-03-31T00:00:00,163.219,Quarterly,UNITEDSTATEROFTRA,2024-11-13T10:27:00
United States,Terms of Trade,1967-06-30T00:00:00,163.093,Quarterly,UNITEDSTATEROFTRA,2024-11-13T10:27:00
United States,Terms of Trade,1967-09-30T00:00:00,162.404,Quarterly,UNITEDSTATEROFTRA,2024-11-13T10:27:00
United States,Terms of Trade,1967-12-31T00:00:00,162.986,Quarterly,UNITEDSTATEROFTRA,2024-11-13T10:27:00
United States,Terms of Trade,1968-03-31T00:00:00,162.642,Quarterly,UNITEDSTATEROFTRA,2024-11-13T10:27:00
United States,Terms of Trade,1968-06-30T00:00:00,165.481,Quarterly,UNITEDSTATEROFTRA,2024-11-13T10:27:00
United States,Terms of Trade,1968-09-30T00:00:00,162.587,Quarterly,UNITEDSTATEROFTRA,2024-11-13T10:27:00
United States,Terms of Trade,1968-12-31T00:00:00,162.262,Quarterly,UNITEDSTATEROFTRA,2024-11-13T10:27:00
United States,Terms of Trade,1969-03-31T00:00:00,164.066,Quarterly,UNITEDSTATEROFTRA,2024-11-13T10:27:00
United States,Terms of Trade,1969-06-30T00:00:00,162.997,Quarterly,UNITEDSTATEROFTRA,2024-11-13T10:27:00
United States,Terms of Trade,1969-09-30T00:00:00,164.324,Quarterly,UNITEDSTATEROFTRA,2024-11-13T10:27:00
United States,Terms of Trade,1969-12-31T00:00:00,163.382,Quarterly,UNITEDSTATEROFTRA,2024-11-13T10:27:00
United States,Terms of Trade,1970-03-31T00:00:00,162.481,Quarterly,UNITEDSTATEROFTRA,2024-11-13T10:27:00
United States,Terms of Trade,1970-06-30T00:00:00,164.27,Quarterly,UNITEDSTATEROFTRA,2024-11-13T10:27:00
United States,Terms of Trade,1970-09-30T00:00:00,158,Quarterly,UNITEDSTATEROFTRA,2024-11-13T10:27:00
United States,Terms of Trade,1970-12-31T00:00:00,156.332,Quarterly,UNITEDSTATEROFTRA,2024-11-13T10:27:00
United States,Terms of Trade,1971-03-31T00:00:00,158.226,Quarterly,UNITEDSTATEROFTRA,2024-11-13T10:27:00
United States,Terms of Trade,1971-06-30T00:00:00,158.418,Quarterly,UNITEDSTATEROFTRA,2024-11-13T10:27:00
United States,Terms of Trade,1971-09-30T00:00:00,155.06,Quarterly,UNITEDSTATEROFTRA,2024-11-13T10:27:00
United States,Terms of Trade,1971-12-31T00:00:00,154.264,Quarterly,UNITEDSTATEROFTRA,2024-11-13T10:27:00
United States,Terms of Trade,1972-03-31T00:00:00,152.595,Quarterly,UNITEDSTATEROFTRA,2024-11-13T10:27:00
United States,Terms of Trade,1972-06-30T00:00:00,149.159,Quarterly,UNITEDSTATEROFTRA,2024-11-13T10:27:00
United States,Terms of Trade,1972-09-30T00:00:00,147.137,Quarterly,UNITEDSTATEROFTRA,2024-11-13T10:27:00
United States,Terms of Trade,1972-12-31T00:00:00,148.09,Quarterly,UNITEDSTATEROFTRA,2024-11-13T10:27:00
United States,Terms of Trade,1973-03-31T00:00:00,149.382,Quarterly,UNITEDSTATEROFTRA,2024-11-13T10:27:00
United States,Terms of Trade,1973-06-30T00:00:00,145.185,Quarterly,UNITEDSTATEROFTRA,2024-11-13T10:27:00
United States,Terms of Trade,1973-09-30T00:00:00,147.943,Quarterly,UNITEDSTATEROFTRA,2024-11-13T10:27:00
United States,Terms of Trade,1973-12-31T00:00:00,144.12,Quarterly,UNITEDSTATEROFTRA,2024-11-13T10:27:00
United States,Terms of Trade,1974-03-31T00:00:00,130.719,Quarterly,UNITEDSTATEROFTRA,2024-11-13T10:27:00
United States,Terms of Trade,1974-06-30T00:00:00,119.66,Quarterly,UNITEDSTATEROFTRA,2024-11-13T10:27:00
United States,Terms of Trade,1974-09-30T00:00:00,120.267,Quarterly,UNITEDSTATEROFTRA,2024-11-13T10:27:00
United States,Terms of Trade,1974-12-31T00:00:00,123.247,Quarterly,UNITEDSTATEROFTRA,2024-11-13T10:27:00
United States,Terms of Trade,1975-03-31T00:00:00,125.044,Quarterly,UNITEDSTATEROFTRA,2024-11-13T10:27:00
United States,Terms of Trade,1975-06-30T00:00:00,124.244,Quarterly,UNITEDSTATEROFTRA,2024-11-13T10:27:00
United States,Terms of Trade,1975-09-30T00:00:00,127.347,Quarterly,UNITEDSTATEROFTRA,2024-11-13T10:27:00
United States,Terms of Trade,1975-12-31T00:00:00,128.232,Quarterly,UNITEDSTATEROFTRA,2024-11-13T10:27:00
United States,Terms of Trade,1976-03-31T00:00:00,127.475,Quarterly,UNITEDSTATEROFTRA,2024-11-13T10:27:00
United States,Terms of Trade,1976-06-30T00:00:00,126.577,Quarterly,UNITEDSTATEROFTRA,2024-11-13T10:27:00
