Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
United States,Terrorism Index,2002-12-31T00:00:00,7.39,Yearly,UnitedStTerInd,2015-11-24T19:02:00
United States,Terrorism Index,2003-12-31T00:00:00,6.79,Yearly,UnitedStTerInd,2015-11-24T19:02:00
United States,Terrorism Index,2004-12-31T00:00:00,6.16,Yearly,UnitedStTerInd,2015-11-24T19:02:00
United States,Terrorism Index,2005-12-31T00:00:00,5.63,Yearly,UnitedStTerInd,2015-11-24T19:02:00
United States,Terrorism Index,2006-12-31T00:00:00,3.76,Yearly,UnitedStTerInd,2015-11-24T19:02:00
United States,Terrorism Index,2007-12-31T00:00:00,3.7,Yearly,UnitedStTerInd,2015-11-24T19:02:00
United States,Terrorism Index,2008-12-31T00:00:00,3.9,Yearly,UnitedStTerInd,2015-11-24T19:02:00
United States,Terrorism Index,2009-12-31T00:00:00,4.36,Yearly,UnitedStTerInd,2015-11-24T19:02:00
United States,Terrorism Index,2010-12-31T00:00:00,4.33,Yearly,UnitedStTerInd,2015-11-24T19:02:00
United States,Terrorism Index,2011-12-31T00:00:00,4.435,Yearly,UnitedStTerInd,2022-09-19T12:40:00
United States,Terrorism Index,2012-12-31T00:00:00,4.374,Yearly,UnitedStTerInd,2022-09-19T12:53:00
United States,Terrorism Index,2013-12-31T00:00:00,5.075,Yearly,UnitedStTerInd,2022-09-19T13:51:00
United States,Terrorism Index,2014-12-31T00:00:00,5.04,Yearly,UnitedStTerInd,2022-09-19T13:55:00
United States,Terrorism Index,2015-12-31T00:00:00,5.337,Yearly,UnitedStTerInd,2022-09-19T13:58:00
United States,Terrorism Index,2016-12-31T00:00:00,5.889,Yearly,UnitedStTerInd,2022-09-19T14:00:00
United States,Terrorism Index,2017-12-31T00:00:00,6.624,Yearly,UnitedStTerInd,2022-09-19T14:03:00
United States,Terrorism Index,2018-12-31T00:00:00,6.186,Yearly,UnitedStTerInd,2022-09-19T14:05:00
United States,Terrorism Index,2019-12-31T00:00:00,6.068,Yearly,UnitedStTerInd,2022-09-19T14:07:00
United States,Terrorism Index,2020-12-31T00:00:00,5.536,Yearly,UnitedStTerInd,2022-09-19T14:09:00
United States,Terrorism Index,2021-12-31T00:00:00,4.961,Yearly,UnitedStTerInd,2022-09-19T14:11:00
United States,Terrorism Index,2022-12-31T00:00:00,4.799,Yearly,UnitedStTerInd,2023-09-15T09:32:00
United States,Terrorism Index,2023-12-31T00:00:00,4.141,Yearly,UnitedStTerInd,2024-03-04T11:20:00
United States,Terrorism Index,2024-12-31T00:00:00,3.517,Yearly,UnitedStTerInd,2025-03-21T09:54:00
