Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
United States,Total Housing Inventory,1982-06-30T00:00:00,1950,Monthly,USATHI,2022-02-18T17:00:00
United States,Total Housing Inventory,1982-07-31T00:00:00,1930,Monthly,USATHI,2022-02-18T17:00:00
United States,Total Housing Inventory,1982-08-31T00:00:00,2120,Monthly,USATHI,2022-02-18T17:00:00
United States,Total Housing Inventory,1982-09-30T00:00:00,2190,Monthly,USATHI,2022-02-18T17:00:00
United States,Total Housing Inventory,1982-10-31T00:00:00,2290,Monthly,USATHI,2022-02-18T17:00:00
United States,Total Housing Inventory,1982-11-30T00:00:00,2200,Monthly,USATHI,2022-02-18T17:00:00
United States,Total Housing Inventory,1982-12-31T00:00:00,1910,Monthly,USATHI,2022-02-18T17:00:00
United States,Total Housing Inventory,1983-01-31T00:00:00,2300,Monthly,USATHI,2022-02-18T17:00:00
United States,Total Housing Inventory,1983-02-28T00:00:00,2480,Monthly,USATHI,2022-02-18T17:00:00
United States,Total Housing Inventory,1983-03-31T00:00:00,2450,Monthly,USATHI,2022-02-18T17:00:00
United States,Total Housing Inventory,1983-04-30T00:00:00,2350,Monthly,USATHI,2022-02-18T17:00:00
United States,Total Housing Inventory,1983-05-31T00:00:00,2420,Monthly,USATHI,2022-02-18T17:00:00
United States,Total Housing Inventory,1983-06-30T00:00:00,2420,Monthly,USATHI,2022-02-18T17:00:00
United States,Total Housing Inventory,1983-07-31T00:00:00,2300,Monthly,USATHI,2022-02-18T17:00:00
United States,Total Housing Inventory,1983-08-31T00:00:00,2450,Monthly,USATHI,2022-02-18T17:00:00
United States,Total Housing Inventory,1983-09-30T00:00:00,2440,Monthly,USATHI,2022-02-18T17:00:00
United States,Total Housing Inventory,1983-10-31T00:00:00,2490,Monthly,USATHI,2022-02-18T17:00:00
United States,Total Housing Inventory,1983-11-30T00:00:00,2310,Monthly,USATHI,2022-02-18T17:00:00
United States,Total Housing Inventory,1983-12-31T00:00:00,1960,Monthly,USATHI,2022-02-18T17:00:00
United States,Total Housing Inventory,1984-01-31T00:00:00,2200,Monthly,USATHI,2022-02-18T17:00:00
United States,Total Housing Inventory,1984-02-29T00:00:00,2440,Monthly,USATHI,2022-02-18T17:00:00
United States,Total Housing Inventory,1984-03-31T00:00:00,2750,Monthly,USATHI,2022-02-18T17:00:00
United States,Total Housing Inventory,1984-04-30T00:00:00,2710,Monthly,USATHI,2022-02-18T17:00:00
United States,Total Housing Inventory,1984-05-31T00:00:00,2710,Monthly,USATHI,2022-02-18T17:00:00
United States,Total Housing Inventory,1984-06-30T00:00:00,2660,Monthly,USATHI,2022-02-18T17:00:00
