Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
United States,Total Rigs,1950-01-06T00:00:00,2034,Weekly,USATOTRIG,2021-12-01T16:31:00
United States,Total Rigs,1950-01-13T00:00:00,1991,Weekly,USATOTRIG,2021-12-01T16:31:00
United States,Total Rigs,1950-01-20T00:00:00,1957,Weekly,USATOTRIG,2021-12-01T16:31:00
United States,Total Rigs,1950-01-27T00:00:00,1947,Weekly,USATOTRIG,2021-12-01T16:31:00
United States,Total Rigs,1950-02-03T00:00:00,1909,Weekly,USATOTRIG,2021-12-01T16:31:00
United States,Total Rigs,1950-02-10T00:00:00,1885,Weekly,USATOTRIG,2021-12-01T16:31:00
United States,Total Rigs,1950-02-17T00:00:00,1897,Weekly,USATOTRIG,2021-12-01T16:31:00
United States,Total Rigs,1950-02-24T00:00:00,1881,Weekly,USATOTRIG,2021-12-01T16:31:00
United States,Total Rigs,1950-03-03T00:00:00,1927,Weekly,USATOTRIG,2021-12-01T16:31:00
United States,Total Rigs,1950-03-10T00:00:00,1962,Weekly,USATOTRIG,2021-12-01T16:31:00
United States,Total Rigs,1950-03-17T00:00:00,1967,Weekly,USATOTRIG,2021-12-01T16:31:00
United States,Total Rigs,1950-03-24T00:00:00,1931,Weekly,USATOTRIG,2021-12-01T16:31:00
United States,Total Rigs,1950-03-31T00:00:00,1977,Weekly,USATOTRIG,2021-12-01T16:31:00
United States,Total Rigs,1950-04-07T00:00:00,2008,Weekly,USATOTRIG,2021-12-01T16:31:00
United States,Total Rigs,1950-04-14T00:00:00,2037,Weekly,USATOTRIG,2021-12-01T16:31:00
United States,Total Rigs,1950-04-21T00:00:00,2000,Weekly,USATOTRIG,2021-12-01T16:31:00
United States,Total Rigs,1950-04-28T00:00:00,2058,Weekly,USATOTRIG,2021-12-01T16:31:00
United States,Total Rigs,1950-05-05T00:00:00,2049,Weekly,USATOTRIG,2021-12-01T16:31:00
United States,Total Rigs,1950-05-12T00:00:00,2072,Weekly,USATOTRIG,2021-12-01T16:31:00
United States,Total Rigs,1950-05-19T00:00:00,2056,Weekly,USATOTRIG,2021-12-01T16:31:00
United States,Total Rigs,1950-05-26T00:00:00,2103,Weekly,USATOTRIG,2021-12-01T16:31:00
United States,Total Rigs,1950-06-02T00:00:00,2156,Weekly,USATOTRIG,2021-12-01T16:31:00
United States,Total Rigs,1950-06-09T00:00:00,2178,Weekly,USATOTRIG,2021-12-01T16:31:00
United States,Total Rigs,1950-06-16T00:00:00,2181,Weekly,USATOTRIG,2021-12-01T16:31:00
United States,Total Rigs,1950-06-23T00:00:00,2199,Weekly,USATOTRIG,2021-12-01T16:31:00
United States,Total Rigs,1950-06-30T00:00:00,2230,Weekly,USATOTRIG,2021-12-01T16:31:00
United States,Total Rigs,1950-07-07T00:00:00,2242,Weekly,USATOTRIG,2021-12-01T16:31:00
United States,Total Rigs,1950-07-14T00:00:00,2203,Weekly,USATOTRIG,2021-12-01T16:31:00
United States,Total Rigs,1950-07-21T00:00:00,2166,Weekly,USATOTRIG,2021-12-01T16:31:00
United States,Total Rigs,1950-07-28T00:00:00,2217,Weekly,USATOTRIG,2021-12-01T16:31:00
United States,Total Rigs,1950-08-04T00:00:00,2176,Weekly,USATOTRIG,2021-12-01T16:31:00
United States,Total Rigs,1950-08-11T00:00:00,2185,Weekly,USATOTRIG,2021-12-01T16:31:00
United States,Total Rigs,1950-08-18T00:00:00,2220,Weekly,USATOTRIG,2021-12-01T16:31:00
United States,Total Rigs,1950-08-25T00:00:00,2227,Weekly,USATOTRIG,2021-12-01T16:31:00
United States,Total Rigs,1950-09-01T00:00:00,2209,Weekly,USATOTRIG,2021-12-01T16:31:00
United States,Total Rigs,1950-09-08T00:00:00,2177,Weekly,USATOTRIG,2021-12-01T16:31:00
United States,Total Rigs,1950-09-15T00:00:00,2220,Weekly,USATOTRIG,2021-12-01T16:31:00
United States,Total Rigs,1950-09-22T00:00:00,2199,Weekly,USATOTRIG,2021-12-01T16:31:00
United States,Total Rigs,1950-09-29T00:00:00,2232,Weekly,USATOTRIG,2021-12-01T16:31:00
United States,Total Rigs,1950-10-06T00:00:00,2267,Weekly,USATOTRIG,2021-12-01T16:31:00
United States,Total Rigs,1950-10-13T00:00:00,2280,Weekly,USATOTRIG,2021-12-01T16:31:00
United States,Total Rigs,1950-10-20T00:00:00,2347,Weekly,USATOTRIG,2021-12-01T16:31:00
United States,Total Rigs,1950-10-27T00:00:00,2385,Weekly,USATOTRIG,2021-12-01T16:31:00
United States,Total Rigs,1950-11-03T00:00:00,2366,Weekly,USATOTRIG,2021-12-01T16:31:00
United States,Total Rigs,1950-11-10T00:00:00,2375,Weekly,USATOTRIG,2021-12-01T16:31:00
United States,Total Rigs,1950-11-17T00:00:00,2391,Weekly,USATOTRIG,2021-12-01T16:31:00
United States,Total Rigs,1950-11-24T00:00:00,2393,Weekly,USATOTRIG,2021-12-01T16:31:00
United States,Total Rigs,1950-12-01T00:00:00,2377,Weekly,USATOTRIG,2021-12-01T16:31:00
United States,Total Rigs,1950-12-08T00:00:00,2375,Weekly,USATOTRIG,2021-12-01T16:31:00
United States,Total Rigs,1950-12-15T00:00:00,2407,Weekly,USATOTRIG,2021-12-01T16:31:00
United States,Total Rigs,1950-12-22T00:00:00,2518,Weekly,USATOTRIG,2021-12-01T16:31:00
United States,Total Rigs,1950-12-29T00:00:00,2366,Weekly,USATOTRIG,2021-12-01T16:31:00
United States,Total Rigs,1951-01-05T00:00:00,2293,Weekly,USATOTRIG,2021-12-01T16:31:00
United States,Total Rigs,1951-01-12T00:00:00,2234,Weekly,USATOTRIG,2021-12-01T16:31:00
United States,Total Rigs,1951-01-19T00:00:00,2147,Weekly,USATOTRIG,2021-12-01T16:31:00
United States,Total Rigs,1951-01-26T00:00:00,2055,Weekly,USATOTRIG,2021-12-01T16:31:00
United States,Total Rigs,1951-02-02T00:00:00,2111,Weekly,USATOTRIG,2021-12-01T16:31:00
United States,Total Rigs,1951-02-09T00:00:00,2018,Weekly,USATOTRIG,2021-12-01T16:31:00
United States,Total Rigs,1951-02-16T00:00:00,2105,Weekly,USATOTRIG,2021-12-01T16:31:00
United States,Total Rigs,1951-02-23T00:00:00,2073,Weekly,USATOTRIG,2021-12-01T16:31:00
United States,Total Rigs,1951-03-02T00:00:00,2044,Weekly,USATOTRIG,2021-12-01T16:31:00
United States,Total Rigs,1951-03-09T00:00:00,2097,Weekly,USATOTRIG,2021-12-01T16:31:00
United States,Total Rigs,1951-03-16T00:00:00,2177,Weekly,USATOTRIG,2021-12-01T16:31:00
United States,Total Rigs,1951-03-23T00:00:00,2167,Weekly,USATOTRIG,2021-12-01T16:31:00
United States,Total Rigs,1951-03-30T00:00:00,2251,Weekly,USATOTRIG,2021-12-01T16:31:00
United States,Total Rigs,1951-04-06T00:00:00,2233,Weekly,USATOTRIG,2021-12-01T16:31:00
United States,Total Rigs,1951-04-13T00:00:00,2305,Weekly,USATOTRIG,2021-12-01T16:31:00
United States,Total Rigs,1951-04-20T00:00:00,2303,Weekly,USATOTRIG,2021-12-01T16:31:00
United States,Total Rigs,1951-04-27T00:00:00,2373,Weekly,USATOTRIG,2021-12-01T16:31:00
United States,Total Rigs,1951-05-04T00:00:00,2378,Weekly,USATOTRIG,2021-12-01T16:31:00
United States,Total Rigs,1951-05-11T00:00:00,2402,Weekly,USATOTRIG,2021-12-01T16:31:00
United States,Total Rigs,1951-05-18T00:00:00,2439,Weekly,USATOTRIG,2021-12-01T16:31:00
United States,Total Rigs,1951-05-25T00:00:00,2491,Weekly,USATOTRIG,2021-12-01T16:31:00
United States,Total Rigs,1951-06-01T00:00:00,2443,Weekly,USATOTRIG,2021-12-01T16:31:00
United States,Total Rigs,1951-06-08T00:00:00,2511,Weekly,USATOTRIG,2021-12-01T16:31:00
United States,Total Rigs,1951-06-15T00:00:00,2504,Weekly,USATOTRIG,2021-12-01T16:31:00
United States,Total Rigs,1951-06-22T00:00:00,2506,Weekly,USATOTRIG,2021-12-01T16:31:00
