Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
United States,Total Vehicle Sales,1976-01-31T00:00:00,12.512,Monthly,UNITEDSTATOTVEHSAL,2023-02-07T14:10:00
United States,Total Vehicle Sales,1976-02-29T00:00:00,13.044,Monthly,UNITEDSTATOTVEHSAL,2023-02-07T14:10:00
United States,Total Vehicle Sales,1976-03-31T00:00:00,13.085,Monthly,UNITEDSTATOTVEHSAL,2023-02-07T14:10:00
United States,Total Vehicle Sales,1976-04-30T00:00:00,12.915,Monthly,UNITEDSTATOTVEHSAL,2023-02-07T14:10:00
United States,Total Vehicle Sales,1976-05-31T00:00:00,12.645,Monthly,UNITEDSTATOTVEHSAL,2023-02-07T14:10:00
United States,Total Vehicle Sales,1976-06-30T00:00:00,12.727,Monthly,UNITEDSTATOTVEHSAL,2023-02-07T14:10:00
United States,Total Vehicle Sales,1976-07-31T00:00:00,13.122,Monthly,UNITEDSTATOTVEHSAL,2023-02-07T14:10:00
United States,Total Vehicle Sales,1976-08-31T00:00:00,12.594,Monthly,UNITEDSTATOTVEHSAL,2023-02-07T14:10:00
United States,Total Vehicle Sales,1976-09-30T00:00:00,13.209,Monthly,UNITEDSTATOTVEHSAL,2023-02-07T14:10:00
United States,Total Vehicle Sales,1976-10-31T00:00:00,12.537,Monthly,UNITEDSTATOTVEHSAL,2023-02-07T14:10:00
United States,Total Vehicle Sales,1976-11-30T00:00:00,13.006,Monthly,UNITEDSTATOTVEHSAL,2023-02-07T14:10:00
United States,Total Vehicle Sales,1976-12-31T00:00:00,14.197,Monthly,UNITEDSTATOTVEHSAL,2023-02-07T14:10:00
United States,Total Vehicle Sales,1977-01-31T00:00:00,14.019,Monthly,UNITEDSTATOTVEHSAL,2023-02-07T14:10:00
United States,Total Vehicle Sales,1977-02-28T00:00:00,14.335,Monthly,UNITEDSTATOTVEHSAL,2023-02-07T14:10:00
United States,Total Vehicle Sales,1977-03-31T00:00:00,14.782,Monthly,UNITEDSTATOTVEHSAL,2023-02-07T14:10:00
United States,Total Vehicle Sales,1977-04-30T00:00:00,14.753,Monthly,UNITEDSTATOTVEHSAL,2023-02-07T14:10:00
United States,Total Vehicle Sales,1977-05-31T00:00:00,14.605,Monthly,UNITEDSTATOTVEHSAL,2023-02-07T14:10:00
United States,Total Vehicle Sales,1977-06-30T00:00:00,14.571,Monthly,UNITEDSTATOTVEHSAL,2023-02-07T14:10:00
United States,Total Vehicle Sales,1977-07-31T00:00:00,14.306,Monthly,UNITEDSTATOTVEHSAL,2023-02-07T14:10:00
United States,Total Vehicle Sales,1977-08-31T00:00:00,14.488,Monthly,UNITEDSTATOTVEHSAL,2023-02-07T14:10:00
United States,Total Vehicle Sales,1977-09-30T00:00:00,14.274,Monthly,UNITEDSTATOTVEHSAL,2023-02-07T14:10:00
United States,Total Vehicle Sales,1977-10-31T00:00:00,14.511,Monthly,UNITEDSTATOTVEHSAL,2023-02-07T14:10:00
United States,Total Vehicle Sales,1977-11-30T00:00:00,14.396,Monthly,UNITEDSTATOTVEHSAL,2023-02-07T14:10:00
United States,Total Vehicle Sales,1977-12-31T00:00:00,14.789,Monthly,UNITEDSTATOTVEHSAL,2023-02-07T14:10:00
United States,Total Vehicle Sales,1978-01-31T00:00:00,13.334,Monthly,UNITEDSTATOTVEHSAL,2023-02-07T14:10:00
United States,Total Vehicle Sales,1978-02-28T00:00:00,13.969,Monthly,UNITEDSTATOTVEHSAL,2023-02-07T14:10:00
United States,Total Vehicle Sales,1978-03-31T00:00:00,14.714,Monthly,UNITEDSTATOTVEHSAL,2023-02-07T14:10:00
United States,Total Vehicle Sales,1978-04-30T00:00:00,15.757,Monthly,UNITEDSTATOTVEHSAL,2023-02-07T14:10:00
United States,Total Vehicle Sales,1978-05-31T00:00:00,15.83,Monthly,UNITEDSTATOTVEHSAL,2023-02-07T14:10:00
United States,Total Vehicle Sales,1978-06-30T00:00:00,15.868,Monthly,UNITEDSTATOTVEHSAL,2023-02-07T14:10:00
United States,Total Vehicle Sales,1978-07-31T00:00:00,15.086,Monthly,UNITEDSTATOTVEHSAL,2023-02-07T14:10:00
United States,Total Vehicle Sales,1978-08-31T00:00:00,15.676,Monthly,UNITEDSTATOTVEHSAL,2023-02-07T14:10:00
United States,Total Vehicle Sales,1978-09-30T00:00:00,14.195,Monthly,UNITEDSTATOTVEHSAL,2023-02-07T14:10:00
United States,Total Vehicle Sales,1978-10-31T00:00:00,15.391,Monthly,UNITEDSTATOTVEHSAL,2023-02-07T14:10:00
United States,Total Vehicle Sales,1978-11-30T00:00:00,15.015,Monthly,UNITEDSTATOTVEHSAL,2023-02-07T14:10:00
United States,Total Vehicle Sales,1978-12-31T00:00:00,14.839,Monthly,UNITEDSTATOTVEHSAL,2023-02-07T14:10:00
United States,Total Vehicle Sales,1979-01-31T00:00:00,14.626,Monthly,UNITEDSTATOTVEHSAL,2023-02-07T14:10:00
United States,Total Vehicle Sales,1979-02-28T00:00:00,14.856,Monthly,UNITEDSTATOTVEHSAL,2023-02-07T14:10:00
United States,Total Vehicle Sales,1979-03-31T00:00:00,14.839,Monthly,UNITEDSTATOTVEHSAL,2023-02-07T14:10:00
United States,Total Vehicle Sales,1979-04-30T00:00:00,14.304,Monthly,UNITEDSTATOTVEHSAL,2023-02-07T14:10:00
United States,Total Vehicle Sales,1979-05-31T00:00:00,13.966,Monthly,UNITEDSTATOTVEHSAL,2023-02-07T14:10:00
United States,Total Vehicle Sales,1979-06-30T00:00:00,12.363,Monthly,UNITEDSTATOTVEHSAL,2023-02-07T14:10:00
United States,Total Vehicle Sales,1979-07-31T00:00:00,13.712,Monthly,UNITEDSTATOTVEHSAL,2023-02-07T14:10:00
United States,Total Vehicle Sales,1979-08-31T00:00:00,13.999,Monthly,UNITEDSTATOTVEHSAL,2023-02-07T14:10:00
United States,Total Vehicle Sales,1979-09-30T00:00:00,13.953,Monthly,UNITEDSTATOTVEHSAL,2023-02-07T14:10:00
United States,Total Vehicle Sales,1979-10-31T00:00:00,12.733,Monthly,UNITEDSTATOTVEHSAL,2023-02-07T14:10:00
United States,Total Vehicle Sales,1979-11-30T00:00:00,12.667,Monthly,UNITEDSTATOTVEHSAL,2023-02-07T14:10:00
United States,Total Vehicle Sales,1979-12-31T00:00:00,13.198,Monthly,UNITEDSTATOTVEHSAL,2023-02-07T14:10:00
United States,Total Vehicle Sales,1980-01-31T00:00:00,14.115,Monthly,UNITEDSTATOTVEHSAL,2023-02-07T14:10:00
United States,Total Vehicle Sales,1980-02-29T00:00:00,12.967,Monthly,UNITEDSTATOTVEHSAL,2023-02-07T14:10:00
United States,Total Vehicle Sales,1980-03-31T00:00:00,11.797,Monthly,UNITEDSTATOTVEHSAL,2023-02-07T14:10:00
United States,Total Vehicle Sales,1980-04-30T00:00:00,10.198,Monthly,UNITEDSTATOTVEHSAL,2023-02-07T14:10:00
United States,Total Vehicle Sales,1980-05-31T00:00:00,9.31,Monthly,UNITEDSTATOTVEHSAL,2023-02-07T14:10:00
United States,Total Vehicle Sales,1980-06-30T00:00:00,10.181,Monthly,UNITEDSTATOTVEHSAL,2023-02-07T14:10:00
United States,Total Vehicle Sales,1980-07-31T00:00:00,11.381,Monthly,UNITEDSTATOTVEHSAL,2023-02-07T14:10:00
United States,Total Vehicle Sales,1980-08-31T00:00:00,10.86,Monthly,UNITEDSTATOTVEHSAL,2023-02-07T14:10:00
United States,Total Vehicle Sales,1980-09-30T00:00:00,10.622,Monthly,UNITEDSTATOTVEHSAL,2023-02-07T14:10:00
