Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
United States,Tourism Revenues,1999-01-31T00:00:00,8670,Monthly,UNITEDSTATOUREV,2021-06-23T15:17:00
United States,Tourism Revenues,1999-02-28T00:00:00,8922,Monthly,UNITEDSTATOUREV,2021-06-23T15:17:00
United States,Tourism Revenues,1999-03-31T00:00:00,8919,Monthly,UNITEDSTATOUREV,2021-06-23T15:17:00
United States,Tourism Revenues,1999-04-30T00:00:00,8779,Monthly,UNITEDSTATOUREV,2021-06-23T15:17:00
United States,Tourism Revenues,1999-05-31T00:00:00,8839,Monthly,UNITEDSTATOUREV,2021-06-23T15:17:00
United States,Tourism Revenues,1999-06-30T00:00:00,8957,Monthly,UNITEDSTATOUREV,2021-06-23T15:17:00
United States,Tourism Revenues,1999-07-31T00:00:00,9330,Monthly,UNITEDSTATOUREV,2021-06-23T15:17:00
United States,Tourism Revenues,1999-08-31T00:00:00,9426,Monthly,UNITEDSTATOUREV,2021-06-23T15:17:00
United States,Tourism Revenues,1999-09-30T00:00:00,9455,Monthly,UNITEDSTATOUREV,2021-06-23T15:17:00
United States,Tourism Revenues,1999-10-31T00:00:00,9300,Monthly,UNITEDSTATOUREV,2021-06-23T15:17:00
United States,Tourism Revenues,1999-11-30T00:00:00,9337,Monthly,UNITEDSTATOUREV,2021-06-23T15:17:00
United States,Tourism Revenues,1999-12-31T00:00:00,9257,Monthly,UNITEDSTATOUREV,2021-06-23T15:17:00
United States,Tourism Revenues,2000-01-31T00:00:00,9221,Monthly,UNITEDSTATOUREV,2021-06-23T15:17:00
United States,Tourism Revenues,2000-02-29T00:00:00,9626,Monthly,UNITEDSTATOUREV,2021-06-23T15:17:00
United States,Tourism Revenues,2000-03-31T00:00:00,9818,Monthly,UNITEDSTATOUREV,2021-06-23T15:17:00
United States,Tourism Revenues,2000-04-30T00:00:00,10038,Monthly,UNITEDSTATOUREV,2021-06-23T15:17:00
United States,Tourism Revenues,2000-05-31T00:00:00,9963,Monthly,UNITEDSTATOUREV,2021-06-23T15:17:00
United States,Tourism Revenues,2000-06-30T00:00:00,10084,Monthly,UNITEDSTATOUREV,2021-06-23T15:17:00
United States,Tourism Revenues,2000-07-31T00:00:00,10037,Monthly,UNITEDSTATOUREV,2021-06-23T15:17:00
United States,Tourism Revenues,2000-08-31T00:00:00,9963,Monthly,UNITEDSTATOUREV,2021-06-23T15:17:00
United States,Tourism Revenues,2000-09-30T00:00:00,9876,Monthly,UNITEDSTATOUREV,2021-06-23T15:17:00
United States,Tourism Revenues,2000-10-31T00:00:00,9868,Monthly,UNITEDSTATOUREV,2021-06-23T15:17:00
United States,Tourism Revenues,2000-11-30T00:00:00,9890,Monthly,UNITEDSTATOUREV,2021-06-23T15:17:00
United States,Tourism Revenues,2000-12-31T00:00:00,9933,Monthly,UNITEDSTATOUREV,2021-06-23T15:17:00
United States,Tourism Revenues,2001-01-31T00:00:00,9896,Monthly,UNITEDSTATOUREV,2021-06-23T15:17:00
United States,Tourism Revenues,2001-02-28T00:00:00,9993,Monthly,UNITEDSTATOUREV,2021-06-23T15:17:00
United States,Tourism Revenues,2001-03-31T00:00:00,9863,Monthly,UNITEDSTATOUREV,2021-06-23T15:17:00
United States,Tourism Revenues,2001-04-30T00:00:00,9658,Monthly,UNITEDSTATOUREV,2021-06-23T15:17:00
United States,Tourism Revenues,2001-05-31T00:00:00,9513,Monthly,UNITEDSTATOUREV,2021-06-23T15:17:00
United States,Tourism Revenues,2001-06-30T00:00:00,9416,Monthly,UNITEDSTATOUREV,2021-06-23T15:17:00
United States,Tourism Revenues,2001-07-31T00:00:00,8967,Monthly,UNITEDSTATOUREV,2021-06-23T15:17:00
United States,Tourism Revenues,2001-08-31T00:00:00,9082,Monthly,UNITEDSTATOUREV,2021-06-23T15:17:00
United States,Tourism Revenues,2001-09-30T00:00:00,8470,Monthly,UNITEDSTATOUREV,2021-06-23T15:17:00
United States,Tourism Revenues,2001-10-31T00:00:00,7184,Monthly,UNITEDSTATOUREV,2021-06-23T15:17:00
United States,Tourism Revenues,2001-11-30T00:00:00,6701,Monthly,UNITEDSTATOUREV,2021-06-23T15:17:00
United States,Tourism Revenues,2001-12-31T00:00:00,6712,Monthly,UNITEDSTATOUREV,2021-06-23T15:17:00
United States,Tourism Revenues,2002-01-31T00:00:00,7762,Monthly,UNITEDSTATOUREV,2021-06-23T15:17:00
United States,Tourism Revenues,2002-02-28T00:00:00,8025,Monthly,UNITEDSTATOUREV,2021-06-23T15:17:00
United States,Tourism Revenues,2002-03-31T00:00:00,8458,Monthly,UNITEDSTATOUREV,2021-06-23T15:17:00
United States,Tourism Revenues,2002-04-30T00:00:00,7941,Monthly,UNITEDSTATOUREV,2021-06-23T15:17:00
United States,Tourism Revenues,2002-05-31T00:00:00,8140,Monthly,UNITEDSTATOUREV,2021-06-23T15:17:00
United States,Tourism Revenues,2002-06-30T00:00:00,8248,Monthly,UNITEDSTATOUREV,2021-06-23T15:17:00
United States,Tourism Revenues,2002-07-31T00:00:00,8060,Monthly,UNITEDSTATOUREV,2021-06-23T15:17:00
United States,Tourism Revenues,2002-08-31T00:00:00,7973,Monthly,UNITEDSTATOUREV,2021-06-23T15:17:00
United States,Tourism Revenues,2002-09-30T00:00:00,8137,Monthly,UNITEDSTATOUREV,2021-06-23T15:17:00
United States,Tourism Revenues,2002-10-31T00:00:00,8123,Monthly,UNITEDSTATOUREV,2021-06-23T15:17:00
United States,Tourism Revenues,2002-11-30T00:00:00,8263,Monthly,UNITEDSTATOUREV,2021-06-23T15:17:00
United States,Tourism Revenues,2002-12-31T00:00:00,8287,Monthly,UNITEDSTATOUREV,2021-06-23T15:17:00
United States,Tourism Revenues,2003-01-31T00:00:00,7835,Monthly,UNITEDSTATOUREV,2021-06-23T15:17:00
United States,Tourism Revenues,2003-02-28T00:00:00,7713,Monthly,UNITEDSTATOUREV,2021-06-23T15:17:00
United States,Tourism Revenues,2003-03-31T00:00:00,7535,Monthly,UNITEDSTATOUREV,2021-06-23T15:17:00
United States,Tourism Revenues,2003-04-30T00:00:00,7330,Monthly,UNITEDSTATOUREV,2021-06-23T15:17:00
United States,Tourism Revenues,2003-05-31T00:00:00,7069,Monthly,UNITEDSTATOUREV,2021-06-23T15:17:00
United States,Tourism Revenues,2003-06-30T00:00:00,7336,Monthly,UNITEDSTATOUREV,2021-06-23T15:17:00
United States,Tourism Revenues,2003-07-31T00:00:00,7798,Monthly,UNITEDSTATOUREV,2021-06-23T15:17:00
United States,Tourism Revenues,2003-08-31T00:00:00,8181,Monthly,UNITEDSTATOUREV,2021-06-23T15:17:00
United States,Tourism Revenues,2003-09-30T00:00:00,8363,Monthly,UNITEDSTATOUREV,2021-06-23T15:17:00
United States,Tourism Revenues,2003-10-31T00:00:00,8382,Monthly,UNITEDSTATOUREV,2021-06-23T15:17:00
United States,Tourism Revenues,2003-11-30T00:00:00,8534,Monthly,UNITEDSTATOUREV,2021-06-23T15:17:00
United States,Tourism Revenues,2003-12-31T00:00:00,8739,Monthly,UNITEDSTATOUREV,2021-06-23T15:17:00
United States,Tourism Revenues,2004-01-31T00:00:00,8760,Monthly,UNITEDSTATOUREV,2021-06-23T15:17:00
