Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
United States,Weapons Sales,1950-12-31T00:00:00,1388,Yearly,UnitedStWeaSal,2023-03-21T02:30:00
United States,Weapons Sales,1951-12-31T00:00:00,4057,Yearly,UnitedStWeaSal,2023-03-21T02:30:00
United States,Weapons Sales,1952-12-31T00:00:00,6944,Yearly,UnitedStWeaSal,2023-03-21T02:30:00
United States,Weapons Sales,1953-12-31T00:00:00,9814,Yearly,UnitedStWeaSal,2023-03-21T02:30:00
United States,Weapons Sales,1954-12-31T00:00:00,6101,Yearly,UnitedStWeaSal,2024-06-17T06:42:00
United States,Weapons Sales,1955-12-31T00:00:00,7190,Yearly,UnitedStWeaSal,2023-03-21T02:30:00
United States,Weapons Sales,1956-12-31T00:00:00,8600,Yearly,UnitedStWeaSal,2024-06-17T06:42:00
United States,Weapons Sales,1957-12-31T00:00:00,8604,Yearly,UnitedStWeaSal,2024-06-17T06:42:00
United States,Weapons Sales,1958-12-31T00:00:00,9568,Yearly,UnitedStWeaSal,2024-06-17T06:42:00
United States,Weapons Sales,1959-12-31T00:00:00,7453,Yearly,UnitedStWeaSal,2024-06-17T06:42:00
United States,Weapons Sales,1960-12-31T00:00:00,6164,Yearly,UnitedStWeaSal,2024-06-17T06:42:00
United States,Weapons Sales,1961-12-31T00:00:00,6309,Yearly,UnitedStWeaSal,2024-06-17T06:42:00
United States,Weapons Sales,1962-12-31T00:00:00,6139,Yearly,UnitedStWeaSal,2024-06-17T06:42:00
United States,Weapons Sales,1963-12-31T00:00:00,9382,Yearly,UnitedStWeaSal,2024-06-17T06:42:00
United States,Weapons Sales,1964-12-31T00:00:00,12326,Yearly,UnitedStWeaSal,2024-06-17T06:42:00
United States,Weapons Sales,1965-12-31T00:00:00,11316,Yearly,UnitedStWeaSal,2024-06-17T06:42:00
United States,Weapons Sales,1966-12-31T00:00:00,8396,Yearly,UnitedStWeaSal,2024-06-17T06:42:00
United States,Weapons Sales,1967-12-31T00:00:00,7244,Yearly,UnitedStWeaSal,2024-06-17T06:42:00
United States,Weapons Sales,1968-12-31T00:00:00,8406,Yearly,UnitedStWeaSal,2024-06-17T06:42:00
United States,Weapons Sales,1969-12-31T00:00:00,11807,Yearly,UnitedStWeaSal,2024-06-17T06:42:00
United States,Weapons Sales,1970-12-31T00:00:00,8983,Yearly,UnitedStWeaSal,2024-06-17T06:42:00
United States,Weapons Sales,1971-12-31T00:00:00,11893,Yearly,UnitedStWeaSal,2024-06-17T06:42:00
United States,Weapons Sales,1972-12-31T00:00:00,10762,Yearly,UnitedStWeaSal,2024-06-17T06:42:00
United States,Weapons Sales,1973-12-31T00:00:00,12139,Yearly,UnitedStWeaSal,2024-06-17T06:42:00
United States,Weapons Sales,1974-12-31T00:00:00,12775,Yearly,UnitedStWeaSal,2024-06-17T06:42:00
United States,Weapons Sales,1975-12-31T00:00:00,15619,Yearly,UnitedStWeaSal,2024-06-17T06:42:00
United States,Weapons Sales,1976-12-31T00:00:00,15883,Yearly,UnitedStWeaSal,2024-06-17T06:42:00
United States,Weapons Sales,1977-12-31T00:00:00,14623,Yearly,UnitedStWeaSal,2024-06-17T06:42:00
United States,Weapons Sales,1978-12-31T00:00:00,13902,Yearly,UnitedStWeaSal,2024-06-17T06:42:00
United States,Weapons Sales,1979-12-31T00:00:00,9906,Yearly,UnitedStWeaSal,2024-06-17T06:42:00
United States,Weapons Sales,1980-12-31T00:00:00,10766,Yearly,UnitedStWeaSal,2024-06-17T06:42:00
United States,Weapons Sales,1981-12-31T00:00:00,13639,Yearly,UnitedStWeaSal,2024-06-17T06:42:00
United States,Weapons Sales,1982-12-31T00:00:00,14012,Yearly,UnitedStWeaSal,2024-06-17T06:42:00
United States,Weapons Sales,1983-12-31T00:00:00,13933,Yearly,UnitedStWeaSal,2024-06-17T06:42:00
United States,Weapons Sales,1984-12-31T00:00:00,11864,Yearly,UnitedStWeaSal,2023-03-21T02:30:00
United States,Weapons Sales,1985-12-31T00:00:00,10786,Yearly,UnitedStWeaSal,2024-06-17T06:42:00
United States,Weapons Sales,1986-12-31T00:00:00,11581,Yearly,UnitedStWeaSal,2024-06-17T06:42:00
United States,Weapons Sales,1987-12-31T00:00:00,12175,Yearly,UnitedStWeaSal,2024-06-17T06:42:00
United States,Weapons Sales,1988-12-31T00:00:00,11917,Yearly,UnitedStWeaSal,2024-06-17T06:42:00
United States,Weapons Sales,1989-12-31T00:00:00,11286,Yearly,UnitedStWeaSal,2024-06-17T06:42:00
United States,Weapons Sales,1990-12-31T00:00:00,10664,Yearly,UnitedStWeaSal,2024-06-17T06:42:00
United States,Weapons Sales,1991-12-31T00:00:00,12484,Yearly,UnitedStWeaSal,2024-06-17T06:42:00
United States,Weapons Sales,1992-12-31T00:00:00,14083,Yearly,UnitedStWeaSal,2024-06-17T06:42:00
United States,Weapons Sales,1993-12-31T00:00:00,13766,Yearly,UnitedStWeaSal,2024-06-17T06:42:00
United States,Weapons Sales,1994-12-31T00:00:00,11483,Yearly,UnitedStWeaSal,2024-06-17T06:42:00
United States,Weapons Sales,1995-12-31T00:00:00,11177,Yearly,UnitedStWeaSal,2024-06-17T06:42:00
United States,Weapons Sales,1996-12-31T00:00:00,10839,Yearly,UnitedStWeaSal,2023-03-21T02:30:00
United States,Weapons Sales,1997-12-31T00:00:00,14498,Yearly,UnitedStWeaSal,2024-06-17T06:42:00
United States,Weapons Sales,1998-12-31T00:00:00,15708,Yearly,UnitedStWeaSal,2023-03-21T02:30:00
United States,Weapons Sales,1999-12-31T00:00:00,11538,Yearly,UnitedStWeaSal,2024-06-17T06:42:00
United States,Weapons Sales,2000-12-31T00:00:00,7662,Yearly,UnitedStWeaSal,2024-06-17T06:42:00
United States,Weapons Sales,2001-12-31T00:00:00,5600,Yearly,UnitedStWeaSal,2024-06-17T06:42:00
United States,Weapons Sales,2002-12-31T00:00:00,4882,Yearly,UnitedStWeaSal,2024-06-17T06:42:00
United States,Weapons Sales,2003-12-31T00:00:00,5643,Yearly,UnitedStWeaSal,2024-06-17T06:42:00
United States,Weapons Sales,2004-12-31T00:00:00,6839,Yearly,UnitedStWeaSal,2024-06-17T06:42:00
United States,Weapons Sales,2005-12-31T00:00:00,6738,Yearly,UnitedStWeaSal,2024-06-17T06:42:00
United States,Weapons Sales,2006-12-31T00:00:00,7533,Yearly,UnitedStWeaSal,2024-06-17T06:42:00
