time,national_home_price_index,house_price_index_yoy,case_shiller_home_price_index,housing_index,housing_starts_single_family,inflation_rate
2001-01-01,107.383,7.0,110.81,144.21,1226.0,3.4
2001-02-01,108.303,7.1,111.58,145.07,1275.0,3.7
2001-03-01,109.141,6.5,112.39,145.98,1280.0,3.5
2001-04-01,109.847,7.4,113.07,146.99,1218.0,2.9
2001-05-01,110.502,7.1,114.14,147.77,1311.0,3.3
2001-06-01,111.109,7.0,115.29,148.65,1285.0,3.6
2001-07-01,111.652,7.1,116.24,149.3,1295.0,3.2
2001-08-01,112.164,6.9,117.29,150.02,1298.0,2.7
2001-09-01,112.797,6.9,118.2,150.85,1286.0,2.7
2001-10-01,113.491,7.0,119.09,151.57,1243.0,2.6
2001-11-01,114.169,6.9,119.84,152.36,1240.0,2.1
2001-12-01,114.812,7.0,120.31,153.31,1244.0,1.9
2002-01-01,115.309,6.6,120.53,153.78,1285.0,1.6
2002-02-01,115.856,6.7,120.43,154.77,1318.0,1.1
2002-03-01,116.454,6.6,120.64,155.63,1501.0,1.1
2002-04-01,117.144,6.5,121.06,156.54,1292.0,1.5
2002-05-01,117.844,6.6,122.3,157.54,1277.0,1.6
2002-06-01,118.687,6.5,123.92,158.38,1402.0,1.2
2002-07-01,119.611,6.8,125.86,159.45,1368.0,1.1
2002-08-01,120.724,7.0,127.82,160.47,1323.0,1.5
2002-09-01,121.813,7.1,129.66,161.47,1247.0,1.8
2002-10-01,122.889,7.3,131.22,162.51,1446.0,1.5
2002-11-01,123.831,7.4,132.43,163.5,1352.0,2.0
2002-12-01,124.781,7.4,133.55,164.63,1394.0,2.2
2003-01-01,125.736,7.7,134.41,165.6,1439.0,2.4
2003-02-01,126.67,7.8,135.15,166.81,1537.0,2.6
2003-03-01,127.623,7.8,135.64,167.82,1301.0,3.0
2003-04-01,128.461,7.8,136.19,168.87,1399.0,3.0
2003-05-01,129.356,7.5,137.2,169.43,1374.0,2.2
2003-06-01,130.148,7.6,138.56,170.48,1391.0,2.1
2003-07-01,130.884,7.5,140.06,171.4,1513.0,2.1
2003-08-01,131.735,7.4,141.39,172.22,1535.0,2.1
2003-09-01,132.649,7.5,142.99,173.48,1484.0,2.2
2003-10-01,133.777,7.6,144.56,174.76,1555.0,2.3
2003-11-01,134.968,7.8,146.28,176.16,1631.0,2.0
2003-12-01,136.294,7.6,147.82,177.19,1694.0,1.8
2004-01-01,137.532,7.8,149.22,178.59,1647.0,1.9
2004-02-01,138.794,7.9,150.49,180.07,1560.0,2.0
2004-03-01,140.18,7.9,151.69,181.22,1481.0,1.7
2004-04-01,141.646,8.1,153.1,182.61,1632.0,1.7
2004-05-01,143.191,8.6,155.49,183.94,1646.0,2.3
2004-06-01,145.058,8.8,158.47,185.47,1652.0,3.1
2004-07-01,146.593,9.3,161.6,187.23,1526.0,3.3
2004-08-01,148.186,9.9,164.82,189.16,1675.0,2.9
2004-09-01,149.852,9.9,167.43,190.67,1691.0,2.7
2004-10-01,151.338,9.9,169.31,192.04,1555.0,2.5
2004-11-01,152.635,9.9,170.96,193.55,1660.0,3.2
2004-12-01,154.179,10.0,172.41,195.0,1458.0,3.5
2005-01-01,155.752,10.2,173.65,196.79,1714.0,3.3
2005-02-01,157.529,10.2,174.83,198.51,1739.0,3.0
2005-03-01,159.331,10.2,176.44,199.92,1792.0,3.0
2005-04-01,161.289,10.3,178.5,201.38,1583.0,3.1
2005-05-01,163.346,10.6,181.3,203.36,1658.0,3.5
2005-06-01,165.814,10.7,184.24,205.23,1714.0,2.8
2005-07-01,167.503,10.6,187.21,206.9,1719.0,2.5
2005-08-01,169.352,10.4,190.1,208.68,1724.0,3.2
2005-09-01,171.192,10.6,192.67,210.79,1728.0,3.6
2005-10-01,172.861,10.6,194.98,212.3,1789.0,4.7
2005-11-01,174.443,10.7,197.36,214.24,1740.0,4.3
2005-12-01,176.439,10.5,199.4,215.46,1808.0,3.5
2006-01-01,178.028,10.1,200.97,216.84,1628.0,3.4
2006-02-01,179.682,9.8,201.97,218.16,1823.0,4.0
2006-03-01,180.911,9.7,202.44,219.53,1804.0,3.6
2006-04-01,182.321,9.2,203.19,219.92,1601.0,3.4
2006-05-01,183.288,8.6,203.65,220.79,1511.0,3.5
2006-06-01,184.365,7.8,204.82,221.22,1570.0,4.2
2006-07-01,184.329,7.3,205.86,221.79,1451.0,4.3
2006-08-01,184.155,6.4,206.38,221.77,1424.0,4.1
2006-09-01,183.507,5.2,206.52,221.63,1364.0,3.8
2006-10-01,183.066,4.7,206.18,222.22,1384.0,2.1
2006-11-01,182.593,3.7,205.8,222.18,1212.0,1.3
2006-12-01,182.797,3.2,205.41,222.41,1290.0,2.0
2007-01-01,183.197,2.9,204.65,223.08,1249.0,2.5
2007-02-01,183.607,2.2,203.33,223.16,1130.0,2.1
2007-03-01,184.139,1.9,202.31,223.91,1189.0,2.4
2007-04-01,184.517,1.8,201.57,223.99,1202.0,2.8
2007-05-01,184.599,1.8,201.01,224.87,1197.0,2.6
2007-06-01,184.15,1.7,200.54,224.91,1130.0,2.7
2007-07-01,183.01,1.0,200.12,223.83,1131.0,2.7
2007-08-01,181.601,0.6,199.44,222.94,1042.0,2.4
2007-09-01,180.253,0.2,198.72,221.86,957.0,2.0
2007-10-01,179.11,-0.6,197.37,220.85,935.0,2.8
2007-11-01,178.116,-1.0,195.69,220.01,878.0,3.5
2007-12-01,177.557,-1.9,192.98,218.13,833.0,4.3
2008-01-01,176.623,-2.9,188.94,216.62,805.0,4.1
2008-02-01,175.146,-3.5,184.97,215.55,773.0,4.3
2008-03-01,174.341,-4.6,180.68,213.7,724.0,4.0
2008-04-01,173.132,-5.3,175.96,212.37,728.0,4.0
2008-05-01,171.54,-6.5,172.2,210.5,682.0,3.9
2008-06-01,170.052,-7.4,169.98,208.18,679.0,4.2
2008-07-01,168.336,-7.9,168.6,205.9,647.0,5.0
2008-08-01,166.657,-8.1,167.78,204.57,615.0,5.6
2008-09-01,165.016,-8.5,166.36,202.68,607.0,5.4
2008-10-01,163.565,-9.1,164.65,200.58,537.0,4.9
2008-11-01,161.987,-9.6,161.64,198.8,542.0,3.7
2008-12-01,160.307,-9.6,158.09,197.1,459.0,1.1
2009-01-01,158.326,-10.5,154.5,193.63,403.0,0.1
2009-02-01,156.141,-10.4,150.54,193.09,358.0,0.0
2009-03-01,153.618,-9.0,146.34,194.63,358.0,0.2
2009-04-01,151.506,-8.3,143.11,194.91,353.0,-0.4
2009-05-01,150.014,-8.6,140.06,192.59,387.0,-0.7
2009-06-01,148.66,-8.1,139.26,191.37,408.0,-1.3
2009-07-01,147.949,-7.0,139.98,191.28,482.0,-1.4
2009-08-01,147.693,-6.4,141.97,191.21,509.0,-2.1
2009-09-01,148.088,-5.8,144.32,190.57,487.0,-1.5
2009-10-01,148.408,-5.0,146.11,190.31,510.0,-1.3
2009-11-01,148.276,-4.3,146.63,190.1,476.0,-0.2
2009-12-01,148.025,-3.3,146.49,190.44,497.0,1.8
2010-01-01,147.85,-1.3,146.17,191.03,484.0,2.7
2010-02-01,148.136,-2.0,145.89,189.28,510.0,2.6
2010-03-01,147.931,-2.8,145.31,189.24,526.0,2.1
2010-04-01,147.397,-3.4,144.06,188.51,542.0,2.3
2010-05-01,145.632,-2.3,143.34,188.26,566.0,2.2
2010-06-01,145.858,-1.5,144.56,188.55,457.0,2.0
2010-07-01,146.401,-1.4,146.46,188.52,445.0,1.1
2010-08-01,146.391,-2.3,147.99,186.57,426.0,1.2
2010-09-01,145.718,-2.5,148.88,185.41,417.0,1.1
2010-10-01,144.986,-2.6,148.49,185.21,449.0,1.1
2010-11-01,143.911,-3.4,147.26,183.43,438.0,1.2
2010-12-01,143.015,-3.5,145.24,183.71,452.0,1.1
2011-01-01,142.526,-4.1,143.77,183.13,429.0,1.5
2011-02-01,142.166,-4.0,142.39,181.76,430.0,1.6
2011-03-01,142.053,-4.6,140.78,180.67,391.0,2.1
2011-04-01,141.515,-5.1,139.05,179.15,429.0,2.7
2011-05-01,140.342,-5.9,137.64,177.14,415.0,3.2
2011-06-01,139.974,-5.8,138.43,177.56,414.0,3.6
2011-07-01,140.006,-5.9,139.88,177.16,435.0,3.6
2011-08-01,139.903,-4.6,141.5,177.62,432.0,3.6
2011-09-01,139.859,-3.9,142.89,177.96,422.0,3.8
2011-10-01,139.728,-4.1,142.97,177.49,418.0,3.9
2011-11-01,139.306,-2.6,141.97,178.54,439.0,3.5
2011-12-01,138.664,-3.4,140.05,177.57,465.0,3.4
2012-01-01,137.947,-2.6,138.18,178.31,522.0,3.0
2012-02-01,137.146,-1.6,136.6,178.89,518.0,2.9
2012-03-01,136.668,-1.5,135.21,178.13,466.0,2.9
2012-04-01,136.602,-0.4,134.08,178.62,472.0,2.7
2012-05-01,136.526,1.7,134.07,180.16,504.0,2.3
2012-06-01,137.897,2.0,135.98,181.07,518.0,1.7
2012-07-01,139.148,2.9,139.2,182.12,524.0,1.7
